global_index_dec,global_index_hex,relative_index_from_CA_C03C,table_offset_pc,table_snes,target_snes,target_pc,note
54,0x36,34,0x0AC0A2,CA:C0A2,CB:E543,0x0BE543,
55,0x37,35,0x0AC0A5,CA:C0A5,CB:E58F,0x0BE58F,
56,0x38,36,0x0AC0A8,CA:C0A8,CB:E5D8,0x0BE5D8,
57,0x39,37,0x0AC0AB,CA:C0AB,CB:E6E2,0x0BE6E2,
58,0x3A,38,0x0AC0AE,CA:C0AE,CB:E7AA,0x0BE7AA,
59,0x3B,39,0x0AC0B1,CA:C0B1,CB:E86E,0x0BE86E,
60,0x3C,40,0x0AC0B4,CA:C0B4,CB:E911,0x0BE911,
61,0x3D,41,0x0AC0B7,CA:C0B7,CB:EA4E,0x0BEA4E,
62,0x3E,42,0x0AC0BA,CA:C0BA,CB:EB0C,0x0BEB0C,
63,0x3F,43,0x0AC0BD,CA:C0BD,CB:EB67,0x0BEB67,
64,0x40,44,0x0AC0C0,CA:C0C0,CB:EF7A,0x0BEF7A,
65,0x41,45,0x0AC0C3,CA:C0C3,CB:F0AB,0x0BF0AB,
66,0x42,46,0x0AC0C6,CA:C0C6,CB:F48E,0x0BF48E,
67,0x43,47,0x0AC0C9,CA:C0C9,CB:F523,0x0BF523,
68,0x44,48,0x0AC0CC,CA:C0CC,CB:F690,0x0BF690,
69,0x45,49,0x0AC0CF,CA:C0CF,CB:FC2C,0x0BFC2C,
70,0x46,50,0x0AC0D2,CA:C0D2,CB:FC91,0x0BFC91,
71,0x47,51,0x0AC0D5,CA:C0D5,CB:FE4C,0x0BFE4C,
72,0x48,52,0x0AC0D8,CA:C0D8,CB:FFF3,0x0BFFF3,
73,0x49,53,0x0AC0DB,CA:C0DB,CC:01D4,0x0C01D4,
74,0x4A,54,0x0AC0DE,CA:C0DE,CC:043F,0x0C043F,
75,0x4B,55,0x0AC0E1,CA:C0E1,CC:069D,0x0C069D,
76,0x4C,56,0x0AC0E4,CA:C0E4,CC:07DE,0x0C07DE,
77,0x4D,57,0x0AC0E7,CA:C0E7,CC:1888,0x0C1888,
78,0x4E,58,0x0AC0EA,CA:C0EA,CC:18D1,0x0C18D1,
79,0x4F,59,0x0AC0ED,CA:C0ED,CC:1B7A,0x0C1B7A,
80,0x50,60,0x0AC0F0,CA:C0F0,CC:1BE5,0x0C1BE5,
81,0x51,61,0x0AC0F3,CA:C0F3,CC:1F16,0x0C1F16,
82,0x52,62,0x0AC0F6,CA:C0F6,CC:2102,0x0C2102,
83,0x53,63,0x0AC0F9,CA:C0F9,CC:2357,0x0C2357,
84,0x54,64,0x0AC0FC,CA:C0FC,CC:27A5,0x0C27A5,
85,0x55,65,0x0AC0FF,CA:C0FF,CC:281D,0x0C281D,
86,0x56,66,0x0AC102,CA:C102,CC:2894,0x0C2894,
87,0x57,67,0x0AC105,CA:C105,CC:295B,0x0C295B,
88,0x58,68,0x0AC108,CA:C108,CC:2A61,0x0C2A61,
89,0x59,69,0x0AC10B,CA:C10B,CC:2BEF,0x0C2BEF,
90,0x5A,70,0x0AC10E,CA:C10E,CC:32AF,0x0C32AF,
91,0x5B,71,0x0AC111,CA:C111,CC:33BF,0x0C33BF,
92,0x5C,72,0x0AC114,CA:C114,CC:3565,0x0C3565,
93,0x5D,73,0x0AC117,CA:C117,CC:36BC,0x0C36BC,
94,0x5E,74,0x0AC11A,CA:C11A,CC:37F8,0x0C37F8,
95,0x5F,75,0x0AC11D,CA:C11D,CC:3934,0x0C3934,
96,0x60,76,0x0AC120,CA:C120,CC:3B16,0x0C3B16,
97,0x61,77,0x0AC123,CA:C123,CC:40A3,0x0C40A3,
98,0x62,78,0x0AC126,CA:C126,CC:424D,0x0C424D,
99,0x63,79,0x0AC129,CA:C129,CC:4396,0x0C4396,
100,0x64,80,0x0AC12C,CA:C12C,CC:44D3,0x0C44D3,
101,0x65,81,0x0AC12F,CA:C12F,CC:4538,0x0C4538,
102,0x66,82,0x0AC132,CA:C132,CC:4802,0x0C4802,
103,0x67,83,0x0AC135,CA:C135,CC:4CFD,0x0C4CFD,
104,0x68,84,0x0AC138,CA:C138,CC:4DF1,0x0C4DF1,
105,0x69,85,0x0AC13B,CA:C13B,CC:5376,0x0C5376,
106,0x6A,86,0x0AC13E,CA:C13E,CC:53F7,0x0C53F7,
107,0x6B,87,0x0AC141,CA:C141,CC:5A1C,0x0C5A1C,
108,0x6C,88,0x0AC144,CA:C144,CC:5FFE,0x0C5FFE,
109,0x6D,89,0x0AC147,CA:C147,CC:6279,0x0C6279,
110,0x6E,90,0x0AC14A,CA:C14A,CC:6397,0x0C6397,
111,0x6F,91,0x0AC14D,CA:C14D,CC:668B,0x0C668B,
112,0x70,92,0x0AC150,CA:C150,CC:6CFA,0x0C6CFA,
113,0x71,93,0x0AC153,CA:C153,CC:73A6,0x0C73A6,
114,0x72,94,0x0AC156,CA:C156,CC:7438,0x0C7438,
115,0x73,95,0x0AC159,CA:C159,CC:7641,0x0C7641,
116,0x74,96,0x0AC15C,CA:C15C,CC:7829,0x0C7829,
117,0x75,97,0x0AC15F,CA:C15F,CC:7C8F,0x0C7C8F,
118,0x76,98,0x0AC162,CA:C162,CC:8A7C,0x0C8A7C,
119,0x77,99,0x0AC165,CA:C165,CC:9185,0x0C9185,
120,0x78,100,0x0AC168,CA:C168,CC:9215,0x0C9215,
121,0x79,101,0x0AC16B,CA:C16B,CC:9419,0x0C9419,
122,0x7A,102,0x0AC16E,CA:C16E,CC:974C,0x0C974C,
123,0x7B,103,0x0AC171,CA:C171,CC:9822,0x0C9822,
124,0x7C,104,0x0AC174,CA:C174,CC:98CF,0x0C98CF,
125,0x7D,105,0x0AC177,CA:C177,CC:9C32,0x0C9C32,
126,0x7E,106,0x0AC17A,CA:C17A,CC:A159,0x0CA159,
127,0x7F,107,0x0AC17D,CA:C17D,CC:A641,0x0CA641,
128,0x80,108,0x0AC180,CA:C180,CC:A731,0x0CA731,
129,0x81,109,0x0AC183,CA:C183,CC:A85A,0x0CA85A,
130,0x82,110,0x0AC186,CA:C186,CC:B245,0x0CB245,
131,0x83,111,0x0AC189,CA:C189,CC:B791,0x0CB791,
132,0x84,112,0x0AC18C,CA:C18C,CC:BAA2,0x0CBAA2,
133,0x85,113,0x0AC18F,CA:C18F,CC:BBF2,0x0CBBF2,
134,0x86,114,0x0AC192,CA:C192,CC:BDD6,0x0CBDD6,
135,0x87,115,0x0AC195,CA:C195,CC:BF6B,0x0CBF6B,
136,0x88,116,0x0AC198,CA:C198,CC:C098,0x0CC098,
137,0x89,117,0x0AC19B,CA:C19B,CC:C440,0x0CC440,
138,0x8A,118,0x0AC19E,CA:C19E,CC:C62C,0x0CC62C,
139,0x8B,119,0x0AC1A1,CA:C1A1,CC:C6DB,0x0CC6DB,
140,0x8C,120,0x0AC1A4,CA:C1A4,CC:C8B7,0x0CC8B7,
141,0x8D,121,0x0AC1A7,CA:C1A7,CC:CA2C,0x0CCA2C,
142,0x8E,122,0x0AC1AA,CA:C1AA,CC:CC72,0x0CCC72,
143,0x8F,123,0x0AC1AD,CA:C1AD,CC:CE10,0x0CCE10,
144,0x90,124,0x0AC1B0,CA:C1B0,CC:D147,0x0CD147,
145,0x91,125,0x0AC1B3,CA:C1B3,CC:D20C,0x0CD20C,
146,0x92,126,0x0AC1B6,CA:C1B6,CC:D400,0x0CD400,
147,0x93,127,0x0AC1B9,CA:C1B9,CC:D606,0x0CD606,
148,0x94,128,0x0AC1BC,CA:C1BC,CC:D7A1,0x0CD7A1,
149,0x95,129,0x0AC1BF,CA:C1BF,CC:D976,0x0CD976,
150,0x96,130,0x0AC1C2,CA:C1C2,CC:DBBD,0x0CDBBD,
151,0x97,131,0x0AC1C5,CA:C1C5,CC:DCB7,0x0CDCB7,
152,0x98,132,0x0AC1C8,CA:C1C8,CC:DF28,0x0CDF28,
153,0x99,133,0x0AC1CB,CA:C1CB,CC:E15C,0x0CE15C,
154,0x9A,134,0x0AC1CE,CA:C1CE,CC:E6D1,0x0CE6D1,
155,0x9B,135,0x0AC1D1,CA:C1D1,CC:EECD,0x0CEECD,
156,0x9C,136,0x0AC1D4,CA:C1D4,CC:F8ED,0x0CF8ED,
157,0x9D,137,0x0AC1D7,CA:C1D7,CC:FB29,0x0CFB29,
158,0x9E,138,0x0AC1DA,CA:C1DA,CC:FFA7,0x0CFFA7,
159,0x9F,139,0x0AC1DD,CA:C1DD,CD:01D9,0x0D01D9,
160,0xA0,140,0x0AC1E0,CA:C1E0,CD:05DA,0x0D05DA,
161,0xA1,141,0x0AC1E3,CA:C1E3,CD:06B1,0x0D06B1,
162,0xA2,142,0x0AC1E6,CA:C1E6,CD:0B62,0x0D0B62,
163,0xA3,143,0x0AC1E9,CA:C1E9,CD:0D3B,0x0D0D3B,
164,0xA4,144,0x0AC1EC,CA:C1EC,CD:0FC7,0x0D0FC7,
165,0xA5,145,0x0AC1EF,CA:C1EF,CD:1482,0x0D1482,
166,0xA6,146,0x0AC1F2,CA:C1F2,CD:1738,0x0D1738,
167,0xA7,147,0x0AC1F5,CA:C1F5,CD:1957,0x0D1957,
168,0xA8,148,0x0AC1F8,CA:C1F8,CD:1D40,0x0D1D40,
169,0xA9,149,0x0AC1FB,CA:C1FB,CD:23CA,0x0D23CA,
170,0xAA,150,0x0AC1FE,CA:C1FE,CD:2B59,0x0D2B59,
171,0xAB,151,0x0AC201,CA:C201,CD:3065,0x0D3065,
172,0xAC,152,0x0AC204,CA:C204,CD:3166,0x0D3166,
173,0xAD,153,0x0AC207,CA:C207,CD:34A8,0x0D34A8,
174,0xAE,154,0x0AC20A,CA:C20A,CD:3578,0x0D3578,
175,0xAF,155,0x0AC20D,CA:C20D,CD:3CA5,0x0D3CA5,
176,0xB0,156,0x0AC210,CA:C210,CD:4036,0x0D4036,
177,0xB1,157,0x0AC213,CA:C213,CD:4230,0x0D4230,
178,0xB2,158,0x0AC216,CA:C216,CD:45D5,0x0D45D5,
179,0xB3,159,0x0AC219,CA:C219,CD:4878,0x0D4878,
180,0xB4,160,0x0AC21C,CA:C21C,CD:4B13,0x0D4B13,
181,0xB5,161,0x0AC21F,CA:C21F,CD:4DD8,0x0D4DD8,
182,0xB6,162,0x0AC222,CA:C222,CD:5212,0x0D5212,
183,0xB7,163,0x0AC225,CA:C225,CD:5393,0x0D5393,
184,0xB8,164,0x0AC228,CA:C228,CD:5678,0x0D5678,
185,0xB9,165,0x0AC22B,CA:C22B,CD:5C30,0x0D5C30,
186,0xBA,166,0x0AC22E,CA:C22E,CD:5EF5,0x0D5EF5,
187,0xBB,167,0x0AC231,CA:C231,CD:64E1,0x0D64E1,
188,0xBC,168,0x0AC234,CA:C234,CD:69CC,0x0D69CC,
189,0xBD,169,0x0AC237,CA:C237,CD:6C69,0x0D6C69,
190,0xBE,170,0x0AC23A,CA:C23A,CD:6E2F,0x0D6E2F,
191,0xBF,171,0x0AC23D,CA:C23D,CD:7808,0x0D7808,
192,0xC0,172,0x0AC240,CA:C240,CD:7902,0x0D7902,
193,0xC1,173,0x0AC243,CA:C243,CD:7C02,0x0D7C02,
194,0xC2,174,0x0AC246,CA:C246,CD:7CF0,0x0D7CF0,
195,0xC3,175,0x0AC249,CA:C249,CD:7E05,0x0D7E05,
196,0xC4,176,0x0AC24C,CA:C24C,CD:7F5B,0x0D7F5B,
197,0xC5,177,0x0AC24F,CA:C24F,CD:8328,0x0D8328,
198,0xC6,178,0x0AC252,CA:C252,CD:83BC,0x0D83BC,
199,0xC7,179,0x0AC255,CA:C255,CD:853B,0x0D853B,
200,0xC8,180,0x0AC258,CA:C258,CD:86AF,0x0D86AF,
201,0xC9,181,0x0AC25B,CA:C25B,CD:8D29,0x0D8D29,
202,0xCA,182,0x0AC25E,CA:C25E,CD:8DC2,0x0D8DC2,
203,0xCB,183,0x0AC261,CA:C261,CD:8E76,0x0D8E76,
204,0xCC,184,0x0AC264,CA:C264,CD:8EC2,0x0D8EC2,
205,0xCD,185,0x0AC267,CA:C267,CD:8FF3,0x0D8FF3,
206,0xCE,186,0x0AC26A,CA:C26A,CD:9116,0x0D9116,
207,0xCF,187,0x0AC26D,CA:C26D,CD:9266,0x0D9266,
208,0xD0,188,0x0AC270,CA:C270,CD:95F9,0x0D95F9,
209,0xD1,189,0x0AC273,CA:C273,CD:9741,0x0D9741,
210,0xD2,190,0x0AC276,CA:C276,CD:98F3,0x0D98F3,
211,0xD3,191,0x0AC279,CA:C279,CD:9A2C,0x0D9A2C,
212,0xD4,192,0x0AC27C,CA:C27C,CD:9C2B,0x0D9C2B,
213,0xD5,193,0x0AC27F,CA:C27F,CD:9E19,0x0D9E19,
214,0xD6,194,0x0AC282,CA:C282,CD:9F99,0x0D9F99,
215,0xD7,195,0x0AC285,CA:C285,CD:A0F6,0x0DA0F6,
216,0xD8,196,0x0AC288,CA:C288,CD:A360,0x0DA360,
217,0xD9,197,0x0AC28B,CA:C28B,CD:A4D6,0x0DA4D6,
218,0xDA,198,0x0AC28E,CA:C28E,CD:A59E,0x0DA59E,
219,0xDB,199,0x0AC291,CA:C291,CD:AA77,0x0DAA77,
220,0xDC,200,0x0AC294,CA:C294,CD:AF5F,0x0DAF5F,
221,0xDD,201,0x0AC297,CA:C297,CD:B5B7,0x0DB5B7,
222,0xDE,202,0x0AC29A,CA:C29A,CD:B6C8,0x0DB6C8,
223,0xDF,203,0x0AC29D,CA:C29D,CD:B8A3,0x0DB8A3,
224,0xE0,204,0x0AC2A0,CA:C2A0,CD:BA2E,0x0DBA2E,
225,0xE1,205,0x0AC2A3,CA:C2A3,CD:BFAE,0x0DBFAE,
226,0xE2,206,0x0AC2A6,CA:C2A6,CD:C393,0x0DC393,
227,0xE3,207,0x0AC2A9,CA:C2A9,CD:C7A7,0x0DC7A7,
228,0xE4,208,0x0AC2AC,CA:C2AC,CD:C83C,0x0DC83C,
229,0xE5,209,0x0AC2AF,CA:C2AF,CD:CACE,0x0DCACE,
230,0xE6,210,0x0AC2B2,CA:C2B2,CD:CCB2,0x0DCCB2,
231,0xE7,211,0x0AC2B5,CA:C2B5,CD:D504,0x0DD504,
