equipment_id_dec,equipment_id_hex,name,group,slot_label,stat_value,pack_table_index,pack_pointer_16,pack_raw_offset,pack_label_c0_mirror,hook_count,hook_ids,hook_signature,is_default_pack,has_c1_c2_c8_special_hook,changed_83_or_84_target,classification
25,0x19,一枚胴,桃太郎系,胴,20,same_as_equipment_id_zero_based_table,0x05E0,0x0B05E0,CB:05E0,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
26,0x1A,二枚胴,桃太郎系,胴,25,same_as_equipment_id_zero_based_table,0x05EA,0x0B05EA,CB:05EA,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
27,0x1B,三枚胴,桃太郎系,胴,30,same_as_equipment_id_zero_based_table,0x05F4,0x0B05F4,CB:05F4,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
28,0x1C,鎧,桃太郎系,胴,40,same_as_equipment_id_zero_based_table,0x05FE,0x0B05FE,CB:05FE,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
29,0x1D,大鎧,桃太郎系,胴,46,same_as_equipment_id_zero_based_table,0x0608,0x0B0608,CB:0608,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
30,0x1E,武者鎧,桃太郎系,胴,49,same_as_equipment_id_zero_based_table,0x0612,0x0B0612,CB:0612,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
31,0x1F,勇気の鎧,桃太郎系,胴,60,same_as_equipment_id_zero_based_table,0x061C,0x0B061C,CB:061C,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
32,0x20,なし,金太郎系,胴,0,same_as_equipment_id_zero_based_table,0x0626,0x0B0626,CB:0626,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
33,0x21,なし,金太郎系,胴,0,same_as_equipment_id_zero_based_table,0x0630,0x0B0630,CB:0630,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
34,0x22,なし,金太郎系,胴,0,same_as_equipment_id_zero_based_table,0x063A,0x0B063A,CB:063A,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
35,0x23,まさかり,金太郎系,武器,33,same_as_equipment_id_zero_based_table,0x0644,0x0B0644,CB:0644,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
36,0x24,大まさかり,金太郎系,武器,40,same_as_equipment_id_zero_based_table,0x064E,0x0B064E,CB:064E,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
37,0x25,銅のまさかり,金太郎系,武器,60,same_as_equipment_id_zero_based_table,0x0658,0x0B0658,CB:0658,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
38,0x26,銀のまさかり,金太郎系,武器,70,same_as_equipment_id_zero_based_table,0x0662,0x0B0662,CB:0662,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
39,0x27,金のまさかり,金太郎系,武器,80,same_as_equipment_id_zero_based_table,0x066C,0x0B066C,CB:066C,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
40,0x28,希望のまさかり,金太郎系,武器,100,same_as_equipment_id_zero_based_table,0x0676,0x0B0676,CB:0676,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
41,0x29,なし,金太郎系,武器,0,same_as_equipment_id_zero_based_table,0x0680,0x0B0680,CB:0680,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
42,0x2A,なし,金太郎系,武器,0,same_as_equipment_id_zero_based_table,0x068A,0x0B068A,CB:068A,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
43,0x2B,なし,金太郎系,武器,0,same_as_equipment_id_zero_based_table,0x0694,0x0B0694,CB:0694,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
44,0x2C,腹がけ,金太郎系,胴,14,same_as_equipment_id_zero_based_table,0x069E,0x0B069E,CB:069E,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
45,0x2D,木綿のはらがけ,金太郎系,胴,22,same_as_equipment_id_zero_based_table,0x06A8,0x0B06A8,CB:06A8,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
46,0x2E,銀のはらがけ,金太郎系,胴,30,same_as_equipment_id_zero_based_table,0x06B2,0x0B06B2,CB:06B2,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
47,0x2F,金のはらがけ,金太郎系,胴,39,same_as_equipment_id_zero_based_table,0x06BC,0x0B06BC,CB:06BC,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
48,0x30,希望のはらがけ,金太郎系,胴,49,same_as_equipment_id_zero_based_table,0x06C6,0x0B06C6,CB:06C6,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
49,0x31,なし,金太郎系,胴,0,same_as_equipment_id_zero_based_table,0x06D0,0x0B06D0,CB:06D0,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
50,0x32,なし,金太郎系,胴,0,same_as_equipment_id_zero_based_table,0x06DA,0x0B06DA,CB:06DA,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
51,0x33,なし,金太郎系,胴,0,same_as_equipment_id_zero_based_table,0x06E4,0x0B06E4,CB:06E4,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
52,0x34,モリ,浦島系,武器,33,same_as_equipment_id_zero_based_table,0x06EE,0x0B06EE,CB:06EE,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
53,0x35,小波のモリ,浦島系,武器,38,same_as_equipment_id_zero_based_table,0x06F8,0x0B06F8,CB:06F8,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
54,0x36,白波のモリ,浦島系,武器,45,same_as_equipment_id_zero_based_table,0x0702,0x0B0702,CB:0702,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
55,0x37,大波のモリ,浦島系,武器,49,same_as_equipment_id_zero_based_table,0x070C,0x0B070C,CB:070C,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
56,0x38,高波のモリ,浦島系,武器,53,same_as_equipment_id_zero_based_table,0x0716,0x0B0716,CB:0716,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
57,0x39,津波のモリ,浦島系,武器,60,same_as_equipment_id_zero_based_table,0x0720,0x0B0720,CB:0720,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
58,0x3A,大津波のモリ,浦島系,武器,65,same_as_equipment_id_zero_based_table,0x072A,0x0B072A,CB:072A,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
59,0x3B,正義のモリ,浦島系,武器,85,same_as_equipment_id_zero_based_table,0x0734,0x0B0734,CB:0734,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
60,0x3C,夕凪のモリ,浦島系,武器,50,same_as_equipment_id_zero_based_table,0x073E,0x0B073E,CB:073E,4,84 83 82 C1,84->074B 83->0751 82->0408 C1->0759,False,True,True,non_default_special
61,0x3D,朝凪のモリ,浦島系,武器,50,same_as_equipment_id_zero_based_table,0x077F,0x0B077F,CB:077F,5,84 83 82 C1 C2,84->078F 83->0795 82->0408 C1->079D C2->07C2,False,True,True,non_default_special
62,0x3E,なし,浦島系,武器,0,same_as_equipment_id_zero_based_table,0x07CA,0x0B07CA,CB:07CA,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
63,0x3F,なし,浦島系,武器,0,same_as_equipment_id_zero_based_table,0x07D4,0x0B07D4,CB:07D4,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
64,0x40,なし,浦島系,武器,0,same_as_equipment_id_zero_based_table,0x07DE,0x0B07DE,CB:07DE,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
65,0x41,漁師の着物,浦島系,胴,23,same_as_equipment_id_zero_based_table,0x07E8,0x0B07E8,CB:07E8,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
66,0x42,豊漁の着物,浦島系,胴,29,same_as_equipment_id_zero_based_table,0x07F2,0x0B07F2,CB:07F2,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
67,0x43,大量の着物,浦島系,胴,33,same_as_equipment_id_zero_based_table,0x07FC,0x0B07FC,CB:07FC,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
68,0x44,黒潮の着物,浦島系,胴,39,same_as_equipment_id_zero_based_table,0x0806,0x0B0806,CB:0806,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
69,0x45,正義の着物,浦島系,胴,45,same_as_equipment_id_zero_based_table,0x0810,0x0B0810,CB:0810,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
70,0x46,なし,浦島系,胴,0,same_as_equipment_id_zero_based_table,0x081A,0x0B081A,CB:081A,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
71,0x47,なし,浦島系,胴,0,same_as_equipment_id_zero_based_table,0x0824,0x0B0824,CB:0824,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
72,0x48,なし,浦島系,胴,0,same_as_equipment_id_zero_based_table,0x082E,0x0B082E,CB:082E,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
73,0x49,サンゴの杖,夜叉姫系,武器,50,same_as_equipment_id_zero_based_table,0x0838,0x0B0838,CB:0838,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
74,0x4A,ひすいの杖,夜叉姫系,武器,56,same_as_equipment_id_zero_based_table,0x0842,0x0B0842,CB:0842,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
75,0x4B,めのうの杖,夜叉姫系,武器,63,same_as_equipment_id_zero_based_table,0x084C,0x0B084C,CB:084C,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
76,0x4C,琥珀の杖,夜叉姫系,武器,68,same_as_equipment_id_zero_based_table,0x0856,0x0B0856,CB:0856,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
77,0x4D,真珠の杖,夜叉姫系,武器,72,same_as_equipment_id_zero_based_table,0x0860,0x0B0860,CB:0860,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
78,0x4E,銀の杖,夜叉姫系,武器,78,same_as_equipment_id_zero_based_table,0x086A,0x0B086A,CB:086A,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
79,0x4F,金の杖,夜叉姫系,武器,82,same_as_equipment_id_zero_based_table,0x0874,0x0B0874,CB:0874,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
80,0x50,流星の杖,夜叉姫系,武器,88,same_as_equipment_id_zero_based_table,0x087E,0x0B087E,CB:087E,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
81,0x51,愛の杖,夜叉姫系,武器,98,same_as_equipment_id_zero_based_table,0x0888,0x0B0888,CB:0888,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
82,0x52,なし,夜叉姫系,武器,0,same_as_equipment_id_zero_based_table,0x0892,0x0B0892,CB:0892,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
83,0x53,なし,夜叉姫系,武器,0,same_as_equipment_id_zero_based_table,0x089C,0x0B089C,CB:089C,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
84,0x54,なし,夜叉姫系,武器,0,same_as_equipment_id_zero_based_table,0x08A6,0x0B08A6,CB:08A6,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
85,0x55,こそで,夜叉姫系,胴,18,same_as_equipment_id_zero_based_table,0x08B0,0x0B08B0,CB:08B0,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
86,0x56,ふりそで,夜叉姫系,胴,23,same_as_equipment_id_zero_based_table,0x08BA,0x0B08BA,CB:08BA,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
87,0x57,梅のふりそで,夜叉姫系,胴,26,same_as_equipment_id_zero_based_table,0x08C4,0x0B08C4,CB:08C4,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
88,0x58,桜のふりそで,夜叉姫系,胴,32,same_as_equipment_id_zero_based_table,0x08CE,0x0B08CE,CB:08CE,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
89,0x59,金のふりそで,夜叉姫系,胴,36,same_as_equipment_id_zero_based_table,0x08D8,0x0B08D8,CB:08D8,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
90,0x5A,愛の十二単衣,夜叉姫系,胴,45,same_as_equipment_id_zero_based_table,0x08E2,0x0B08E2,CB:08E2,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
91,0x5B,なし,夜叉姫系,胴,0,same_as_equipment_id_zero_based_table,0x08EC,0x0B08EC,CB:08EC,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
92,0x5C,なし,夜叉姫系,胴,0,same_as_equipment_id_zero_based_table,0x08F6,0x0B08F6,CB:08F6,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
93,0x5D,なし,夜叉姫系,胴,0,same_as_equipment_id_zero_based_table,0x0900,0x0B0900,CB:0900,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
94,0x5E,赤いバラ,夜叉姫系,武器,50,same_as_equipment_id_zero_based_table,0x090A,0x0B090A,CB:090A,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
95,0x5F,青いバラ,夜叉姫系,武器,55,same_as_equipment_id_zero_based_table,0x0914,0x0B0914,CB:0914,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
96,0x60,琥珀のバラ,夜叉姫系,武器,60,same_as_equipment_id_zero_based_table,0x091E,0x0B091E,CB:091E,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
97,0x61,べっこうのバラ,夜叉姫系,武器,65,same_as_equipment_id_zero_based_table,0x0928,0x0B0928,CB:0928,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
98,0x62,象牙のバラ,夜叉姫系,武器,69,same_as_equipment_id_zero_based_table,0x0932,0x0B0932,CB:0932,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
99,0x63,ギヤマンのバラ,夜叉姫系,武器,74,same_as_equipment_id_zero_based_table,0x093C,0x0B093C,CB:093C,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
100,0x64,銅のバラ,夜叉姫系,武器,80,same_as_equipment_id_zero_based_table,0x0946,0x0B0946,CB:0946,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
101,0x65,銀のバラ,夜叉姫系,武器,83,same_as_equipment_id_zero_based_table,0x0950,0x0B0950,CB:0950,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
102,0x66,金のバラ,夜叉姫系,武器,87,same_as_equipment_id_zero_based_table,0x095A,0x0B095A,CB:095A,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
103,0x67,黄泉のバラ,夜叉姫系,武器,95,same_as_equipment_id_zero_based_table,0x0964,0x0B0964,CB:0964,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
104,0x68,なし,夜叉姫系,武器,0,same_as_equipment_id_zero_based_table,0x096E,0x0B096E,CB:096E,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
105,0x69,なし,夜叉姫系,武器,0,same_as_equipment_id_zero_based_table,0x0978,0x0B0978,CB:0978,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
106,0x6A,なし,夜叉姫系,武器,0,same_as_equipment_id_zero_based_table,0x0982,0x0B0982,CB:0982,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
107,0x6B,真紅の絹,夜叉姫系,胴,8,same_as_equipment_id_zero_based_table,0x098C,0x0B098C,CB:098C,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
108,0x6C,綾織の絹,夜叉姫系,胴,27,same_as_equipment_id_zero_based_table,0x0996,0x0B0996,CB:0996,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
109,0x6D,羽二重の絹,夜叉姫系,胴,38,same_as_equipment_id_zero_based_table,0x09A0,0x0B09A0,CB:09A0,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
110,0x6E,黄泉の絹,夜叉姫系,胴,43,same_as_equipment_id_zero_based_table,0x09AA,0x0B09AA,CB:09AA,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
111,0x6F,なし,夜叉姫系,胴,0,same_as_equipment_id_zero_based_table,0x09B4,0x0B09B4,CB:09B4,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
112,0x70,なし,夜叉姫系,胴,0,same_as_equipment_id_zero_based_table,0x09BE,0x0B09BE,CB:09BE,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
113,0x71,なし,夜叉姫系,胴,0,same_as_equipment_id_zero_based_table,0x09C8,0x0B09C8,CB:09C8,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
114,0x72,出刃包丁,はらだし系,武器,6,same_as_equipment_id_zero_based_table,0x09D2,0x0B09D2,CB:09D2,4,84 83 C8 82,84->03DB 83->09DF C8->09E7 82->0408,False,True,True,non_default_special
115,0x73,小出刃包丁,はらだし系,武器,4,same_as_equipment_id_zero_based_table,0x0A05,0x0B0A05,CB:0A05,4,84 83 C8 82,84->03DB 83->0A12 C8->0A1A 82->0408,False,True,True,non_default_special
116,0x74,薄切り包丁,はらだし系,武器,6,same_as_equipment_id_zero_based_table,0x0A23,0x0B0A23,CB:0A23,4,84 83 C8 82,84->03DB 83->0A30 C8->0A38 82->0408,False,True,True,non_default_special
117,0x75,牛切り包丁,はらだし系,武器,17,same_as_equipment_id_zero_based_table,0x0A50,0x0B0A50,CB:0A50,3,84 83 82,84->03DB 83->0A5A 82->0408,False,False,True,non_default_special
118,0x76,葉切り包丁,はらだし系,武器,20,same_as_equipment_id_zero_based_table,0x0A62,0x0B0A62,CB:0A62,4,84 83 C8 82,84->03DB 83->09DF C8->09E7 82->0408,False,True,True,non_default_special
119,0x77,合出刃包丁,はらだし系,武器,20,same_as_equipment_id_zero_based_table,0x0A6F,0x0B0A6F,CB:0A6F,4,84 83 C8 82,84->03DB 83->0A12 C8->0A1A 82->0408,False,True,True,non_default_special
120,0x78,柳刃包丁,はらだし系,武器,20,same_as_equipment_id_zero_based_table,0x0A7C,0x0B0A7C,CB:0A7C,4,84 83 C8 82,84->03DB 83->0A30 C8->0A38 82->0408,False,True,True,non_default_special
121,0x79,骨切り包丁,はらだし系,武器,40,same_as_equipment_id_zero_based_table,0x0A89,0x0B0A89,CB:0A89,3,84 83 82,84->03DB 83->0A5A 82->0408,False,False,True,non_default_special
122,0x7A,切り出し包丁,はらだし系,武器,30,same_as_equipment_id_zero_based_table,0x0A93,0x0B0A93,CB:0A93,4,84 83 C8 82,84->03DB 83->0AA0 C8->09E7 82->0408,False,True,True,non_default_special
123,0x7B,ドス,はらだし系,武器,30,same_as_equipment_id_zero_based_table,0x0AA8,0x0B0AA8,CB:0AA8,5,84 83 C8 C2 82,84->03DB 83->0AB8 C8->0AC0 C2->0AE8 82->0408,False,True,True,non_default_special
124,0x7C,長ドス,はらだし系,武器,30,same_as_equipment_id_zero_based_table,0x0AED,0x0B0AED,CB:0AED,4,84 83 C8 82,84->03DB 83->0A30 C8->0A38 82->0408,False,True,True,non_default_special
125,0x7D,隼のドス,はらだし系,武器,30,same_as_equipment_id_zero_based_table,0x0AFA,0x0B0AFA,CB:0AFA,4,84 83 C8 82,84->03DB 83->0A12 C8->0A1A 82->0408,False,True,True,non_default_special
126,0x7E,団十郎,はらだし系,武器,50,same_as_equipment_id_zero_based_table,0x0B07,0x0B0B07,CB:0B07,4,84 83 C8 82,84->03DB 83->0B14 C8->09E7 82->0408,False,True,True,non_default_special
127,0x7F,村雨,はらだし系,武器,50,same_as_equipment_id_zero_based_table,0x0B1C,0x0B0B1C,CB:0B1C,4,84 83 C8 82,84->03DB 83->0B29 C8->0AC0 82->0408,False,True,True,non_default_special
128,0x80,村正,鬼/特殊系A,武器,50,same_as_equipment_id_zero_based_table,0x0B31,0x0B0B31,CB:0B31,4,84 83 C8 82,84->03DB 83->0A12 C8->0A1A 82->0408,False,True,True,non_default_special
129,0x81,孫六,鬼/特殊系A,武器,60,same_as_equipment_id_zero_based_table,0x0B3E,0x0B0B3E,CB:0B3E,4,84 83 C8 82,84->03DB 83->0A30 C8->0A38 82->0408,False,True,True,non_default_special
130,0x82,菊一文字,鬼/特殊系A,武器,70,same_as_equipment_id_zero_based_table,0x0B4B,0x0B0B4B,CB:0B4B,3,84 83 82,84->03DB 83->0A5A 82->0408,False,False,True,non_default_special
131,0x83,なし,鬼/特殊系A,武器,0,same_as_equipment_id_zero_based_table,0x0B55,0x0B0B55,CB:0B55,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
132,0x84,なし,鬼/特殊系A,武器,0,same_as_equipment_id_zero_based_table,0x0B5F,0x0B0B5F,CB:0B5F,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
133,0x85,なし,鬼/特殊系A,武器,0,same_as_equipment_id_zero_based_table,0x0B69,0x0B0B69,CB:0B69,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
134,0x86,着流し,鬼/特殊系A,胴,7,same_as_equipment_id_zero_based_table,0x0B73,0x0B0B73,CB:0B73,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
135,0x87,小そで着流し,鬼/特殊系A,胴,11,same_as_equipment_id_zero_based_table,0x0B7D,0x0B0B7D,CB:0B7D,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
136,0x88,大そで着流し,鬼/特殊系A,胴,18,same_as_equipment_id_zero_based_table,0x0B87,0x0B0B87,CB:0B87,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
137,0x89,染めつけ着流し,鬼/特殊系A,胴,25,same_as_equipment_id_zero_based_table,0x0B91,0x0B0B91,CB:0B91,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
138,0x8A,しぼり着流し,鬼/特殊系A,胴,33,same_as_equipment_id_zero_based_table,0x0B9B,0x0B0B9B,CB:0B9B,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
139,0x8B,つむぎ着流し,鬼/特殊系A,胴,37,same_as_equipment_id_zero_based_table,0x0BA5,0x0B0BA5,CB:0BA5,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
140,0x8C,なし,鬼/特殊系A,胴,0,same_as_equipment_id_zero_based_table,0x0BAF,0x0B0BAF,CB:0BAF,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
141,0x8D,なし,鬼/特殊系A,胴,0,same_as_equipment_id_zero_based_table,0x0BB9,0x0B0BB9,CB:0BB9,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
142,0x8E,なし,鬼/特殊系A,胴,0,same_as_equipment_id_zero_based_table,0x0BC3,0x0B0BC3,CB:0BC3,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
