pattern_id,count,tl,tr,bl,br,tiles,pals,hflips,vflips,priority
61,4,0x5102,0x5303,0x5302,0x5103,"0x102,0x303,0x302,0x103","5,5,5,5","0,0,0,0","0,0,0,0","0,0,0,0"
62,4,0x2212,0x2113,0x2212,0x2313,"0x212,0x113,0x212,0x313","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
63,4,0x3912,0x3C13,0x3912,0x3913,"0x112,0x013,0x112,0x113","3,3,3,3","0,1,0,0","1,1,1,1","0,0,0,0"
64,4,0x2512,0x2613,0x2512,0x2513,"0x112,0x213,0x112,0x113","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
65,4,0x3112,0x2513,0x3112,0x2513,"0x112,0x113,0x112,0x113","3,2,3,2","0,1,0,1","0,0,0,0","0,0,0,0"
66,4,0x2512,0x3113,0x2512,0x2513,"0x112,0x113,0x112,0x113","2,3,2,2","1,0,1,1","0,0,0,0","0,0,0,0"
67,4,0x2102,0x2103,0x2302,0x2103,"0x102,0x103,0x302,0x103","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
68,4,0xA912,0xA913,0xB612,0xB613,"0x112,0x113,0x212,0x213","2,2,3,3","0,0,1,1","1,1,0,0","1,1,1,1"
69,4,0x3B02,0x3B03,0x3902,0x3C03,"0x302,0x303,0x102,0x003","3,3,3,3","0,0,0,1","1,1,1,1","0,0,0,0"
70,4,0x3A12,0x3A13,0x5812,0x5813,"0x212,0x213,0x012,0x013","3,3,5,5","0,0,0,0","1,1,1,1","0,0,0,0"
71,4,0x2512,0x2513,0xBC12,0xBC13,"0x112,0x113,0x012,0x013","2,2,3,3","1,1,1,1","0,0,1,1","0,0,1,1"
72,4,0xB912,0xB913,0xBA12,0xBA13,"0x112,0x113,0x212,0x213","3,3,3,3","0,0,0,0","1,1,1,1","1,1,1,1"
73,4,0x3C12,0x3D13,0xBB12,0xB913,"0x012,0x113,0x312,0x113","3,3,3,3","1,1,0,0","1,1,1,1","0,0,1,1"
74,4,0xBB12,0xBA13,0xBB12,0xBB13,"0x312,0x213,0x312,0x313","3,3,3,3","0,0,0,0","1,1,1,1","1,1,1,1"
75,4,0xBA12,0xB913,0xBB12,0xBA13,"0x212,0x113,0x312,0x213","3,3,3,3","0,0,0,0","1,1,1,1","1,1,1,1"
76,4,0x4B12,0x4B13,0x4D12,0x4D13,"0x312,0x313,0x112,0x113","4,4,4,4","0,0,1,1","1,1,1,1","0,0,0,0"
77,4,0x3E02,0x3E03,0x3F04,0x3F05,"0x202,0x203,0x304,0x305","3,3,3,3","1,1,1,1","1,1,1,1","0,0,0,0"
78,4,0x3212,0x2D13,0x3212,0x2D13,"0x212,0x113,0x212,0x113","3,2,3,2","0,1,0,1","0,1,0,1","0,0,0,0"
79,4,0x3C02,0x3903,0x3902,0x3903,"0x002,0x103,0x102,0x103","3,3,3,3","1,0,0,0","1,1,1,1","0,0,0,0"
80,4,0x3902,0x3A03,0x3B02,0x3B03,"0x102,0x203,0x302,0x303","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
81,4,0x3C02,0x3C03,0x3B02,0x3B03,"0x002,0x003,0x302,0x303","3,3,3,3","1,1,0,0","1,1,1,1","0,0,0,0"
82,4,0x3C12,0x3C13,0x3914,0x3904,"0x012,0x013,0x114,0x104","3,3,3,3","1,1,0,0","1,1,1,1","0,0,0,0"
83,4,0x4A12,0x4A13,0x4A12,0x4A13,"0x212,0x213,0x212,0x213","4,4,4,4","0,0,0,0","1,1,1,1","0,0,0,0"
84,4,0x3202,0x2E03,0x3202,0x2E03,"0x202,0x203,0x202,0x203","3,2,3,2","0,1,0,1","0,1,0,1","0,0,0,0"
85,4,0x3202,0x2D03,0x3202,0x2D03,"0x202,0x103,0x202,0x103","3,2,3,2","0,1,0,1","0,1,0,1","0,0,0,0"
86,4,0x3202,0x3203,0x3230,0x3231,"0x202,0x203,0x230,0x231","3,3,3,3","0,0,0,0","0,0,0,0","0,0,0,0"
87,4,0x4A02,0x4A03,0x4A02,0x4A03,"0x202,0x203,0x202,0x203","4,4,4,4","0,0,0,0","1,1,1,1","0,0,0,0"
88,4,0x5802,0x5803,0x3602,0x3603,"0x002,0x003,0x202,0x203","5,5,3,3","0,0,1,1","1,1,0,0","0,0,0,0"
89,4,0x5802,0x5803,0x2902,0x2903,"0x002,0x003,0x102,0x103","5,5,2,2","0,0,0,0","1,1,1,1","0,0,0,0"
90,4,0x2D02,0x2D03,0x2D02,0x2D03,"0x102,0x103,0x102,0x103","2,2,2,2","1,1,1,1","1,1,1,1","0,0,0,0"
91,4,0x4B12,0x4B13,0x2E12,0x2E13,"0x312,0x313,0x212,0x213","4,4,2,2","0,0,1,1","1,1,1,1","0,0,0,0"
92,4,0x3202,0x3203,0x2D02,0x3203,"0x202,0x203,0x102,0x203","3,3,2,3","0,0,1,0","0,0,1,0","0,0,0,0"
93,4,0x2502,0x2503,0x4B02,0x2503,"0x102,0x103,0x302,0x103","2,2,4,2","1,1,0,1","0,0,1,0","0,0,0,0"
94,4,0x3E02,0x3E03,0x3E02,0x4B03,"0x202,0x203,0x202,0x303","3,3,3,4","1,1,1,0","1,1,1,1","0,0,0,0"
95,4,0x3E12,0x3E13,0x4B12,0x3E13,"0x212,0x213,0x312,0x213","3,3,4,3","1,1,0,1","1,1,1,1","0,0,0,0"
96,3,0x2A02,0x2A03,0x5F02,0x2A03,"0x202,0x203,0x302,0x203","2,2,5,2","0,0,1,0","1,1,1,1","0,0,0,0"
97,3,0x2312,0x2113,0x2312,0x2313,"0x312,0x113,0x312,0x313","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
98,3,0x2212,0x2213,0x2312,0x2313,"0x212,0x213,0x312,0x313","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
99,3,0x2112,0x2113,0x2312,0x2113,"0x112,0x113,0x312,0x113","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
100,3,0x2312,0x2413,0x2312,0x2313,"0x312,0x013,0x312,0x313","2,2,2,2","0,1,0,0","0,0,0,0","0,0,0,0"
101,3,0x2512,0x2513,0x2612,0x2513,"0x112,0x113,0x212,0x113","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
102,3,0x2512,0x2513,0x2512,0x2613,"0x112,0x113,0x112,0x213","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
103,3,0x2512,0x2513,0x3912,0x3B13,"0x112,0x113,0x112,0x313","2,2,3,3","1,1,0,0","0,0,1,1","0,0,0,0"
104,3,0x2512,0x2513,0x3B12,0x2513,"0x112,0x113,0x312,0x113","2,2,3,2","1,1,0,1","0,0,1,0","0,0,0,0"
105,3,0x2512,0x2513,0x2912,0x3113,"0x112,0x113,0x112,0x113","2,2,2,3","1,1,0,0","0,0,1,0","0,0,0,0"
106,3,0x2512,0x2513,0x2512,0x3113,"0x112,0x113,0x112,0x113","2,2,2,3","1,1,1,0","0,0,0,0","0,0,0,0"
107,3,0x5102,0x5203,0x5202,0x5103,"0x102,0x203,0x202,0x103","5,5,5,5","0,0,0,0","0,0,0,0","0,0,0,0"
108,3,0x5302,0x5103,0x5302,0x5203,"0x302,0x103,0x302,0x203","5,5,5,5","0,0,0,0","0,0,0,0","0,0,0,0"
109,3,0x5102,0x5103,0x5202,0x5103,"0x102,0x103,0x202,0x103","5,5,5,5","0,0,0,0","0,0,0,0","0,0,0,0"
110,3,0x5102,0x5203,0x5102,0x5203,"0x102,0x203,0x102,0x203","5,5,5,5","0,0,0,0","0,0,0,0","0,0,0,0"
111,3,0x2212,0x2113,0x2312,0x2413,"0x212,0x113,0x312,0x013","2,2,2,2","0,0,0,1","0,0,0,0","0,0,0,0"
112,3,0x3912,0x3913,0x3A12,0x3B13,"0x112,0x113,0x212,0x313","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
113,3,0x3C12,0x3913,0x3912,0x3913,"0x012,0x113,0x112,0x113","3,3,3,3","1,0,0,0","1,1,1,1","0,0,0,0"
114,3,0x3B12,0x3A13,0x3B12,0x3B13,"0x312,0x213,0x312,0x313","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
115,3,0x2A02,0x2A03,0x2C02,0x2A03,"0x202,0x203,0x002,0x203","2,2,2,2","0,0,1,0","1,1,1,1","0,0,0,0"
116,3,0x2C12,0x2513,0x2512,0x2513,"0x012,0x113,0x112,0x113","2,2,2,2","1,1,1,1","1,0,0,0","0,0,0,0"
117,3,0x2E02,0x2E03,0x2E02,0x2E03,"0x202,0x203,0x202,0x203","2,2,2,2","1,1,1,1","1,1,1,1","0,0,0,0"
118,3,0x2E02,0x2E03,0x2102,0x2103,"0x202,0x203,0x102,0x103","2,2,2,2","1,1,0,0","1,1,0,0","0,0,0,0"
119,3,0x2D02,0x2E03,0x2102,0x2103,"0x102,0x203,0x102,0x103","2,2,2,2","1,1,0,0","1,1,0,0","0,0,0,0"
120,3,0x2E02,0x2D03,0x2102,0x2103,"0x202,0x103,0x102,0x103","2,2,2,2","1,1,0,0","1,1,0,0","0,0,0,0"
121,3,0x2912,0x3113,0x2512,0x2513,"0x112,0x113,0x112,0x113","2,3,2,2","0,0,1,1","1,0,0,0","0,0,0,0"
122,3,0x2D12,0x2E13,0x2E12,0x2E13,"0x112,0x213,0x212,0x213","2,2,2,2","1,1,1,1","1,1,1,1","0,0,0,0"
123,3,0x3112,0x2913,0x2512,0x2513,"0x112,0x113,0x112,0x113","3,2,2,2","0,0,1,1","0,1,0,0","0,0,0,0"
124,3,0x3112,0x2913,0x2512,0x3113,"0x112,0x113,0x112,0x113","3,2,2,3","0,0,1,0","0,1,0,0","0,0,0,0"
125,3,0x2E12,0x2D13,0x2312,0x2313,"0x212,0x113,0x312,0x313","2,2,2,2","1,1,0,0","1,1,0,0","0,0,0,0"
126,3,0x2512,0x3113,0x3112,0x2913,"0x112,0x113,0x112,0x113","2,3,3,2","1,0,0,0","0,0,0,1","0,0,0,0"
127,3,0x3102,0x2503,0x2502,0x2503,"0x102,0x103,0x102,0x103","3,2,2,2","0,1,1,1","0,0,0,0","0,0,0,0"
128,3,0x4112,0x4213,0x3E12,0x3E13,"0x112,0x213,0x212,0x213","4,4,3,3","0,0,1,1","0,0,1,1","0,0,0,0"
129,3,0x2512,0x2513,0x2512,0xB613,"0x112,0x113,0x112,0x213","2,2,2,3","1,1,1,1","0,0,0,0","0,0,0,1"
130,3,0x2512,0xB613,0xA912,0xA913,"0x112,0x213,0x112,0x113","2,3,2,2","1,1,0,0","0,0,1,1","0,1,1,1"
131,3,0xB602,0xB603,0xB602,0xB603,"0x202,0x203,0x202,0x203","3,3,3,3","1,1,1,1","0,0,0,0","1,1,1,1"
132,3,0x3A02,0x3A03,0x3B02,0x3903,"0x202,0x203,0x302,0x103","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
133,3,0x3B02,0x3A03,0x3D02,0x3C03,"0x302,0x203,0x102,0x003","3,3,3,3","0,0,1,1","1,1,1,1","0,0,0,0"
134,3,0x3C12,0x3C13,0x3912,0x3913,"0x012,0x013,0x112,0x113","3,3,3,3","1,1,0,0","1,1,1,1","0,0,0,0"
135,3,0x3912,0x3913,0x3C12,0x3913,"0x112,0x113,0x012,0x113","3,3,3,3","0,0,1,0","1,1,1,1","0,0,0,0"
136,3,0x2E02,0x2D03,0x2102,0x2F03,"0x202,0x103,0x102,0x303","2,2,2,2","1,1,0,1","1,1,0,1","0,0,0,0"
137,3,0x2502,0x2503,0x2502,0x3103,"0x102,0x103,0x102,0x103","2,2,2,3","1,1,1,0","0,0,0,0","0,0,0,0"
138,3,0x3E12,0x3E13,0x4112,0x3E13,"0x212,0x213,0x112,0x213","3,3,4,3","1,1,0,1","1,1,0,1","0,0,0,0"
139,3,0x5812,0x5813,0x3612,0x3613,"0x012,0x013,0x212,0x213","5,5,3,3","0,0,1,1","1,1,0,0","0,0,0,0"
140,3,0xBC12,0xBC13,0xB912,0xBC13,"0x012,0x013,0x112,0x013","3,3,3,3","1,1,0,1","1,1,1,1","1,1,1,1"
141,3,0x3E14,0x3E04,0x2512,0x2513,"0x214,0x204,0x112,0x113","3,3,2,2","1,1,1,1","1,1,0,0","0,0,0,0"
142,3,0x2514,0x2504,0x2514,0x2504,"0x114,0x104,0x114,0x104","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
143,3,0xBB02,0xBB03,0xBC02,0xBD03,"0x302,0x303,0x002,0x103","3,3,3,3","0,0,1,1","1,1,1,1","1,1,1,1"
144,3,0xBA12,0xBA13,0xBB12,0xBB13,"0x212,0x213,0x312,0x313","3,3,3,3","0,0,0,0","1,1,1,1","1,1,1,1"
145,3,0x4B12,0x4F13,0x4B12,0x4F13,"0x312,0x313,0x312,0x313","4,4,4,4","0,1,0,1","1,1,1,1","0,0,0,0"
146,3,0x4B12,0x4F13,0x4B12,0x4B13,"0x312,0x313,0x312,0x313","4,4,4,4","0,1,0,0","1,1,1,1","0,0,0,0"
147,3,0x4F12,0x4B13,0x4B12,0x4B13,"0x312,0x313,0x312,0x313","4,4,4,4","1,0,0,0","1,1,1,1","0,0,0,0"
148,3,0x3C12,0x3913,0x3A12,0x3A13,"0x012,0x113,0x212,0x213","3,3,3,3","1,0,0,0","1,1,1,1","0,0,0,0"
149,3,0x3912,0x3913,0x3A12,0x3913,"0x112,0x113,0x212,0x113","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
150,3,0x3912,0x3913,0x3A12,0x3A13,"0x112,0x113,0x212,0x213","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
151,3,0x3302,0x3303,0x2502,0x2503,"0x302,0x303,0x102,0x103","3,3,2,2","0,0,1,1","0,0,0,0","0,0,0,0"
152,3,0x3302,0x3303,0x252A,0x252A,"0x302,0x303,0x12A,0x12A","3,3,2,2","0,0,1,1","0,0,0,0","0,0,0,0"
153,3,0x2504,0x2505,0x2502,0x2503,"0x104,0x105,0x102,0x103","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
154,3,0x4B12,0x4B13,0x4F12,0x4B13,"0x312,0x313,0x312,0x313","4,4,4,4","0,0,1,0","1,1,1,1","0,0,0,0"
155,3,0x4B02,0x4B03,0x6202,0x6103,"0x302,0x303,0x202,0x103","4,4,6,6","0,0,0,0","1,1,0,0","0,0,0,0"
156,3,0x4B02,0x4B03,0x4B04,0x4B05,"0x302,0x303,0x304,0x305","4,4,4,4","0,0,0,0","1,1,1,1","0,0,0,0"
157,3,0x4B12,0x4B13,0x4B12,0x4E13,"0x312,0x313,0x312,0x213","4,4,4,4","0,0,0,1","1,1,1,1","0,0,0,0"
158,3,0x3E04,0x3E05,0x3E02,0x3E03,"0x204,0x205,0x202,0x203","3,3,3,3","1,1,1,1","1,1,1,1","0,0,0,0"
159,3,0x3212,0x3213,0x3212,0x2E13,"0x212,0x213,0x212,0x213","3,3,3,2","0,0,0,1","0,0,0,1","0,0,0,0"
160,3,0x3212,0x2E13,0x3212,0x2E13,"0x212,0x213,0x212,0x213","3,2,3,2","0,1,0,1","0,1,0,1","0,0,0,0"
161,3,0x3902,0x3903,0x3902,0x3A03,"0x102,0x103,0x102,0x203","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
162,3,0x3C02,0x3D03,0x3C02,0x3C03,"0x002,0x103,0x002,0x003","3,3,3,3","1,1,1,1","1,1,1,1","0,0,0,0"
163,3,0x3C02,0x3903,0x3B02,0x3B03,"0x002,0x103,0x302,0x303","3,3,3,3","1,0,0,0","1,1,1,1","0,0,0,0"
164,3,0x3B12,0x3B13,0x3A12,0x3B13,"0x312,0x313,0x212,0x313","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
165,3,0x3E02,0x3E03,0x3E02,0x3F03,"0x202,0x203,0x202,0x303","3,3,3,3","1,1,1,1","1,1,1,1","0,0,0,0"
166,3,0x3E2A,0x3E2A,0x3E04,0x3E05,"0x22A,0x22A,0x204,0x205","3,3,3,3","1,1,1,1","1,1,1,1","0,0,0,0"
167,3,0x2502,0x2503,0x3E02,0x3E03,"0x102,0x103,0x202,0x203","2,2,3,3","1,1,1,1","0,0,1,1","0,0,0,0"
168,3,0x3F02,0x3F03,0x3E02,0x3E03,"0x302,0x303,0x202,0x203","3,3,3,3","1,1,1,1","1,1,1,1","0,0,0,0"
169,3,0x3E12,0x3E13,0x2512,0x4313,"0x212,0x213,0x112,0x313","3,3,2,4","1,1,1,0","1,1,0,0","0,0,0,0"
170,3,0xA912,0xA913,0xA912,0xA913,"0x112,0x113,0x112,0x113","2,2,2,2","0,0,0,0","1,1,1,1","1,1,1,1"
171,3,0x4A02,0x4A03,0x4402,0x4403,"0x202,0x203,0x002,0x003","4,4,4,4","0,0,1,1","1,1,0,0","0,0,0,0"
172,3,0x4A12,0x4413,0x4A12,0x4A13,"0x212,0x013,0x212,0x213","4,4,4,4","0,1,0,0","1,0,1,1","0,0,0,0"
173,3,0x3E02,0x3E03,0xBC02,0xBD03,"0x202,0x203,0x002,0x103","3,3,3,3","1,1,1,1","1,1,1,1","0,0,1,1"
174,3,0x3E02,0x3E03,0xBB02,0xB903,"0x202,0x203,0x302,0x103","3,3,3,3","1,1,0,0","1,1,1,1","0,0,1,1"
175,3,0x3202,0x3203,0x3267,0x3239,"0x202,0x203,0x267,0x239","3,3,3,3","0,0,0,0","0,0,0,0","0,0,0,0"
176,3,0x3E02,0x3E03,0x5702,0x5603,"0x202,0x203,0x302,0x203","3,3,5,5","1,1,1,1","1,1,0,0","0,0,0,0"
177,3,0x5502,0x5703,0x5602,0x5503,"0x102,0x303,0x202,0x103","5,5,5,5","1,1,1,1","0,0,0,0","0,0,0,0"
178,3,0x3902,0x3903,0x3902,0x3C03,"0x102,0x103,0x102,0x003","3,3,3,3","0,0,0,1","1,1,1,1","0,0,0,0"
179,3,0x4602,0x4603,0x4602,0x4603,"0x202,0x203,0x202,0x203","4,4,4,4","1,1,1,1","0,0,0,0","0,0,0,0"
180,3,0x2D02,0x3203,0x3202,0x3203,"0x102,0x203,0x202,0x203","2,3,3,3","1,0,0,0","1,0,0,0","0,0,0,0"
181,3,0x5602,0x5503,0x3E02,0x3E03,"0x202,0x103,0x202,0x203","5,5,3,3","1,1,1,1","0,0,1,1","0,0,0,0"
182,3,0x4B12,0x4B13,0x4E12,0x4E13,"0x312,0x313,0x212,0x213","4,4,4,4","0,0,1,1","1,1,1,1","0,0,0,0"
