block,row_index,slot,file_pc,cpu_addr,bytes,opcode,len_model,handler_kind,handler_addr,handler_file_pc,operand_desc,note
A_from_39850,3,3,0x039872,83:9872,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,4,0,0x039874,83:9874,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,4,1,0x039877,83:9877,0B 32,0B,2,main_dispatch,84:8A4C,0x048A4C,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,4,2,0x039879,83:9879,51 1B,51,2,special_ge50,82:80C2,0x0280C2,arg=0x1B; pair_as_word=0x1B51,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,4,3,0x03987B,83:987B,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,5,0,0x03987D,83:987D,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,5,1,0x039880,83:9880,0B 32,0B,2,main_dispatch,84:8A4C,0x048A4C,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,5,2,0x039882,83:9882,5A 1D,5A,2,special_ge50,82:8359,0x028359,arg=0x1D; pair_as_word=0x1D5A,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,5,3,0x039884,83:9884,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,6,0,0x039886,83:9886,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,6,1,0x039889,83:9889,18 32,18,2,main_dispatch,84:9B6B,0x049B6B,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,6,2,0x03988B,83:988B,D1 36,D1,2,special_ge50,82:1987,0x021987,arg=0x36; pair_as_word=0x36D1,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,6,3,0x03988D,83:988D,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,7,0,0x03988F,83:988F,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,7,1,0x039892,83:9892,0A 32,0A,2,main_dispatch,84:8A24,0x048A24,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,7,2,0x039894,83:9894,48 19,48,2,main_dispatch,84:994D,0x04994D,arg=0x19; pair_as_word=0x1948,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,7,3,0x039896,83:9896,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,8,0,0x039898,83:9898,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,8,1,0x03989B,83:989B,14 32,14,2,main_dispatch,84:8A9D,0x048A9D,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,8,2,0x03989D,83:989D,AE 2F,AE,2,special_ge50,82:AE80,0x02AE80,arg=0x2F; pair_as_word=0x2FAE,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,8,3,0x03989F,83:989F,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,9,0,0x0398A1,83:98A1,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,9,1,0x0398A4,83:98A4,0C 32,0C,2,main_dispatch,84:8963,0x048963,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,9,2,0x0398A6,83:98A6,63 1F,63,2,special_ge50,82:8527,0x028527,arg=0x1F; pair_as_word=0x1F63,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,9,3,0x0398A8,83:98A8,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,10,0,0x0398AA,83:98AA,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,10,1,0x0398AD,83:98AD,0E 35,0E,2,main_dispatch,84:8963,0x048963,arg=0x35,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,10,2,0x0398AF,83:98AF,0E 07,0E,2,main_dispatch,84:8963,0x048963,arg=0x07; pair_as_word=0x070E,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,10,3,0x0398B1,83:98B1,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,11,0,0x0398B3,83:98B3,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,11,1,0x0398B6,83:98B6,08 32,08,2,main_dispatch,84:8A0D,0x048A0D,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,11,2,0x0398B8,83:98B8,36 15,36,2,main_dispatch,84:9747,0x049747,arg=0x15; pair_as_word=0x1536,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,11,3,0x0398BA,83:98BA,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,12,0,0x0398BC,83:98BC,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,12,1,0x0398BF,83:98BF,12 32,12,2,main_dispatch,84:8A7B,0x048A7B,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,12,2,0x0398C1,83:98C1,9C 2B,9C,2,special_ge50,82:9BC5,0x029BC5,arg=0x2B; pair_as_word=0x2B9C,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,12,3,0x0398C3,83:98C3,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,13,0,0x0398C5,83:98C5,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,13,1,0x0398C8,83:98C8,10 32,10,2,main_dispatch,84:8A54,0x048A54,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,13,2,0x0398CA,83:98CA,8A 27,8A,2,special_ge50,82:8D96,0x028D96,arg=0x27; pair_as_word=0x278A,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,13,3,0x0398CC,83:98CC,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,14,0,0x0398CE,83:98CE,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,14,1,0x0398D1,83:98D1,0F 32,0F,2,main_dispatch,84:8963,0x048963,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,14,2,0x0398D3,83:98D3,81 25,81,2,special_ge50,82:8BBE,0x028BBE,arg=0x25; pair_as_word=0x2581,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,14,3,0x0398D5,83:98D5,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,15,0,0x0398D7,83:98D7,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,15,1,0x0398DA,83:98DA,11 32,11,2,main_dispatch,84:8A72,0x048A72,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,15,2,0x0398DC,83:98DC,93 29,93,2,special_ge50,82:98B7,0x0298B7,arg=0x29; pair_as_word=0x2993,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,15,3,0x0398DE,83:98DE,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,16,0,0x0398E0,83:98E0,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,16,1,0x0398E3,83:98E3,13 32,13,2,main_dispatch,84:8A94,0x048A94,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,16,2,0x0398E5,83:98E5,A5 2D,A5,2,special_ge50,82:2284,0x022284,arg=0x2D; pair_as_word=0x2DA5,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,16,3,0x0398E7,83:98E7,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,17,0,0x0398E9,83:98E9,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,17,1,0x0398EC,83:98EC,16 32,16,2,main_dispatch,84:8AA7,0x048AA7,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,17,2,0x0398EE,83:98EE,C0 33,C0,2,special_ge50,82:9C06,0x029C06,arg=0x33; pair_as_word=0x33C0,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,17,3,0x0398F0,83:98F0,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,18,0,0x0398F2,83:98F2,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,18,1,0x0398F5,83:98F5,15 32,15,2,main_dispatch,84:8AE0,0x048AE0,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,18,2,0x0398F7,83:98F7,B7 31,B7,2,special_ge50,82:6822,0x026822,arg=0x31; pair_as_word=0x31B7,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,18,3,0x0398F9,83:98F9,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,19,0,0x0398FB,83:98FB,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,19,1,0x0398FE,83:98FE,19 35,19,2,main_dispatch,84:9B82,0x049B82,arg=0x35,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,19,2,0x039900,83:9900,1B 0A,1B,2,main_dispatch,84:8DD6,0x048DD6,arg=0x0A; pair_as_word=0x0A1B,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,19,3,0x039902,83:9902,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,20,0,0x039904,83:9904,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,20,1,0x039907,83:9907,1A 35,1A,2,main_dispatch,84:8D9D,0x048D9D,arg=0x35,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,20,2,0x039909,83:9909,2A 0F,2A,2,main_dispatch,84:9652,0x049652,arg=0x0F; pair_as_word=0x0F2A,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,20,3,0x03990B,83:990B,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,21,0,0x03990D,83:990D,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,21,1,0x039910,83:9910,1B 35,1B,2,main_dispatch,84:8DD6,0x048DD6,arg=0x35,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,21,2,0x039912,83:9912,33 11,33,2,main_dispatch,84:8A5E,0x048A5E,arg=0x11; pair_as_word=0x1133,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,21,3,0x039914,83:9914,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
B_from_39916,0,0,0x039916,83:9916,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
B_from_39916,0,1,0x039919,83:9919,01 32,01,2,main_dispatch,84:896B,0x04896B,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
B_from_39916,0,2,0x03991B,83:991B,04 01,04,2,main_dispatch,84:89D6,0x0489D6,arg=0x01; pair_as_word=0x0104,比較値/閾値/対象値候補。A/B系で+1差分が出る
B_from_39916,0,3,0x03991D,83:991D,DB F0,DB,2,special_ge50,82:849B,0x02849B,arg=0xF0; pair_as_word=0xF0DB; as_file=0x03F0DB; as_cpu=83:F0DB,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
B_from_39916,1,0,0x03991F,83:991F,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
B_from_39916,1,1,0x039922,83:9922,02 32,02,2,main_dispatch,84:89A5,0x0489A5,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
B_from_39916,1,2,0x039924,83:9924,11 07,11,2,main_dispatch,84:8A72,0x048A72,arg=0x07; pair_as_word=0x0711,比較値/閾値/対象値候補。A/B系で+1差分が出る
B_from_39916,1,3,0x039926,83:9926,DB F0,DB,2,special_ge50,82:849B,0x02849B,arg=0xF0; pair_as_word=0xF0DB; as_file=0x03F0DB; as_cpu=83:F0DB,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
B_from_39916,2,0,0x039928,83:9928,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
B_from_39916,2,1,0x03992B,83:992B,04 32,04,2,main_dispatch,84:89D6,0x0489D6,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
B_from_39916,2,2,0x03992D,83:992D,1B 0A,1B,2,main_dispatch,84:8DD6,0x048DD6,arg=0x0A; pair_as_word=0x0A1B,比較値/閾値/対象値候補。A/B系で+1差分が出る
B_from_39916,2,3,0x03992F,83:992F,DB F0,DB,2,special_ge50,82:849B,0x02849B,arg=0xF0; pair_as_word=0xF0DB; as_file=0x03F0DB; as_cpu=83:F0DB,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
B_from_39916,3,0,0x039931,83:9931,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
B_from_39916,3,1,0x039934,83:9934,06 32,06,2,main_dispatch,84:89E1,0x0489E1,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
B_from_39916,3,2,0x039936,83:9936,28 10,28,2,main_dispatch,84:95CE,0x0495CE,arg=0x10; pair_as_word=0x1028,比較値/閾値/対象値候補。A/B系で+1差分が出る
B_from_39916,3,3,0x039938,83:9938,DB F0,DB,2,special_ge50,82:849B,0x02849B,arg=0xF0; pair_as_word=0xF0DB; as_file=0x03F0DB; as_cpu=83:F0DB,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
B_from_39916,4,0,0x03993A,83:993A,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
B_from_39916,4,1,0x03993D,83:993D,09 32,09,2,main_dispatch,84:8A3A,0x048A3A,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
B_from_39916,4,2,0x03993F,83:993F,40 17,40,2,main_dispatch,84:8FB3,0x048FB3,arg=0x17; pair_as_word=0x1740,比較値/閾値/対象値候補。A/B系で+1差分が出る
B_from_39916,4,3,0x039941,83:9941,DB F0,DB,2,special_ge50,82:849B,0x02849B,arg=0xF0; pair_as_word=0xF0DB; as_file=0x03F0DB; as_cpu=83:F0DB,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
B_from_39916,5,0,0x039943,83:9943,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
B_from_39916,5,1,0x039946,83:9946,0B 32,0B,2,main_dispatch,84:8A4C,0x048A4C,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
B_from_39916,5,2,0x039948,83:9948,52 1B,52,2,special_ge50,82:80CD,0x0280CD,arg=0x1B; pair_as_word=0x1B52,比較値/閾値/対象値候補。A/B系で+1差分が出る
B_from_39916,5,3,0x03994A,83:994A,DB F0,DB,2,special_ge50,82:849B,0x02849B,arg=0xF0; pair_as_word=0xF0DB; as_file=0x03F0DB; as_cpu=83:F0DB,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
B_from_39916,6,0,0x03994C,83:994C,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
B_from_39916,6,1,0x03994F,83:994F,0B 32,0B,2,main_dispatch,84:8A4C,0x048A4C,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
B_from_39916,6,2,0x039951,83:9951,5B 1D,5B,2,special_ge50,82:836D,0x02836D,arg=0x1D; pair_as_word=0x1D5B,比較値/閾値/対象値候補。A/B系で+1差分が出る
B_from_39916,6,3,0x039953,83:9953,DB F0,DB,2,special_ge50,82:849B,0x02849B,arg=0xF0; pair_as_word=0xF0DB; as_file=0x03F0DB; as_cpu=83:F0DB,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
B_from_39916,7,0,0x039955,83:9955,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
B_from_39916,7,1,0x039958,83:9958,18 32,18,2,main_dispatch,84:9B6B,0x049B6B,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
B_from_39916,7,2,0x03995A,83:995A,D2 36,D2,2,special_ge50,82:6918,0x026918,arg=0x36; pair_as_word=0x36D2,比較値/閾値/対象値候補。A/B系で+1差分が出る
B_from_39916,7,3,0x03995C,83:995C,DB F0,DB,2,special_ge50,82:849B,0x02849B,arg=0xF0; pair_as_word=0xF0DB; as_file=0x03F0DB; as_cpu=83:F0DB,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
B_from_39916,8,0,0x03995E,83:995E,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
B_from_39916,8,1,0x039961,83:9961,0A 32,0A,2,main_dispatch,84:8A24,0x048A24,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
B_from_39916,8,2,0x039963,83:9963,49 19,49,2,main_dispatch,84:9977,0x049977,arg=0x19; pair_as_word=0x1949,比較値/閾値/対象値候補。A/B系で+1差分が出る
B_from_39916,8,3,0x039965,83:9965,DB F0,DB,2,special_ge50,82:849B,0x02849B,arg=0xF0; pair_as_word=0xF0DB; as_file=0x03F0DB; as_cpu=83:F0DB,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
B_from_39916,9,0,0x039967,83:9967,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
B_from_39916,9,1,0x03996A,83:996A,14 32,14,2,main_dispatch,84:8A9D,0x048A9D,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
B_from_39916,9,2,0x03996C,83:996C,AF 2F,AF,2,special_ge50,82:0068,0x020068,arg=0x2F; pair_as_word=0x2FAF,比較値/閾値/対象値候補。A/B系で+1差分が出る
B_from_39916,9,3,0x03996E,83:996E,DB F0,DB,2,special_ge50,82:849B,0x02849B,arg=0xF0; pair_as_word=0xF0DB; as_file=0x03F0DB; as_cpu=83:F0DB,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
B_from_39916,10,0,0x039970,83:9970,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
B_from_39916,10,1,0x039973,83:9973,0C 32,0C,2,main_dispatch,84:8963,0x048963,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
B_from_39916,10,2,0x039975,83:9975,64 1F,64,2,special_ge50,82:85B6,0x0285B6,arg=0x1F; pair_as_word=0x1F64,比較値/閾値/対象値候補。A/B系で+1差分が出る
B_from_39916,10,3,0x039977,83:9977,DB F0,DB,2,special_ge50,82:849B,0x02849B,arg=0xF0; pair_as_word=0xF0DB; as_file=0x03F0DB; as_cpu=83:F0DB,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
B_from_39916,11,0,0x039979,83:9979,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
B_from_39916,11,1,0x03997C,83:997C,0E 35,0E,2,main_dispatch,84:8963,0x048963,arg=0x35,selector/value-kind相当。opcodeとしても2バイト命令に整列する
B_from_39916,11,2,0x03997E,83:997E,0F 07,0F,2,main_dispatch,84:8963,0x048963,arg=0x07; pair_as_word=0x070F,比較値/閾値/対象値候補。A/B系で+1差分が出る
B_from_39916,11,3,0x039980,83:9980,DB F0,DB,2,special_ge50,82:849B,0x02849B,arg=0xF0; pair_as_word=0xF0DB; as_file=0x03F0DB; as_cpu=83:F0DB,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
