pattern,hit_index_global,cpu_addr,file_pc,context_cpu_start,context_bytes,note
"STA $0759,X",11,83:B37D,0x01B37D,83:B365,18 9D D9 09 80 03 20 C1 B3 60 B7 0F 85 00 AE 7E 18 BD 59 07 29 FC 05 00 9D 59 07 20 C5 B3 60 AE 7E 18 22 98 AD 81 60 AE 7E 18 C2 20 B7 0F 85 2A E2 20 C8 C8 B7 0F 85,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",12,83:BD14,0x01BD14,83:BCFC,7A 6B A9 01 8D 47 15 6B 22 0F BD 81 A9 00 22 88 AE 80 6B BD 59 07 09 08 9D 59 07 6B BD 59 07 29 F7 9D 59 07 6B BD 59 07 29 F7 9D 59 07 A9 08 22 88 AE 80 6B A5 6A 48,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",13,83:BD1D,0x01BD1D,83:BD05,0F BD 81 A9 00 22 88 AE 80 6B BD 59 07 09 08 9D 59 07 6B BD 59 07 29 F7 9D 59 07 6B BD 59 07 29 F7 9D 59 07 A9 08 22 88 AE 80 6B A5 6A 48 A9 2C 84 6A 22 EC AF 80 68,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",14,83:BD26,0x01BD26,83:BD0E,6B BD 59 07 09 08 9D 59 07 6B BD 59 07 29 F7 9D 59 07 6B BD 59 07 29 F7 9D 59 07 A9 08 22 88 AE 80 6B A5 6A 48 A9 2C 84 6A 22 EC AF 80 68 85 6A 6B A9 00 80 0A A9 10,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",15,83:E9D7,0x01E9D7,83:E9BF,AD 80 A9 1E 22 B8 BA 80 A9 39 9D 59 06 9E 99 06 9E D9 06 20 9D EB A5 0C 9D 59 07 A5 0D 9D 99 07 A9 10 9D 19 07 A9 52 8D 7E 03 A9 20 8D 7D 03 A9 30 8D 86 03 A9 0F 8D,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",17,87:811A,0x03811A,87:8102,A5 20 29 1F 9D 59 06 9D 19 06 A5 20 29 20 9D D9 08 A9 01 9D D9 09 A9 E0 9D 59 07 A9 87 9D 99 07 A9 FF 9D D9 07 A9 0F 9D 99 06 A9 0F 9D 99 09 A9 01 9D 19 08 A5 20 30,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",18,87:8180,0x038180,87:8168,11 68 29 1F 9D 59 06 9D 19 06 A5 20 29 20 9D D9 08 A9 01 9D D9 09 A9 E0 9D 59 07 A9 89 9D 99 07 A9 FF 9D D9 07 A9 0F 9D 99 06 A9 0F 9D 99 09 A9 01 9D 19 08 A5 20 30,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",19,87:81E6,0x0381E6,87:81CE,11 68 29 1F 9D 59 06 9D 19 06 A5 20 29 20 9D D9 08 A9 01 9D D9 09 A9 E0 9D 59 07 A9 87 9D 99 07 A9 01 9D D9 07 A9 00 9D 99 06 A9 0F 9D 99 09 9E 19 08 A5 20 30 0E 20,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",20,87:8255,0x038255,87:823D,11 68 29 1F 9D 59 06 9D 19 06 A5 20 29 20 9D D9 08 A9 01 9D D9 09 A9 E0 9D 59 07 A9 89 9D 99 07 A9 01 9D D9 07 A9 00 9D 99 06 A9 0F 9D 99 09 9E 19 08 A5 20 30 10 20,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",21,87:8459,0x038459,87:8441,07 F0 04 DE D9 07 6B BD 19 08 9D D9 07 DE 99 07 30 48 BD 59 07 1A 29 01 9D 59 07 D0 05 20 C0 84 80 37 BD D9 06 8D 26 11 BD 19 07 8D 27 11 C2 30 A2 00 00 46 6F 90 11,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",22,87:8528,0x038528,87:8510,19 06 A5 6D 9D 59 06 A5 6E 9D 99 06 A5 6F 9D D9 06 A5 70 9D 19 07 A5 71 9D 59 07 9E 99 07 A0 00 C2 20 B7 6C E2 20 9D D9 07 C8 C8 C2 20 B7 6C 87 6F E2 20 FE 99 07 A9,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",23,87:86E5,0x0386E5,87:86CD,9D 59 06 AD 2C 11 9D 99 06 AD 2D 11 9D D9 06 AD 28 11 9D 19 07 AD 29 11 9D 59 07 30 03 20 B8 85 A9 20 9D 99 07 8A 18 FA 6B A9 01 8D 33 11 DE 59 06 D0 41 BD 19 06 9D,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",24,87:ADBB,0x03ADBB,87:ADA3,A9 32 85 0D 22 1E AC 80 AA B9 CD AD 9D D9 06 B9 CE AD 9D 19 07 B9 CF AD 9D 59 07 A9 01 9D 59 06 9D 99 06 A9 10 9D 19 06 FA 60 0F 00 00 00 0F 00 00 00 0F 00 0F 0F 0F,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",25,87:BA68,0x03BA68,87:BA50,AD BB 13 C9 3D D0 03 EE BB 13 60 A9 00 80 06 A9 03 80 02 A9 01 20 AA BA 9D 59 07 22 C2 88 81 BD 59 07 3A 29 03 0A AA BF 8E BA 83 F0 05 CD BB 13 F0 08 E8 8A 29 01 D0,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",26,87:E579,0x03E579,87:E561,BD 59 06 DD 99 06 D0 13 18 BD 19 07 7D 99 07 9D 19 07 BD 59 07 7D D9 07 9D 59 07 DE 59 06 D0 17 BD 99 06 9D 59 06 DE D9 06 D0 0C BD 19 06 18 69 03 9D 19 06 38 80 01,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",27,87:E79A,0x03E79A,87:E782,9D 59 06 AD 81 03 9D 99 06 AD 7E 03 9D D9 06 AD 7D 03 9D 19 07 AD 86 03 9D 59 07 AD 7B 03 9D 99 07 AD 77 03 9D D9 07 60 BD 19 06 8D 7F 03 BD 59 06 8D 80 03 BD 99 06,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",28,89:801C,0x04801C,89:8004,9C 66 12 9C 68 12 6B A2 00 9E 46 12 E8 E0 20 90 F8 6B DA A6 9B AD 6E 12 9D 59 07 FA 60 8B 4B AB A5 98 A6 99 20 24 84 A5 9A 20 1E 84 C2 20 A5 06 85 98 E2 20 A5 08 85,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",29,89:8089,0x048089,89:8071,59 07 8D 6E 12 86 9B A6 9B BD 19 06 8D 69 12 BD 59 06 8D 67 12 AD 6E 12 9D 59 07 AD AB 12 0D E3 12 D0 73 AD 68 12 CD 69 12 D0 6B A0 01 A7 98 C9 E0 90 03 4C 2D 81 C9,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",30,89:906C,0x04906C,89:9054,22 2B C2 84 4C 0F 84 22 E8 B3 81 90 14 AA BD D9 05 85 6B BD 59 07 29 4F 9D 59 07 A5 0F 22 F8 91 83 A9 03 4C 10 84 B7 98 8D 0B 03 C8 B7 98 8D 0D 03 C8 22 56 B9 81 4C,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",31,89:93C6,0x0493C6,89:93AE,B3 81 AA BC D9 05 68 F0 14 C9 FF D0 02 A9 00 22 88 AE 80 BD 59 07 09 08 9D 59 07 80 0A BD 59 07 29 F7 09 10 9D 59 07 4C 5E 89 B7 98 48 22 E8 B3 81 AA 68 22 E3 AE 81,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",32,89:93D2,0x0493D2,89:93BA,02 A9 00 22 88 AE 80 BD 59 07 09 08 9D 59 07 80 0A BD 59 07 29 F7 09 10 9D 59 07 4C 5E 89 B7 98 48 22 E8 B3 81 AA 68 22 E3 AE 81 4C 5E 89 C2 20 A9 FF 93 85 0F E2 20,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",33,89:94BC,0x0494BC,89:94A4,0A 90 F5 80 02 A0 02 C8 4C 0F 84 20 3A 8A 22 E8 B3 81 AA BD 59 07 09 20 9D 59 07 60 22 D9 BC 81 20 1E 84 4C 59 89 22 92 AC 81 20 51 89 4C 59 89 22 53 F3 81 4C 59 89,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",34,89:99D7,0x0499D7,89:99BF,11 A9 32 85 0D 22 22 AC 80 AA B7 98 9D D9 06 C8 B7 98 9D 19 07 C8 B7 98 9D 59 07 C8 B7 98 9D 59 06 9D 99 06 A9 20 9D 19 06 C8 4C 0F 84 C2 20 B7 98 85 06 E2 20 C8 C8,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",35,89:DAC0,0x04DAC0,89:DAA8,19 06 A5 15 9D 59 06 A5 18 9D 99 06 A5 19 9D D9 06 A5 1B 9D 19 07 A5 1C 9D 59 07 A5 13 9D 99 07 A5 16 9D D9 07 8A FA 6B AD 73 03 10 03 4C 43 DB 22 E8 AC 80 AD 73 03,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",36,89:DC05,0x04DC05,89:DBED,18 9D 19 08 9E D9 07 A5 19 9D 99 07 10 03 DE D9 07 A5 1B 9D 19 07 A5 1C 9D 59 07 FA 6B 20 9A CF BD 99 06 85 06 20 F0 CE BD 59 08 85 06 A9 E0 38 E5 06 85 09 BD 19 06,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",37,89:DC65,0x04DC65,89:DC4D,08 18 7D 99 08 9D 59 08 18 BD 19 07 7D 99 07 9D 19 07 BD 59 07 7D D9 07 9D 59 07 DE 19 08 F0 01 6B 22 35 AD 80 6B 22 58 A3 80 C2 20 A9 89 DC 85 0F E2 20 A9 38 85 0D,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",38,89:DEC3,0x04DEC3,89:DEAB,E9 89 22 F4 A8 81 90 2B BD 59 06 22 16 92 83 BD 99 06 9D D9 06 BD 19 07 9D 59 07 22 E8 AC 80 DE D9 06 BD D9 06 C9 FF D0 F2 DE 59 07 BD 59 07 C9 FF D0 E8 FE 19 06 80,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",1,83:AE4D,0x01AE4D,83:AE35,AD 5A 18 10 08 A9 F0 8D 11 11 AD 5A 18 9D 19 07 29 03 9D 59 07 AD 5B 18 9D 99 07 AD 5C 18 9D D9 07 AD 5D 18 9D 19 08 A9 00 9D D9 09 9D D9 08 9D 19 06 BD D9 05 A8 AD,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",2,83:E9DC,0x01E9DC,83:E9C4,B8 BA 80 A9 39 9D 59 06 9E 99 06 9E D9 06 20 9D EB A5 0C 9D 59 07 A5 0D 9D 99 07 A9 10 9D 19 07 A9 52 8D 7E 03 A9 20 8D 7D 03 A9 30 8D 86 03 A9 0F 8D 7F 03 A9 14 8D,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",6,87:811F,0x03811F,87:8107,59 06 9D 19 06 A5 20 29 20 9D D9 08 A9 01 9D D9 09 A9 E0 9D 59 07 A9 87 9D 99 07 A9 FF 9D D9 07 A9 0F 9D 99 06 A9 0F 9D 99 09 A9 01 9D 19 08 A5 20 30 03 20 B8 85 8A,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",7,87:8185,0x038185,87:816D,59 06 9D 19 06 A5 20 29 20 9D D9 08 A9 01 9D D9 09 A9 E0 9D 59 07 A9 89 9D 99 07 A9 FF 9D D9 07 A9 0F 9D 99 06 A9 0F 9D 99 09 A9 01 9D 19 08 A5 20 30 03 20 B8 85 8A,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",8,87:81EB,0x0381EB,87:81D3,59 06 9D 19 06 A5 20 29 20 9D D9 08 A9 01 9D D9 09 A9 E0 9D 59 07 A9 87 9D 99 07 A9 01 9D D9 07 A9 00 9D 99 06 A9 0F 9D 99 09 9E 19 08 A5 20 30 0E 20 B8 85 64 1E 64,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",9,87:825A,0x03825A,87:8242,59 06 9D 19 06 A5 20 29 20 9D D9 08 A9 01 9D D9 09 A9 E0 9D 59 07 A9 89 9D 99 07 A9 01 9D D9 07 A9 00 9D 99 06 A9 0F 9D 99 09 9E 19 08 A5 20 30 10 20 B8 85 A9 FF 85,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",10,87:841C,0x03841C,87:8404,19 07 A5 6F 9D 19 06 A5 70 9D 59 06 AD 2A 11 9D D9 07 9D 19 08 AD 2B 11 9D 99 07 9E 59 07 A9 01 9D D9 09 8A FA 7A 6B A9 01 8D 33 11 BD D9 09 30 66 BD 19 06 85 6F BD,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",11,87:86EF,0x0386EF,87:86D7,2D 11 9D D9 06 AD 28 11 9D 19 07 AD 29 11 9D 59 07 30 03 20 B8 85 A9 20 9D 99 07 8A 18 FA 6B A9 01 8D 33 11 DE 59 06 D0 41 BD 19 06 9D 59 06 DE 99 07 F0 37 BD 99 06,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",12,87:E549,0x03E549,87:E531,40 E5 22 E8 AC 80 20 B8 E6 20 61 E5 B0 F1 6B BC 19 06 9E D9 07 B9 2F E7 9D 99 07 10 03 DE D9 07 B9 30 E7 9D 99 06 9D 59 06 B9 31 E7 9D D9 06 60 BD 59 06 DD 99 06 D0,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",13,87:E7A0,0x03E7A0,87:E788,9D 99 06 AD 7E 03 9D D9 06 AD 7D 03 9D 19 07 AD 86 03 9D 59 07 AD 7B 03 9D 99 07 AD 77 03 9D D9 07 60 BD 19 06 8D 7F 03 BD 59 06 8D 80 03 BD 99 06 8D 81 03 BD D9 06,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",14,89:BA81,0x04BA81,89:BA69,68 8D A9 12 FA 7A 60 DA AE 96 13 F0 19 BD 99 07 10 14 BD 99 07 29 7F 1A 9D 99 07 AD 95 13 D0 06 DE 99 07 38 80 01 18 FA 60 20 A9 BA B0 11 AD 0D 03 CD E6 12 90 08 CD,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",15,89:BACD,0x04BACD,89:BAB5,F0 06 38 FD D9 07 90 13 38 ED E0 12 90 0D CD 8E 13 90 0B BD 99 07 09 80 9D 99 07 38 80 01 18 FA 7A 60 AD E0 12 8D 0D 03 AD DF 12 8D 0B 03 60 AE 96 13 F0 25 AD 0B 03,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",16,89:DAC5,0x04DAC5,89:DAAD,59 06 A5 18 9D 99 06 A5 19 9D D9 06 A5 1B 9D 19 07 A5 1C 9D 59 07 A5 13 9D 99 07 A5 16 9D D9 07 8A FA 6B AD 73 03 10 03 4C 43 DB 22 E8 AC 80 AD 73 03 30 63 20 49 DB,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0799,X",17,89:DBF6,0x04DBF6,89:DBDE,16 9D 99 08 A5 14 9D 99 06 A5 17 9D D9 06 A5 18 9D 19 08 9E D9 07 A5 19 9D 99 07 10 03 DE D9 07 A5 1B 9D 19 07 A5 1C 9D 59 07 FA 6B 20 9A CF BD 99 06 85 06 20 F0 CE,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"LDA $0759,X",1,83:A25F,0x01A25F,83:A247,A4 E2 20 A5 11 85 A6 80 17 BD 99 07 85 A4 BD D9 07 85 A5 BD 19 08 85 A6 BD 59 07 09 20 9D 59 07 38 80 01 18 FA 60 AD 01 03 D0 2B B9 E7 0B 19 A7 0C D0 23 B9 A7 0B 38,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"LDA $0759,X",2,83:AEFF,0x01AEFF,83:AEE7,59 06 8D 57 18 BD 99 06 8D 58 18 BD D9 06 8D 59 18 BD 19 07 8D 5A 18 48 BD 59 07 48 BD 99 07 8D 5B 18 BD D9 07 8D 5C 18 BD 19 08 8D 5D 18 22 98 AD 81 22 BD AD 81 AA,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"LDA $0759,X",3,83:AF45,0x01AF45,83:AF2D,99 08 20 42 AF 20 A6 B2 20 F2 AF 20 5A AF 20 A1 B0 9C 7E 18 6B AE 7E 18 BD 59 07 89 C0 D0 0D 89 20 F0 09 AD C7 15 29 07 3A 49 02 1A 60 AE 7E 18 BD 59 07 89 E0 D0 51,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"LDA $0759,X",4,83:AF5D,0x01AF5D,83:AF45,BD 59 07 89 C0 D0 0D 89 20 F0 09 AD C7 15 29 07 3A 49 02 1A 60 AE 7E 18 BD 59 07 89 E0 D0 51 BD 19 07 29 10 0D E2 12 0D AB 12 05 DE 0D 68 12 0D 01 03 D0 3C BD 19 06,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"LDA $0759,X",5,83:AF86,0x01AF86,83:AF6E,12 05 DE 0D 68 12 0D 01 03 D0 3C BD 19 06 D0 2B 22 68 BB 80 29 03 85 00 BD 59 07 29 03 C5 00 90 26 22 68 BB 80 29 1F D0 1E 22 68 BB 80 29 80 D0 0E 22 68 BB 80 29 03,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"LDA $0759,X",6,83:AFE9,0x01AFE9,83:AFD1,59 06 B9 99 06 18 7F D4 81 81 99 99 06 A9 00 99 19 06 FA 7A 60 9D D9 06 BD 59 07 09 10 9D 59 07 6B BD 59 07 89 80 F0 3A BD 59 07 29 03 A8 B9 34 B0 A8 5A AE 7E 18 BD,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"LDA $0759,X",7,83:AFF2,0x01AFF2,83:AFDA,81 99 99 06 A9 00 99 19 06 FA 7A 60 9D D9 06 BD 59 07 09 10 9D 59 07 6B BD 59 07 89 80 F0 3A BD 59 07 29 03 A8 B9 34 B0 A8 5A AE 7E 18 BD D9 08 1A 29 0F 9D D9 08 D0,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"LDA $0759,X",8,83:AFF9,0x01AFF9,83:AFE1,19 06 FA 7A 60 9D D9 06 BD 59 07 09 10 9D 59 07 6B BD 59 07 89 80 F0 3A BD 59 07 29 03 A8 B9 34 B0 A8 5A AE 7E 18 BD D9 08 1A 29 0F 9D D9 08 D0 08 BD 59 07 29 7F 9D,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"LDA $0759,X",9,83:B012,0x01B012,83:AFFA,59 07 29 03 A8 B9 34 B0 A8 5A AE 7E 18 BD D9 08 1A 29 0F 9D D9 08 D0 08 BD 59 07 29 7F 9D 59 07 BD D9 06 0A AA A4 6A BD 38 B0 22 EC BB 80 BD 39 B0 22 21 BC 80 7A 88,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"LDA $0759,X",10,83:B050,0x01B050,83:B038,00 00 01 00 00 01 0F 00 00 0F 5A DA AD 43 15 D0 16 A0 00 BE 5E 18 30 07 BD 59 07 89 40 D0 08 C8 C0 20 90 EF 18 80 01 38 FA 7A 6B 5A DA AD 56 18 22 45 B4 81 85 00 AD,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"LDA $0759,X",11,83:B0A6,0x01B0A6,83:B08E,AD 56 18 22 50 B4 81 18 7D D9 06 3A 22 88 AE 80 FA 7A 60 AE 7E 18 A4 6A BD 59 07 89 08 D0 50 89 B0 F0 4F BD 59 08 22 50 B4 81 18 7D D9 06 3A 22 79 AE 80 BD 59 07 29,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
