block,row_index,file_pc,cpu_addr,row_bytes,slot0,slot1,slot2,slot3,slot0_op,slot0_operand_word,slot1_op,slot1_arg,slot2_op,slot2_arg,slot2_pair_word,slot3_op,slot3_arg,slot3_pair_word,slot3_as_file_0x30000_plus,slot3_as_cpu
A_from_39850,14,0x0398CE,83:98CE,38 05 01 0F 32 81 25 9A F0,38 05 01,0F 32,81 25,9A F0,38,0x0105,0F,0x32,81,0x25,0x2581,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,15,0x0398D7,83:98D7,38 05 01 11 32 93 29 9A F0,38 05 01,11 32,93 29,9A F0,38,0x0105,11,0x32,93,0x29,0x2993,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,16,0x0398E0,83:98E0,38 05 01 13 32 A5 2D 9A F0,38 05 01,13 32,A5 2D,9A F0,38,0x0105,13,0x32,A5,0x2D,0x2DA5,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,17,0x0398E9,83:98E9,38 05 01 16 32 C0 33 9A F0,38 05 01,16 32,C0 33,9A F0,38,0x0105,16,0x32,C0,0x33,0x33C0,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,18,0x0398F2,83:98F2,38 05 01 15 32 B7 31 9A F0,38 05 01,15 32,B7 31,9A F0,38,0x0105,15,0x32,B7,0x31,0x31B7,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,19,0x0398FB,83:98FB,38 05 01 19 35 1B 0A 9A F0,38 05 01,19 35,1B 0A,9A F0,38,0x0105,19,0x35,1B,0x0A,0x0A1B,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,20,0x039904,83:9904,38 05 01 1A 35 2A 0F 9A F0,38 05 01,1A 35,2A 0F,9A F0,38,0x0105,1A,0x35,2A,0x0F,0x0F2A,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,21,0x03990D,83:990D,38 05 01 1B 35 33 11 9A F0,38 05 01,1B 35,33 11,9A F0,38,0x0105,1B,0x35,33,0x11,0x1133,9A,0xF0,0xF09A,0x03F09A,83:F09A
B_from_39916,0,0x039916,83:9916,38 05 01 01 32 04 01 DB F0,38 05 01,01 32,04 01,DB F0,38,0x0105,01,0x32,04,0x01,0x0104,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,1,0x03991F,83:991F,38 05 01 02 32 11 07 DB F0,38 05 01,02 32,11 07,DB F0,38,0x0105,02,0x32,11,0x07,0x0711,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,2,0x039928,83:9928,38 05 01 04 32 1B 0A DB F0,38 05 01,04 32,1B 0A,DB F0,38,0x0105,04,0x32,1B,0x0A,0x0A1B,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,3,0x039931,83:9931,38 05 01 06 32 28 10 DB F0,38 05 01,06 32,28 10,DB F0,38,0x0105,06,0x32,28,0x10,0x1028,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,4,0x03993A,83:993A,38 05 01 09 32 40 17 DB F0,38 05 01,09 32,40 17,DB F0,38,0x0105,09,0x32,40,0x17,0x1740,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,5,0x039943,83:9943,38 05 01 0B 32 52 1B DB F0,38 05 01,0B 32,52 1B,DB F0,38,0x0105,0B,0x32,52,0x1B,0x1B52,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,6,0x03994C,83:994C,38 05 01 0B 32 5B 1D DB F0,38 05 01,0B 32,5B 1D,DB F0,38,0x0105,0B,0x32,5B,0x1D,0x1D5B,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,7,0x039955,83:9955,38 05 01 18 32 D2 36 DB F0,38 05 01,18 32,D2 36,DB F0,38,0x0105,18,0x32,D2,0x36,0x36D2,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,8,0x03995E,83:995E,38 05 01 0A 32 49 19 DB F0,38 05 01,0A 32,49 19,DB F0,38,0x0105,0A,0x32,49,0x19,0x1949,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,9,0x039967,83:9967,38 05 01 14 32 AF 2F DB F0,38 05 01,14 32,AF 2F,DB F0,38,0x0105,14,0x32,AF,0x2F,0x2FAF,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,10,0x039970,83:9970,38 05 01 0C 32 64 1F DB F0,38 05 01,0C 32,64 1F,DB F0,38,0x0105,0C,0x32,64,0x1F,0x1F64,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,11,0x039979,83:9979,38 05 01 0E 35 0F 07 DB F0,38 05 01,0E 35,0F 07,DB F0,38,0x0105,0E,0x35,0F,0x07,0x070F,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,12,0x039982,83:9982,38 05 01 08 32 37 15 DB F0,38 05 01,08 32,37 15,DB F0,38,0x0105,08,0x32,37,0x15,0x1537,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,13,0x03998B,83:998B,38 05 01 12 32 9D 2B DB F0,38 05 01,12 32,9D 2B,DB F0,38,0x0105,12,0x32,9D,0x2B,0x2B9D,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,14,0x039994,83:9994,38 05 01 10 32 8B 27 DB F0,38 05 01,10 32,8B 27,DB F0,38,0x0105,10,0x32,8B,0x27,0x278B,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,15,0x03999D,83:999D,38 05 01 0F 32 82 25 DB F0,38 05 01,0F 32,82 25,DB F0,38,0x0105,0F,0x32,82,0x25,0x2582,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,16,0x0399A6,83:99A6,38 05 01 11 32 94 29 DB F0,38 05 01,11 32,94 29,DB F0,38,0x0105,11,0x32,94,0x29,0x2994,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,17,0x0399AF,83:99AF,38 05 01 13 32 A6 2D DB F0,38 05 01,13 32,A6 2D,DB F0,38,0x0105,13,0x32,A6,0x2D,0x2DA6,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,18,0x0399B8,83:99B8,38 05 01 16 32 C1 33 DB F0,38 05 01,16 32,C1 33,DB F0,38,0x0105,16,0x32,C1,0x33,0x33C1,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,19,0x0399C1,83:99C1,38 05 01 15 32 B8 31 DB F0,38 05 01,15 32,B8 31,DB F0,38,0x0105,15,0x32,B8,0x31,0x31B8,DB,0xF0,0xF0DB,0x03F0DB,83:F0DB
B_from_39916,20,0x0399CA,83:99CA,37 05 01 19 35 1C 0A C6 F0,37 05 01,19 35,1C 0A,C6 F0,37,0x0105,19,0x35,1C,0x0A,0x0A1C,C6,0xF0,0xF0C6,0x03F0C6,83:F0C6
B_from_39916,21,0x0399D3,83:99D3,37 05 01 1A 35 2B 0F CD F0,37 05 01,1A 35,2B 0F,CD F0,37,0x0105,1A,0x35,2B,0x0F,0x0F2B,CD,0xF0,0xF0CD,0x03F0CD,83:F0CD
B_from_39916,22,0x0399DC,83:99DC,37 05 01 1B 35 34 11 D4 F0,37 05 01,1B 35,34 11,D4 F0,37,0x0105,1B,0x35,34,0x11,0x1134,D4,0xF0,0xF0D4,0x03F0D4,83:F0D4
tail_from_399E5,0,0x0399E5,83:99E5,0C 05 04 26 35 3B 00 B1 F0,0C 05 04,26 35,3B 00,B1 F0,0C,0x0405,26,0x35,3B,0x00,0x003B,B1,0xF0,0xF0B1,0x03F0B1,83:F0B1
tail_from_399E5,1,0x0399EE,83:99EE,10 00 41 45 31 16 00 1D F1,10 00 41,45 31,16 00,1D F1,10,0x4100,45,0x31,16,0x00,0x0016,1D,0xF1,0xF11D,0x03F11D,83:F11D
tail_from_399E5,2,0x0399F7,83:99F7,2C 05 01 2F 17 54 00 36 F1,2C 05 01,2F 17,54 00,36 F1,2C,0x0105,2F,0x17,54,0x00,0x0054,36,0xF1,0xF136,0x03F136,83:F136
tail_from_399E5,3,0x039A00,83:9A00,0B 00 3C 41 31 0E 00 D0 F1,0B 00 3C,41 31,0E 00,D0 F1,0B,0x3C00,41,0x31,0E,0x00,0x000E,D0,0xF1,0xF1D0,0x03F1D0,83:F1D0
tail_from_399E5,4,0x039A09,83:9A09,0B 00 3C 41 31 0E 00 2B F2,0B 00 3C,41 31,0E 00,2B F2,0B,0x3C00,41,0x31,0E,0x00,0x000E,2B,0xF2,0xF22B,0x03F22B,83:F22B
tail_from_399E5,5,0x039A12,83:9A12,0B 00 3C 41 31 0E 00 E7 F2,0B 00 3C,41 31,0E 00,E7 F2,0B,0x3C00,41,0x31,0E,0x00,0x000E,E7,0xF2,0xF2E7,0x03F2E7,83:F2E7
tail_from_399E5,6,0x039A1B,83:9A1B,0B 00 3F 43 30 00 00 0A F1,0B 00 3F,43 30,00 00,0A F1,0B,0x3F00,43,0x30,00,0x00,0x0000,0A,0xF1,0xF10A,0x03F10A,83:F10A
tail_from_399E5,7,0x039A24,83:9A24,10 05 09 2B 37 27 0E 22 E8,10 05 09,2B 37,27 0E,22 E8,10,0x0905,2B,0x37,27,0x0E,0x0E27,22,0xE8,0xE822,0x03E822,83:E822
tail_from_399E5,8,0x039A2D,83:9A2D,10 05 01 2B 37 29 0E A3 F3,10 05 01,2B 37,29 0E,A3 F3,10,0x0105,2B,0x37,29,0x0E,0x0E29,A3,0xF3,0xF3A3,0x03F3A3,83:F3A3
tail_from_399E5,9,0x039A36,83:9A36,10 05 09 30 37 6C 00 B6 F3,10 05 09,30 37,6C 00,B6 F3,10,0x0905,30,0x37,6C,0x00,0x006C,B6,0xF3,0xF3B6,0x03F3B6,83:F3B6
tail_from_399E5,10,0x039A3F,83:9A3F,02 05 09 30 07 6D 00 D0 F3,02 05 09,30 07,6D 00,D0 F3,02,0x0905,30,0x07,6D,0x00,0x006D,D0,0xF3,0xF3D0,0x03F3D0,83:F3D0
tail_from_399E5,11,0x039A48,83:9A48,2C 05 09 30 37 6C 00 22 E8,2C 05 09,30 37,6C 00,22 E8,2C,0x0905,30,0x37,6C,0x00,0x006C,22,0xE8,0xE822,0x03E822,83:E822
tail_from_399E5,12,0x039A51,83:9A51,2C 05 09 30 37 6E 00 22 E8,2C 05 09,30 37,6E 00,22 E8,2C,0x0905,30,0x37,6E,0x00,0x006E,22,0xE8,0xE822,0x03E822,83:E822
tail_from_399E5,13,0x039A5A,83:9A5A,0B 05 01 21 33 71 1D D9 F3,0B 05 01,21 33,71 1D,D9 F3,0B,0x0105,21,0x33,71,0x1D,0x1D71,D9,0xF3,0xF3D9,0x03F3D9,83:F3D9
tail_from_399E5,14,0x039A63,83:9A63,0B 05 01 21 33 77 1E 72 F4,0B 05 01,21 33,77 1E,72 F4,0B,0x0105,21,0x33,77,0x1E,0x1E77,72,0xF4,0xF472,0x03F472,83:F472
tail_from_399E5,15,0x039A6C,83:9A6C,0B 05 01 21 33 79 1F 41 F5,0B 05 01,21 33,79 1F,41 F5,0B,0x0105,21,0x33,79,0x1F,0x1F79,41,0xF5,0xF541,0x03F541,83:F541
