sample_id,count_in_64x64_candidate,first_x_tile,first_y_tile,tl,tr,bl,br,png
40,4,5,3,0x2A03,0x2A02,0x2313,0x2312,chips/mapchip_sample_40_count4_xy5_3.png
41,4,21,4,0x2213,0x2312,0x2313,0x2312,chips/mapchip_sample_41_count4_xy21_4.png
42,4,54,4,0x2312,0x2413,0x2312,0x2313,chips/mapchip_sample_42_count4_xy54_4.png
43,4,61,4,0x2313,0x2412,0x2313,0x2312,chips/mapchip_sample_43_count4_xy61_4.png
44,4,0,5,0x2312,0x2313,0x2112,0x2113,chips/mapchip_sample_44_count4_xy0_5.png
45,4,42,5,0x2212,0x2313,0x2312,0x2313,chips/mapchip_sample_45_count4_xy42_5.png
46,4,0,7,0x2312,0x2113,0x2502,0x2503,chips/mapchip_sample_46_count4_xy0_7.png
47,4,5,7,0x2113,0x2312,0x2503,0x2502,chips/mapchip_sample_47_count4_xy5_7.png
48,4,40,8,0x2602,0x2603,0x2502,0x2503,chips/mapchip_sample_48_count4_xy40_8.png
49,4,45,9,0x2503,0x2502,0x4B03,0x4B02,chips/mapchip_sample_49_count4_xy45_9.png
50,4,35,10,0x2E03,0x4B02,0x2E03,0x4B02,chips/mapchip_sample_50_count4_xy35_10.png
51,4,6,12,0x2512,0x2513,0x3912,0x3913,chips/mapchip_sample_51_count4_xy6_12.png
52,4,21,17,0x2A03,0x2A02,0x2A03,0x2C02,chips/mapchip_sample_52_count4_xy21_17.png
53,4,1,20,0x2513,0x2512,0x2C13,0x2512,chips/mapchip_sample_53_count4_xy1_20.png
54,4,9,20,0x2513,0x2512,0x2A13,0x2C12,chips/mapchip_sample_54_count4_xy9_20.png
55,4,23,20,0x2513,0x2A12,0x2513,0x2A12,chips/mapchip_sample_55_count4_xy23_20.png
56,4,30,23,0x2A12,0x2A13,0x2E02,0x2E03,chips/mapchip_sample_56_count4_xy30_23.png
57,4,41,23,0x2A13,0x2A12,0x2E03,0x2D02,chips/mapchip_sample_57_count4_xy41_23.png
58,4,3,24,0x2503,0x2502,0x2D03,0x2E02,chips/mapchip_sample_58_count4_xy3_24.png
59,4,10,28,0x3112,0x2513,0x2E12,0x2D13,chips/mapchip_sample_59_count4_xy10_28.png
60,4,0,44,0x2512,0x2513,0xBC12,0xBC13,chips/mapchip_sample_60_count4_xy0_44.png
61,4,5,44,0x2513,0x2512,0xB913,0xB912,chips/mapchip_sample_61_count4_xy5_44.png
62,4,5,61,0xB913,0xB912,0x2504,0x2514,chips/mapchip_sample_62_count4_xy5_61.png
63,3,52,0,0x5102,0x5103,0x5102,0x5203,chips/mapchip_sample_63_count3_xy52_0.png
