id,rom_offset,w0,w1,w2,w3,b8,b9,b10,raw_hex,note
118,0x0447BE,180,135,0,0,1,2,0,b400870000000000010200,
119,0x0447C9,5,4,0,0,1,1,0,0500040000000000010100,
120,0x0447D4,5,4,0,0,1,1,0,0500040000000000010100,
121,0x0447DF,30,23,0,0,1,0,0,1e00170000000000010000,
122,0x0447EA,10,8,0,0,1,1,0,0a00080000000000010100,
123,0x0447F5,1,1,0,0,1,0,0,0100010000000000010000,
124,0x044800,0,10000,0,0,1,0,0,0000102700000000010000,
125,0x04480B,1,1,0,0,0,1,0,0100010000000000000100,
126,0x044816,1,1,0,0,0,1,0,0100010000000000000100,
127,0x044821,1,1,0,0,0,1,0,0100010000000000000100,
128,0x04482C,1,1,0,0,0,1,0,0100010000000000000100,
129,0x044837,1,1,0,0,0,1,0,0100010000000000000100,
130,0x044842,1,1,0,0,0,1,0,0100010000000000000100,
131,0x04484D,0,0,0,0,1,0,0,0000000000000000010000,
132,0x044858,0,0,0,0,1,0,0,0000000000000000010000,
133,0x044863,0,0,0,0,1,0,0,0000000000000000010000,
134,0x04486E,0,0,0,0,1,0,0,0000000000000000010000,
135,0x044879,0,0,0,0,1,0,0,0000000000000000010000,
136,0x044884,0,0,0,0,1,0,0,0000000000000000010000,
137,0x04488F,0,0,0,0,1,0,0,0000000000000000010000,
138,0x04489A,6,5,0,0,1,0,0,0600050000000000010000,
139,0x0448A5,0,0,0,0,1,0,0,0000000000000000010000,
140,0x0448B0,0,0,0,0,1,0,0,0000000000000000010000,
141,0x0448BB,0,0,0,0,1,1,0,0000000000000000010100,
142,0x0448C6,0,0,0,0,1,1,0,0000000000000000010100,
143,0x0448D1,0,0,0,0,1,0,0,0000000000000000010000,
144,0x0448DC,0,0,0,0,1,0,0,0000000000000000010000,
145,0x0448E7,0,1,0,0,0,1,0,0000010000000000000100,
146,0x0448F2,0,1,0,0,0,1,0,0000010000000000000100,
147,0x0448FD,0,0,0,0,1,0,0,0000000000000000010000,
148,0x044908,0,0,0,0,0,0,0,0000000000000000000000,
149,0x044913,100,75,0,0,1,0,0,64004b0000000000010000,
150,0x04491E,0,0,0,0,1,0,0,0000000000000000010000,
151,0x044929,0,0,0,0,1,0,0,0000000000000000010000,
152,0x044934,1,1,0,0,0,1,0,0100010000000000000100,
153,0x04493F,1,1,0,0,1,0,0,0100010000000000010000,
154,0x04494A,0,0,0,0,1,0,0,0000000000000000010000,
155,0x044955,0,0,0,0,1,0,0,0000000000000000010000,
156,0x044960,0,0,0,0,1,0,0,0000000000000000010000,
157,0x04496B,0,0,0,0,0,0,0,0000000000000000000000,
158,0x044976,0,0,0,0,0,0,0,0000000000000000000000,
159,0x044981,0,0,0,0,0,0,0,0000000000000000000000,
160,0x04498C,0,0,0,0,0,0,0,0000000000000000000000,
161,0x044997,0,0,0,0,0,0,0,0000000000000000000000,
162,0x0449A2,0,0,0,0,0,0,0,0000000000000000000000,
163,0x0449AD,0,0,0,0,0,0,0,0000000000000000000000,
164,0x0449B8,0,0,0,0,0,0,0,0000000000000000000000,
