id,rom_offset,w0,w1,w2,w3,b8,b9,b10,b11,b12,w13,b15,raw_hex,note
41,0x044C53,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
42,0x044C63,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
43,0x044C73,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
44,0x044C83,450,338,0,0,0,0,0,2,14,2,0,c201520100000000000000020e020000,
45,0x044C93,1800,1350,0,0,0,0,0,2,22,2,0,08074605000000000000000216020000,
46,0x044CA3,4800,3600,0,0,0,0,0,2,30,2,0,c012100e00000000000000021e020000,
47,0x044CB3,18000,13500,0,0,0,0,0,2,39,2,0,5046bc34000000000000000227020000,
48,0x044CC3,0,0,0,0,0,0,0,2,49,2,0,00000000000000000000000231020000,
49,0x044CD3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
50,0x044CE3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
51,0x044CF3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
52,0x044D03,850,638,0,0,0,0,0,0,33,4,0,52037e02000000000000000021040000,
53,0x044D13,2000,1500,0,0,0,0,0,0,38,4,0,d007dc05000000000000000026040000,
54,0x044D23,4800,3600,0,0,0,0,0,0,45,4,0,c012100e00000000000000002d040000,
55,0x044D33,5500,4125,0,0,0,0,0,0,49,4,0,7c151d10000000000000000031040000,
56,0x044D43,6300,4725,0,0,0,0,0,0,53,4,0,9c187512000000000000000035040000,
57,0x044D53,7200,5400,0,0,0,0,0,0,60,4,0,201c181500000000000000003c040000,
58,0x044D63,9600,7200,0,0,0,0,0,0,65,4,0,8025201c000000000000000041040000,
59,0x044D73,0,0,0,0,0,0,0,0,85,4,0,00000000000000000000000055040000,
60,0x044D83,0,3375,16,0,2,0,0,0,50,4,0,00002f0d100000000200000032040000,
61,0x044D93,0,4350,10,0,2,0,0,0,50,4,0,0000fe100a0000000200000032040000,
62,0x044DA3,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
63,0x044DB3,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
64,0x044DC3,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
65,0x044DD3,780,585,0,0,0,0,0,2,23,4,0,0c034902000000000000000217040000,
66,0x044DE3,2900,2175,0,0,0,0,0,2,29,4,0,540b7f0800000000000000021d040000,
67,0x044DF3,5200,3900,0,0,0,0,0,2,33,4,0,50143c0f000000000000000221040000,
68,0x044E03,6400,4800,0,0,0,0,0,2,39,4,0,0019c012000000000000000227040000,
69,0x044E13,0,0,0,0,0,0,0,2,45,4,0,0000000000000000000000022d040000,
70,0x044E23,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
71,0x044E33,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
72,0x044E43,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
73,0x044E53,980,735,0,0,0,0,0,0,50,8,0,d403df02000000000000000032080000,
74,0x044E63,2000,1500,0,0,0,0,0,0,56,8,0,d007dc05000000000000000038080000,
75,0x044E73,2800,2100,0,0,0,0,0,0,63,8,0,f00a340800000000000000003f080000,
76,0x044E83,3500,2625,0,0,0,0,0,0,68,8,0,ac0d410a000000000000000044080000,
77,0x044E93,4200,3150,0,0,0,0,0,0,72,8,0,68104e0c000000000000000048080000,
78,0x044EA3,5400,4050,0,0,0,0,0,0,78,8,0,1815d20f00000000000000004e080000,
79,0x044EB3,6300,4725,0,0,0,0,0,0,82,8,0,9c187512000000000000000052080000,
80,0x044EC3,9900,7425,0,0,0,0,0,0,88,8,0,ac26011d000000000000000058080000,
81,0x044ED3,0,0,0,0,0,0,0,0,98,8,0,00000000000000000000000062080000,
82,0x044EE3,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
83,0x044EF3,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
84,0x044F03,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
85,0x044F13,800,600,0,0,0,0,0,2,18,8,0,20035802000000000000000212080000,
86,0x044F23,1200,900,0,0,0,0,0,2,23,8,0,b0048403000000000000000217080000,
87,0x044F33,2800,2100,0,0,0,0,0,2,26,8,0,f00a340800000000000000021a080000,
88,0x044F43,6400,4800,0,0,0,0,0,2,32,8,0,0019c012000000000000000220080000,
89,0x044F53,8900,6675,0,0,0,0,0,2,36,8,0,c422131a000000000000000224080000,
90,0x044F63,0,0,0,0,0,0,0,2,45,8,0,0000000000000000000000022d080000,
91,0x044F73,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
92,0x044F83,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
93,0x044F93,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
94,0x044FA3,300,225,0,0,0,0,0,0,50,16,0,2c01e100000000000000000032100000,
95,0x044FB3,680,510,0,0,0,0,0,0,55,16,0,a802fe01000000000000000037100000,
96,0x044FC3,1500,1125,0,0,0,0,0,0,60,16,0,dc05650400000000000000003c100000,
97,0x044FD3,2000,1500,0,0,0,0,0,0,65,16,0,d007dc05000000000000000041100000,
98,0x044FE3,2980,2235,0,0,0,0,0,0,69,16,0,a40bbb08000000000000000045100000,
99,0x044FF3,3800,2850,0,0,0,0,0,0,74,16,0,d80e220b00000000000000004a100000,
100,0x045003,4500,3375,0,0,0,0,0,0,80,16,0,94112f0d000000000000000050100000,
101,0x045013,7000,5250,0,0,0,0,0,0,83,16,0,581b8214000000000000000053100000,
102,0x045023,9800,7350,0,0,0,0,0,0,87,16,0,4826b61c000000000000000057100000,
103,0x045033,0,0,0,0,0,0,0,0,95,16,0,0000000000000000000000005f100000,
104,0x045043,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
105,0x045053,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
106,0x045063,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
107,0x045073,1200,900,0,0,0,0,0,2,8,16,0,b0048403000000000000000208100000,
108,0x045083,3800,2850,0,0,0,0,0,2,27,16,0,d80e220b00000000000000021b100000,
109,0x045093,8000,6000,0,0,0,0,0,2,38,16,0,401f7017000000000000000226100000,
110,0x0450A3,0,0,0,0,0,0,0,2,43,16,0,0000000000000000000000022b100000,
111,0x0450B3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
112,0x0450C3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
113,0x0450D3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
114,0x0450E3,50,38,8,0,0,0,0,0,6,4096,0,32002600080000000000000006001000,
115,0x0450F3,50,38,0,0,0,0,0,0,4,4096,0,32002600000000000000000004001000,
116,0x045103,50,38,0,0,0,0,0,0,6,4096,0,32002600000000000000000006001000,
117,0x045113,50,38,0,0,0,0,0,0,17,4096,0,32002600000000000000000011001000,
118,0x045123,700,525,16,0,0,0,0,0,20,4096,0,bc020d02100000000000000014001000,
119,0x045133,2600,1950,0,0,0,0,0,0,20,4096,0,280a9e07000000000000000014001000,
120,0x045143,1500,1125,0,0,0,0,0,0,20,4096,0,dc056504000000000000000014001000,
121,0x045153,1900,1425,0,0,0,0,0,0,40,4096,0,6c079105000000000000000028001000,
122,0x045163,2000,1500,32,0,0,0,0,0,30,4096,0,d007dc0520000000000000001e001000,
123,0x045173,4000,3000,8,0,0,0,0,0,30,4096,0,a00fb80b08000000000000001e001000,
124,0x045183,5000,3750,0,0,0,0,0,0,30,4096,0,8813a60e00000000000000001e001000,
125,0x045193,6200,4650,0,0,0,0,0,0,30,4096,0,38182a1200000000000000001e001000,
126,0x0451A3,8800,6600,40,0,0,0,0,0,50,4096,0,6022c819280000000000000032001000,
127,0x0451B3,30000,22500,16,0,0,0,0,0,50,4096,0,3075e457100000000000000032001000,
128,0x0451C3,17500,13125,0,0,0,0,0,0,50,4096,0,5c444533000000000000000032001000,
129,0x0451D3,16000,12000,0,0,0,0,0,0,60,4096,0,803ee02e00000000000000003c001000,
130,0x0451E3,20000,15000,0,0,0,0,0,0,70,4096,0,204e983a000000000000000046001000,
131,0x0451F3,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
132,0x045203,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
133,0x045213,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
134,0x045223,40,30,0,0,0,0,0,2,7,4096,0,28001e00000000000000000207001000,
135,0x045233,250,188,0,0,0,0,0,2,11,4096,0,fa00bc0000000000000000020b001000,
136,0x045243,2500,1875,0,0,0,0,0,2,18,4096,0,c4095307000000000000000212001000,
137,0x045253,6000,4500,0,0,0,0,0,2,25,4096,0,70179411000000000000000219001000,
138,0x045263,8800,6600,0,0,0,0,0,2,33,4096,0,6022c819000000000000000221001000,
139,0x045273,12000,9000,0,0,0,0,0,2,37,4096,0,e02e2823000000000000000225001000,
140,0x045283,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
141,0x045293,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
142,0x0452A3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
143,0x0452B3,850,638,0,0,0,0,0,0,50,32,0,52037e02000000000000000032200000,
144,0x0452C3,1500,1125,0,0,0,0,0,0,56,32,0,dc056504000000000000000038200000,
145,0x0452D3,2890,2168,0,0,0,0,0,0,62,32,0,4a0b780800000000000000003e200000,
146,0x0452E3,4500,3375,0,0,0,0,0,0,69,32,0,94112f0d000000000000000045200000,
147,0x0452F3,8000,6000,0,0,0,0,0,0,75,32,0,401f701700000000000000004b200000,
148,0x045303,9800,7350,0,0,0,0,0,0,83,32,0,4826b61c000000000000000053200000,
149,0x045313,0,0,0,0,0,0,0,0,90,32,0,0000000000000000000000005a200000,
150,0x045323,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
151,0x045333,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
152,0x045343,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
153,0x045353,1700,1275,0,0,0,0,0,2,9,96,0,a406fb04000000000000000209600000,
154,0x045363,5000,3750,0,0,0,0,0,2,19,96,0,8813a60e000000000000000213600000,
155,0x045373,8900,6675,0,0,0,0,0,2,24,96,0,c422131a000000000000000218600000,
156,0x045383,0,0,0,0,0,0,0,2,30,96,0,0000000000000000000000021e600000,
157,0x045393,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
158,0x0453A3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
159,0x0453B3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
160,0x0453C3,0,0,0,0,0,0,0,0,65,256,0,00000000000000000000000041000100,
161,0x0453D3,0,0,0,0,0,0,0,0,74,256,0,0000000000000000000000004a000100,
162,0x0453E3,0,0,0,0,0,0,0,0,82,256,0,00000000000000000000000052000100,
163,0x0453F3,0,0,0,0,0,0,0,0,95,256,0,0000000000000000000000005f000100,
164,0x045403,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
165,0x045413,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
166,0x045423,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
167,0x045433,0,0,0,0,0,0,0,2,10,256,0,0000000000000000000000020a000100,
168,0x045443,0,0,0,0,0,0,0,2,18,256,0,00000000000000000000000212000100,
169,0x045453,0,0,0,0,0,0,0,2,23,256,0,00000000000000000000000217000100,
170,0x045463,0,0,0,0,0,0,0,2,37,256,0,00000000000000000000000225000100,
171,0x045473,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
172,0x045483,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
173,0x045493,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
174,0x0454A3,1200,900,0,0,0,0,0,2,13,512,0,b004840300000000000000020d000200,
175,0x0454B3,2900,2175,0,0,0,0,0,2,20,512,0,540b7f08000000000000000214000200,
176,0x0454C3,4900,3675,0,0,0,0,0,2,26,512,0,24135b0e00000000000000021a000200,
177,0x0454D3,6850,5138,0,0,0,0,0,2,30,512,0,c21a121400000000000000021e000200,
178,0x0454E3,8800,6600,0,0,0,0,0,2,34,512,0,6022c819000000000000000222000200,
179,0x0454F3,10000,7500,0,0,0,0,0,2,38,512,0,10274c1d000000000000000226000200,
180,0x045503,12000,9000,0,0,0,0,0,2,40,512,0,e02e2823000000000000000228000200,
181,0x045513,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
182,0x045523,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
183,0x045533,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
184,0x045543,800,600,30,0,0,0,0,0,10,49152,0,200358021e000000000000000a00c000,
185,0x045553,1600,1200,30,0,0,0,0,0,18,49152,0,4006b0041e000000000000001200c000,
186,0x045563,2800,2100,0,0,0,0,0,0,25,49152,0,f00a340800000000000000001900c000,
187,0x045573,5800,4350,0,0,0,0,0,0,32,49152,0,a816fe1000000000000000002000c000,
188,0x045583,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
189,0x045593,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
190,0x0455A3,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
191,0x0455B3,680,510,0,0,0,0,0,2,8,16384,0,a802fe01000000000000000208004000,
192,0x0455C3,1850,1388,0,0,0,0,0,2,16,16384,0,3a076c05000000000000000210004000,
193,0x0455D3,3900,2925,0,0,0,0,0,2,32,16384,0,3c0f6d0b000000000000000220004000,
194,0x0455E3,8980,6735,0,0,0,0,0,2,38,16384,0,14234f1a000000000000000226004000,
195,0x0455F3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
196,0x045603,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
197,0x045613,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
198,0x045623,100,75,0,0,0,0,0,2,3,32768,0,64004b00000000000000000203008000,
199,0x045633,1000,750,0,0,0,0,0,2,7,32768,0,e803ee02000000000000000207008000,
200,0x045643,2600,1950,0,0,0,0,0,2,15,32768,0,280a9e0700000000000000020f008000,
201,0x045653,3120,2340,0,0,0,0,0,2,20,32768,0,300c2409000000000000000214008000,
202,0x045663,4900,3675,0,0,0,0,0,2,29,32768,0,24135b0e00000000000000021d008000,
203,0x045673,8900,6675,0,0,0,0,0,2,37,32768,0,c422131a000000000000000225008000,
204,0x045683,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
205,0x045693,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
206,0x0456A3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
207,0x0456B3,0,0,0,0,0,0,0,0,45,8192,0,0000000000000000000000002d002000,
208,0x0456C3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
209,0x0456D3,6900,5175,40,0,0,0,0,0,5,8568,0,f41a3714280000000000000005782100,
210,0x0456E3,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
211,0x0456F3,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
212,0x045703,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
213,0x045713,20,15,0,0,0,0,0,1,3,65407,8,14000f000000000000000001037fff08,
214,0x045723,300,225,0,0,0,0,0,1,8,65407,8,2c01e1000000000000000001087fff08,
215,0x045733,1000,750,0,0,0,0,0,1,12,3075,0,e803ee0200000000000000010c030c00,
216,0x045743,0,0,0,0,0,0,0,1,15,1,0,0000000000000000000000010f010000,
217,0x045753,150,3,0,0,0,0,0,1,5,65407,8,960003000000000000000001057fff08,
218,0x045763,0,1,0,0,0,0,0,1,0,0,0,00000100000000000000000100000000,
219,0x045773,0,1,0,0,0,0,0,1,0,0,0,00000100000000000000000100000000,
220,0x045783,30,23,0,0,0,0,0,3,2,65391,8,1e0017000000000000000003026fff08,
221,0x045793,150,113,0,0,0,0,0,3,5,65391,8,960071000000000000000003056fff08,
222,0x0457A3,380,285,0,0,0,0,0,3,8,65391,8,7c011d010000000000000003086fff08,
223,0x0457B3,1200,900,0,0,0,0,0,3,13,65391,8,b004840300000000000000030d6fff08,
224,0x0457C3,2500,1875,0,0,0,0,0,3,18,65391,8,c40953070000000000000003126fff08,
225,0x0457D3,5000,3750,0,0,0,0,0,3,21,65391,8,8813a60e0000000000000003156fff08,
226,0x0457E3,6250,4688,0,0,0,0,0,3,27,65391,8,6a18501200000000000000031b6fff08,
227,0x0457F3,9800,7350,0,0,0,0,0,3,30,65391,8,4826b61c00000000000000031e6fff08,
228,0x045803,0,0,0,0,0,0,0,3,46,864,0,0000000000000000000000032e600300,
229,0x045813,0,0,0,0,0,0,0,3,48,8,0,00000000000000000000000330080000,
230,0x045823,0,0,0,0,0,0,0,3,50,1,0,00000000000000000000000332010000,
231,0x045833,0,1,0,0,0,0,0,3,0,0,0,00000100000000000000000300000000,
232,0x045843,0,1,0,0,0,0,0,3,0,0,0,00000100000000000000000300000000,
233,0x045853,0,1,0,0,0,0,0,3,0,0,0,00000100000000000000000300000000,
