idx,off,key,c1,c2,c3,c4,c5,target,raw,plausible
88,0x041CD0,BD,03,04,02,06,05,0x0341F4,bd 03 04 02 06 05 f4 41,True
89,0x041CD8,C1,02,05,01,02,04,0x03E409,c1 02 05 01 02 04 09 e4,True
90,0x041CE0,C4,01,02,02,05,02,0x03861E,c4 01 02 02 05 02 1e 86,True
91,0x041CE8,C8,03,03,01,03,05,0x032833,c8 03 03 01 03 05 33 28,True
92,0x041CF0,CC,02,04,02,05,04,0x03CA48,cc 02 04 02 05 04 48 ca,True
93,0x041CF8,CF,02,06,01,04,03,0x036C5D,cf 02 06 01 04 03 5d 6c,True
94,0x041D00,D3,02,06,01,02,03,0x030E72,d3 02 06 01 02 03 72 0e,True
95,0x041D08,D7,01,04,01,04,05,0x03B087,d7 01 04 01 04 05 87 b0,True
96,0x041D10,DA,04,06,02,03,04,0x03529C,da 04 06 02 03 04 9c 52,True
97,0x041D18,DE,02,04,01,02,02,0x031501,de 02 04 01 02 02 01 15,True
98,0x041D20,04,0F,07,10,0A,16,0x031111,04 0f 07 10 0a 16 11 11,True
99,0x041D28,14,17,00,00,00,00,0x030000,14 17 00 00 00 00 00 00,True
100,0x041D30,00,00,00,00,00,00,0x030000,00 00 00 00 00 00 00 00,True
101,0x041D38,00,F0,19,96,6E,46,0x03128E,00 f0 19 96 6e 46 8e 12,True
102,0x041D40,00,03,01,03,03,02,0x0325D8,00 03 01 03 03 02 d8 25,True
103,0x041D48,00,02,01,01,01,01,0x033A0D,00 02 01 01 01 01 0d 3a,True
104,0x041D50,00,01,02,04,01,01,0x034F67,00 01 02 04 01 01 67 4f,True
105,0x041D58,00,01,01,01,02,02,0x036630,00 01 01 01 02 02 30 66,True
106,0x041D60,00,04,01,01,04,03,0x037EC3,00 04 01 01 04 03 c3 7e,True
107,0x041D68,00,05,03,02,02,02,0x039993,00 05 03 02 02 02 93 99,True
108,0x041D70,00,07,01,03,02,02,0x03B72F,00 07 01 03 02 02 2f b7,True
109,0x041D78,00,02,01,01,03,01,0x03D656,00 02 01 01 03 01 56 d6,True
110,0x041D80,00,01,02,01,05,01,0x03F5B8,00 01 02 01 05 01 b8 f5,True
111,0x041D88,00,06,01,02,05,01,0x03178F,00 06 01 02 05 01 8f 17,True
112,0x041D90,01,05,04,01,02,01,0x033C2A,01 05 04 01 02 01 2a 3c,True
113,0x041D98,01,03,01,03,01,03,0x0363E1,01 03 01 03 01 03 e1 63,True
114,0x041DA0,01,04,01,02,01,03,0x038F18,01 04 01 02 01 03 18 8f,True
115,0x041DA8,01,01,01,02,04,02,0x03BE3F,01 01 01 02 04 02 3f be,True
116,0x041DB0,01,02,01,05,05,01,0x03F1D4,01 02 01 05 05 01 d4 f1,True
117,0x041DB8,01,03,00,03,01,01,0x032A65,01 03 00 03 01 01 65 2a,True
118,0x041DC0,02,03,02,04,03,00,0x036891,02 03 02 04 03 00 91 68,True
119,0x041DC8,02,01,02,02,04,02,0x03AD0C,02 01 02 02 04 02 0c ad,True
120,0x041DD0,02,02,00,03,01,01,0x03FDDD,02 02 00 03 01 01 dd fd,True
121,0x041DD8,02,01,00,01,02,00,0x034EAE,02 01 00 01 02 00 ae 4e,True
122,0x041DE0,03,02,01,02,01,01,0x039F7F,03 02 01 02 01 01 7f 9f,True
123,0x041DE8,03,04,01,02,03,01,0x03F050,03 04 01 02 03 01 50 f0,True
124,0x041DF0,03,04,02,01,03,02,0x034121,03 04 02 01 03 02 21 41,True
125,0x041DF8,04,03,01,03,03,00,0x03B432,04 03 01 03 03 00 32 b4,True
126,0x041E00,04,01,01,01,02,01,0x0335A5,04 01 01 01 02 01 a5 35,True
127,0x041E08,05,02,01,01,01,03,0x03C746,05 02 01 01 01 03 46 c7,True
