id_hex,id_dec,name,rom_offset,raw,flag0,flag1,flag2,buy,sell,u07,u08,u09,u0A,u0B,u0C,u0D,slot_code,slot_label,stat_value,group,beta_diff
1E,30,武者鎧,0x044BA0,01 00 00 90 65 2c 4c 00 00 00 00 00 00 00 02 31,1,0,0,26000,19500,0,0,0,0,0,0,0,2,胴,49,桃太郎系,same
1F,31,勇気の鎧,0x044BB0,01 00 00 00 00 00 00 00 00 00 00 00 00 00 02 3c,1,0,0,0,0,0,0,0,0,0,0,0,2,胴,60,桃太郎系,same
20,32,なし,0x044BC0,01 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,1,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,金太郎系,same
21,33,なし,0x044BD0,00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,0,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,金太郎系,same
22,34,なし,0x044BE0,00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,0,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,金太郎系,same
23,35,まさかり,0x044BF0,00 00 00 dc 05 65 04 00 00 00 00 00 00 00 00 21,0,0,0,1500,1125,0,0,0,0,0,0,0,0,武器,33,金太郎系,same
24,36,大まさかり,0x044C00,02 00 00 d0 07 dc 05 00 00 00 00 00 00 00 00 28,2,0,0,2000,1500,0,0,0,0,0,0,0,0,武器,40,金太郎系,same
25,37,銅のまさかり,0x044C10,02 00 00 94 11 2f 0d 00 00 00 00 00 00 00 00 3c,2,0,0,4500,3375,0,0,0,0,0,0,0,0,武器,60,金太郎系,same
26,38,銀のまさかり,0x044C20,02 00 00 34 21 e7 18 00 00 00 00 00 00 00 00 46,2,0,0,8500,6375,0,0,0,0,0,0,0,0,武器,70,金太郎系,same
27,39,金のまさかり,0x044C30,02 00 00 f8 2a 3a 20 00 00 00 00 00 00 00 00 50,2,0,0,11000,8250,0,0,0,0,0,0,0,0,武器,80,金太郎系,same
28,40,希望のまさかり,0x044C40,02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64,2,0,0,0,0,0,0,0,0,0,0,0,0,武器,100,金太郎系,same
29,41,なし,0x044C50,02 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,2,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,金太郎系,same
2A,42,なし,0x044C60,00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,0,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,金太郎系,same
2B,43,なし,0x044C70,00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,0,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,金太郎系,same
2C,44,腹がけ,0x044C80,00 00 00 c2 01 52 01 00 00 00 00 00 00 00 02 0e,0,0,0,450,338,0,0,0,0,0,0,0,2,胴,14,金太郎系,same
2D,45,木綿のはらがけ,0x044C90,02 00 00 08 07 46 05 00 00 00 00 00 00 00 02 16,2,0,0,1800,1350,0,0,0,0,0,0,0,2,胴,22,金太郎系,same
2E,46,銀のはらがけ,0x044CA0,02 00 00 c0 12 10 0e 00 00 00 00 00 00 00 02 1e,2,0,0,4800,3600,0,0,0,0,0,0,0,2,胴,30,金太郎系,same
2F,47,金のはらがけ,0x044CB0,02 00 00 50 46 bc 34 00 00 00 00 00 00 00 02 27,2,0,0,18000,13500,0,0,0,0,0,0,0,2,胴,39,金太郎系,same
30,48,希望のはらがけ,0x044CC0,02 00 00 00 00 00 00 00 00 00 00 00 00 00 02 31,2,0,0,0,0,0,0,0,0,0,0,0,2,胴,49,金太郎系,same
31,49,なし,0x044CD0,02 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,2,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,金太郎系,same
32,50,なし,0x044CE0,00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,0,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,金太郎系,same
33,51,なし,0x044CF0,00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,0,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,金太郎系,same
34,52,モリ,0x044D00,00 00 00 52 03 7e 02 00 00 00 00 00 00 00 00 21,0,0,0,850,638,0,0,0,0,0,0,0,0,武器,33,浦島系,same
35,53,小波のモリ,0x044D10,04 00 00 d0 07 dc 05 00 00 00 00 00 00 00 00 26,4,0,0,2000,1500,0,0,0,0,0,0,0,0,武器,38,浦島系,same
36,54,白波のモリ,0x044D20,04 00 00 c0 12 10 0e 00 00 00 00 00 00 00 00 2d,4,0,0,4800,3600,0,0,0,0,0,0,0,0,武器,45,浦島系,same
37,55,大波のモリ,0x044D30,04 00 00 7c 15 1d 10 00 00 00 00 00 00 00 00 31,4,0,0,5500,4125,0,0,0,0,0,0,0,0,武器,49,浦島系,same
38,56,高波のモリ,0x044D40,04 00 00 9c 18 75 12 00 00 00 00 00 00 00 00 35,4,0,0,6300,4725,0,0,0,0,0,0,0,0,武器,53,浦島系,same
39,57,津波のモリ,0x044D50,04 00 00 20 1c 18 15 00 00 00 00 00 00 00 00 3c,4,0,0,7200,5400,0,0,0,0,0,0,0,0,武器,60,浦島系,same
3A,58,大津波のモリ,0x044D60,04 00 00 80 25 20 1c 00 00 00 00 00 00 00 00 41,4,0,0,9600,7200,0,0,0,0,0,0,0,0,武器,65,浦島系,same
3B,59,正義のモリ,0x044D70,04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 55,4,0,0,0,0,0,0,0,0,0,0,0,0,武器,85,浦島系,same
3C,60,夕凪のモリ,0x044D80,04 00 00 00 00 2f 0d 10 00 00 00 02 00 00 00 32,4,0,0,0,3375,16,0,0,0,2,0,0,0,武器,50,浦島系,same
3D,61,朝凪のモリ,0x044D90,04 00 00 00 00 fe 10 0a 00 00 00 02 00 00 00 32,4,0,0,0,4350,10,0,0,0,2,0,0,0,武器,50,浦島系,same
3E,62,なし,0x044DA0,04 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,4,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,浦島系,same
3F,63,なし,0x044DB0,00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,0,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,浦島系,same
40,64,なし,0x044DC0,00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,0,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,浦島系,same
41,65,漁師の着物,0x044DD0,00 00 00 0c 03 49 02 00 00 00 00 00 00 00 02 17,0,0,0,780,585,0,0,0,0,0,0,0,2,胴,23,浦島系,same
42,66,豊漁の着物,0x044DE0,04 00 00 54 0b 7f 08 00 00 00 00 00 00 00 02 1d,4,0,0,2900,2175,0,0,0,0,0,0,0,2,胴,29,浦島系,same
43,67,大量の着物,0x044DF0,04 00 00 50 14 3c 0f 00 00 00 00 00 00 00 02 21,4,0,0,5200,3900,0,0,0,0,0,0,0,2,胴,33,浦島系,same
44,68,黒潮の着物,0x044E00,04 00 00 00 19 c0 12 00 00 00 00 00 00 00 02 27,4,0,0,6400,4800,0,0,0,0,0,0,0,2,胴,39,浦島系,same
45,69,正義の着物,0x044E10,04 00 00 00 00 00 00 00 00 00 00 00 00 00 02 2d,4,0,0,0,0,0,0,0,0,0,0,0,2,胴,45,浦島系,same
46,70,なし,0x044E20,04 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,4,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,浦島系,same
47,71,なし,0x044E30,00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,0,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,浦島系,same
48,72,なし,0x044E40,00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,0,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,浦島系,same
49,73,サンゴの杖,0x044E50,00 00 00 d4 03 df 02 00 00 00 00 00 00 00 00 32,0,0,0,980,735,0,0,0,0,0,0,0,0,武器,50,夜叉姫系,same
4A,74,ひすいの杖,0x044E60,08 00 00 d0 07 dc 05 00 00 00 00 00 00 00 00 38,8,0,0,2000,1500,0,0,0,0,0,0,0,0,武器,56,夜叉姫系,same
4B,75,めのうの杖,0x044E70,08 00 00 f0 0a 34 08 00 00 00 00 00 00 00 00 3f,8,0,0,2800,2100,0,0,0,0,0,0,0,0,武器,63,夜叉姫系,same
4C,76,琥珀の杖,0x044E80,08 00 00 ac 0d 41 0a 00 00 00 00 00 00 00 00 44,8,0,0,3500,2625,0,0,0,0,0,0,0,0,武器,68,夜叉姫系,same
4D,77,真珠の杖,0x044E90,08 00 00 68 10 4e 0c 00 00 00 00 00 00 00 00 48,8,0,0,4200,3150,0,0,0,0,0,0,0,0,武器,72,夜叉姫系,same
4E,78,銀の杖,0x044EA0,08 00 00 18 15 d2 0f 00 00 00 00 00 00 00 00 4e,8,0,0,5400,4050,0,0,0,0,0,0,0,0,武器,78,夜叉姫系,same
4F,79,金の杖,0x044EB0,08 00 00 9c 18 75 12 00 00 00 00 00 00 00 00 52,8,0,0,6300,4725,0,0,0,0,0,0,0,0,武器,82,夜叉姫系,same
50,80,流星の杖,0x044EC0,08 00 00 ac 26 01 1d 00 00 00 00 00 00 00 00 58,8,0,0,9900,7425,0,0,0,0,0,0,0,0,武器,88,夜叉姫系,same
51,81,愛の杖,0x044ED0,08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 62,8,0,0,0,0,0,0,0,0,0,0,0,0,武器,98,夜叉姫系,same
52,82,なし,0x044EE0,08 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,8,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,夜叉姫系,same
53,83,なし,0x044EF0,00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,0,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,夜叉姫系,same
54,84,なし,0x044F00,00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,0,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,夜叉姫系,same
55,85,こそで,0x044F10,00 00 00 20 03 58 02 00 00 00 00 00 00 00 02 12,0,0,0,800,600,0,0,0,0,0,0,0,2,胴,18,夜叉姫系,same
56,86,ふりそで,0x044F20,08 00 00 b0 04 84 03 00 00 00 00 00 00 00 02 17,8,0,0,1200,900,0,0,0,0,0,0,0,2,胴,23,夜叉姫系,same
57,87,梅のふりそで,0x044F30,08 00 00 f0 0a 34 08 00 00 00 00 00 00 00 02 1a,8,0,0,2800,2100,0,0,0,0,0,0,0,2,胴,26,夜叉姫系,same
58,88,桜のふりそで,0x044F40,08 00 00 00 19 c0 12 00 00 00 00 00 00 00 02 20,8,0,0,6400,4800,0,0,0,0,0,0,0,2,胴,32,夜叉姫系,same
59,89,金のふりそで,0x044F50,08 00 00 c4 22 13 1a 00 00 00 00 00 00 00 02 24,8,0,0,8900,6675,0,0,0,0,0,0,0,2,胴,36,夜叉姫系,same
5A,90,愛の十二単衣,0x044F60,08 00 00 00 00 00 00 00 00 00 00 00 00 00 02 2d,8,0,0,0,0,0,0,0,0,0,0,0,2,胴,45,夜叉姫系,same
5B,91,なし,0x044F70,08 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,8,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,夜叉姫系,same
5C,92,なし,0x044F80,00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,0,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,夜叉姫系,same
5D,93,なし,0x044F90,00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,0,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,夜叉姫系,same
5E,94,赤いバラ,0x044FA0,00 00 00 2c 01 e1 00 00 00 00 00 00 00 00 00 32,0,0,0,300,225,0,0,0,0,0,0,0,0,武器,50,夜叉姫系,same
5F,95,青いバラ,0x044FB0,10 00 00 a8 02 fe 01 00 00 00 00 00 00 00 00 37,16,0,0,680,510,0,0,0,0,0,0,0,0,武器,55,夜叉姫系,same
60,96,琥珀のバラ,0x044FC0,10 00 00 dc 05 65 04 00 00 00 00 00 00 00 00 3c,16,0,0,1500,1125,0,0,0,0,0,0,0,0,武器,60,夜叉姫系,same
61,97,べっこうのバラ,0x044FD0,10 00 00 d0 07 dc 05 00 00 00 00 00 00 00 00 41,16,0,0,2000,1500,0,0,0,0,0,0,0,0,武器,65,夜叉姫系,same
62,98,象牙のバラ,0x044FE0,10 00 00 a4 0b bb 08 00 00 00 00 00 00 00 00 45,16,0,0,2980,2235,0,0,0,0,0,0,0,0,武器,69,夜叉姫系,same
63,99,ギヤマンのバラ,0x044FF0,10 00 00 d8 0e 22 0b 00 00 00 00 00 00 00 00 4a,16,0,0,3800,2850,0,0,0,0,0,0,0,0,武器,74,夜叉姫系,same
64,100,銅のバラ,0x045000,10 00 00 94 11 2f 0d 00 00 00 00 00 00 00 00 50,16,0,0,4500,3375,0,0,0,0,0,0,0,0,武器,80,夜叉姫系,same
65,101,銀のバラ,0x045010,10 00 00 58 1b 82 14 00 00 00 00 00 00 00 00 53,16,0,0,7000,5250,0,0,0,0,0,0,0,0,武器,83,夜叉姫系,same
66,102,金のバラ,0x045020,10 00 00 48 26 b6 1c 00 00 00 00 00 00 00 00 57,16,0,0,9800,7350,0,0,0,0,0,0,0,0,武器,87,夜叉姫系,same
67,103,黄泉のバラ,0x045030,10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5f,16,0,0,0,0,0,0,0,0,0,0,0,0,武器,95,夜叉姫系,same
68,104,なし,0x045040,10 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,16,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,夜叉姫系,same
69,105,なし,0x045050,00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,0,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,夜叉姫系,same
6A,106,なし,0x045060,00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,0,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,夜叉姫系,same
6B,107,真紅の絹,0x045070,00 00 00 b0 04 84 03 00 00 00 00 00 00 00 02 08,0,0,0,1200,900,0,0,0,0,0,0,0,2,胴,8,夜叉姫系,same
6C,108,綾織の絹,0x045080,10 00 00 d8 0e 22 0b 00 00 00 00 00 00 00 02 1b,16,0,0,3800,2850,0,0,0,0,0,0,0,2,胴,27,夜叉姫系,same
6D,109,羽二重の絹,0x045090,10 00 00 40 1f 70 17 00 00 00 00 00 00 00 02 26,16,0,0,8000,6000,0,0,0,0,0,0,0,2,胴,38,夜叉姫系,same
6E,110,黄泉の絹,0x0450A0,10 00 00 00 00 00 00 00 00 00 00 00 00 00 02 2b,16,0,0,0,0,0,0,0,0,0,0,0,2,胴,43,夜叉姫系,same
6F,111,なし,0x0450B0,10 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,16,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,夜叉姫系,same
70,112,なし,0x0450C0,00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,0,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,夜叉姫系,same
71,113,なし,0x0450D0,00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,0,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,夜叉姫系,same
72,114,出刃包丁,0x0450E0,00 00 00 32 00 26 00 08 00 00 00 00 00 00 00 06,0,0,0,50,38,8,0,0,0,0,0,0,0,武器,6,はらだし系,same
73,115,小出刃包丁,0x0450F0,00 10 00 32 00 26 00 00 00 00 00 00 00 00 00 04,0,16,0,50,38,0,0,0,0,0,0,0,0,武器,4,はらだし系,same
74,116,薄切り包丁,0x045100,00 10 00 32 00 26 00 00 00 00 00 00 00 00 00 06,0,16,0,50,38,0,0,0,0,0,0,0,0,武器,6,はらだし系,same
75,117,牛切り包丁,0x045110,00 10 00 32 00 26 00 00 00 00 00 00 00 00 00 11,0,16,0,50,38,0,0,0,0,0,0,0,0,武器,17,はらだし系,same
76,118,葉切り包丁,0x045120,00 10 00 bc 02 0d 02 10 00 00 00 00 00 00 00 14,0,16,0,700,525,16,0,0,0,0,0,0,0,武器,20,はらだし系,same
77,119,合出刃包丁,0x045130,00 10 00 28 0a 9e 07 00 00 00 00 00 00 00 00 14,0,16,0,2600,1950,0,0,0,0,0,0,0,0,武器,20,はらだし系,same
78,120,柳刃包丁,0x045140,00 10 00 dc 05 65 04 00 00 00 00 00 00 00 00 14,0,16,0,1500,1125,0,0,0,0,0,0,0,0,武器,20,はらだし系,same
79,121,骨切り包丁,0x045150,00 10 00 6c 07 91 05 00 00 00 00 00 00 00 00 28,0,16,0,1900,1425,0,0,0,0,0,0,0,0,武器,40,はらだし系,same
7A,122,切り出し包丁,0x045160,00 10 00 d0 07 dc 05 20 00 00 00 00 00 00 00 1e,0,16,0,2000,1500,32,0,0,0,0,0,0,0,武器,30,はらだし系,same
7B,123,ドス,0x045170,00 10 00 a0 0f b8 0b 08 00 00 00 00 00 00 00 1e,0,16,0,4000,3000,8,0,0,0,0,0,0,0,武器,30,はらだし系,same
7C,124,長ドス,0x045180,00 10 00 88 13 a6 0e 00 00 00 00 00 00 00 00 1e,0,16,0,5000,3750,0,0,0,0,0,0,0,0,武器,30,はらだし系,same
7D,125,隼のドス,0x045190,00 10 00 38 18 2a 12 00 00 00 00 00 00 00 00 1e,0,16,0,6200,4650,0,0,0,0,0,0,0,0,武器,30,はらだし系,same
7E,126,団十郎,0x0451A0,00 10 00 60 22 c8 19 28 00 00 00 00 00 00 00 32,0,16,0,8800,6600,40,0,0,0,0,0,0,0,武器,50,はらだし系,same
7F,127,村雨,0x0451B0,00 10 00 30 75 e4 57 10 00 00 00 00 00 00 00 32,0,16,0,30000,22500,16,0,0,0,0,0,0,0,武器,50,はらだし系,same
80,128,村正,0x0451C0,00 10 00 5c 44 45 33 00 00 00 00 00 00 00 00 32,0,16,0,17500,13125,0,0,0,0,0,0,0,0,武器,50,鬼/特殊系A,same
81,129,孫六,0x0451D0,00 10 00 80 3e e0 2e 00 00 00 00 00 00 00 00 3c,0,16,0,16000,12000,0,0,0,0,0,0,0,0,武器,60,鬼/特殊系A,same
82,130,菊一文字,0x0451E0,00 10 00 20 4e 98 3a 00 00 00 00 00 00 00 00 46,0,16,0,20000,15000,0,0,0,0,0,0,0,0,武器,70,鬼/特殊系A,same
83,131,なし,0x0451F0,00 10 00 00 00 01 00 00 00 00 00 00 00 00 00 00,0,16,0,0,1,0,0,0,0,0,0,0,0,武器,0,鬼/特殊系A,same
84,132,なし,0x045200,00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,0,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,鬼/特殊系A,same
85,133,なし,0x045210,00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,0,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,鬼/特殊系A,same
86,134,着流し,0x045220,00 00 00 28 00 1e 00 00 00 00 00 00 00 00 02 07,0,0,0,40,30,0,0,0,0,0,0,0,2,胴,7,鬼/特殊系A,same
87,135,小そで着流し,0x045230,00 10 00 fa 00 bc 00 00 00 00 00 00 00 00 02 0b,0,16,0,250,188,0,0,0,0,0,0,0,2,胴,11,鬼/特殊系A,same
88,136,大そで着流し,0x045240,00 10 00 c4 09 53 07 00 00 00 00 00 00 00 02 12,0,16,0,2500,1875,0,0,0,0,0,0,0,2,胴,18,鬼/特殊系A,same
89,137,染めつけ着流し,0x045250,00 10 00 70 17 94 11 00 00 00 00 00 00 00 02 19,0,16,0,6000,4500,0,0,0,0,0,0,0,2,胴,25,鬼/特殊系A,same
8A,138,しぼり着流し,0x045260,00 10 00 60 22 c8 19 00 00 00 00 00 00 00 02 21,0,16,0,8800,6600,0,0,0,0,0,0,0,2,胴,33,鬼/特殊系A,same
8B,139,つむぎ着流し,0x045270,00 10 00 e0 2e 28 23 00 00 00 00 00 00 00 02 25,0,16,0,12000,9000,0,0,0,0,0,0,0,2,胴,37,鬼/特殊系A,same
8C,140,なし,0x045280,00 10 00 00 00 01 00 00 00 00 00 00 00 00 02 00,0,16,0,0,1,0,0,0,0,0,0,0,2,胴,0,鬼/特殊系A,same
8D,141,なし,0x045290,00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,0,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,鬼/特殊系A,same
8E,142,なし,0x0452A0,00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 00,0,0,0,0,1,0,0,0,0,0,0,0,2,胴,0,鬼/特殊系A,same
8F,143,金棒,0x0452B0,00 00 00 52 03 7e 02 00 00 00 00 00 00 00 00 32,0,0,0,850,638,0,0,0,0,0,0,0,0,武器,50,鬼/特殊系A,same
90,144,銅の金棒,0x0452C0,20 00 00 dc 05 65 04 00 00 00 00 00 00 00 00 38,32,0,0,1500,1125,0,0,0,0,0,0,0,0,武器,56,鬼/特殊系A,same
91,145,鉄の金棒,0x0452D0,20 00 00 4a 0b 78 08 00 00 00 00 00 00 00 00 3e,32,0,0,2890,2168,0,0,0,0,0,0,0,0,武器,62,鬼/特殊系A,same
92,146,火の金棒,0x0452E0,20 00 00 94 11 2f 0d 00 00 00 00 00 00 00 00 45,32,0,0,4500,3375,0,0,0,0,0,0,0,0,武器,69,鬼/特殊系A,same
93,147,炎の金棒,0x0452F0,20 00 00 40 1f 70 17 00 00 00 00 00 00 00 00 4b,32,0,0,8000,6000,0,0,0,0,0,0,0,0,武器,75,鬼/特殊系A,same
94,148,力の金棒,0x045300,20 00 00 48 26 b6 1c 00 00 00 00 00 00 00 00 53,32,0,0,9800,7350,0,0,0,0,0,0,0,0,武器,83,鬼/特殊系A,same
95,149,怒りの金棒,0x045310,20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5a,32,0,0,0,0,0,0,0,0,0,0,0,0,武器,90,鬼/特殊系A,same
96,150,なし,0x045320,20 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,32,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,鬼/特殊系A,same
97,151,なし,0x045330,00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,0,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,鬼/特殊系A,same
