address_or_range,status_hint,bucket,comment,source
0x031DF8,メモ,予想,| `0x31DDF / 0x31DF8 / 0x320C8` 施設スクリプト帯 | 中 | 別VMだが、「小命令列VMを多用する」設計理解を補強。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:272
0x031DF8,未確認/候補,予想,- `0x31C68 / 0x31DF8 / 0x320C8` = 店/施設スクリプト帯候補,shinmomo_handover_20260313_latest.md:28
0x031DF8,未確認/候補,予想,| `0x31DF8` | 未確認 | 店メッセージ候補 |,shinmomo_handover_full_addresses_with_weapon_skill.md:122
0x031DF8,未確認/候補,予想,3. 店メッセージ候補 (`0x31C68` / `0x31DF8` / `0x320C8`) 周辺から本線追跡,shinmomo_handover_summary.md:111
0x031DF8,確定,調査済み,| 店メッセージ候補 | `0x31C68` / `0x31DF8` / `0x320C8` | 未確定 | 店会話/店処理入口の本線候補 |,shinmomo_handover_summary.md:52
0x0320A4,メモ,予想,- 例: `20A4 -> 0x320A4`,shinmomo_handover_20260313_latest.md:37
0x0320A4,メモ,予想,"- `0x31DDF`, `0x320A4` などのスクリプト帯へ飛ぶ",shinmomo_handover_20260313_latest.md:40
0x0320A4,メモ,予想,- **`0x320A4` に接続するレコードあり**,shinmomo_handover_20260313_latest.md:44
0x0320A4,メモ,予想,- `0x320A4` 先を読むと `0x320C8` を内包する流れがある,shinmomo_handover_20260313_latest.md:45
0x0320A4,メモ,予想,"- `target` は bank83 のスクリプト帯へ飛ぶ (`0x31DDF`, `0x320A4` 等)",shinmomo_handover_20260313_latest.md:248
0x0320A4,メモ,予想,- `0x31DDF / 0x320A4` 以外の `target` レコードとの接続を広げる,shinmomo_handover_20260313_latest.md:293
0x0320C8,メモ,予想,- `0x320C8` 一致,shinmomo_handover_20260313_latest.md:19
0x0320C8,メモ,予想,- `0x320A4` 先を読むと `0x320C8` を内包する流れがある,shinmomo_handover_20260313_latest.md:45
0x0320C8,メモ,予想,3. **`0x31C68 / 0x31DF8 / 0x320C8` 周辺**,shinmomo_handover_full_addresses_with_weapon_skill.md:190
0x0320C8,メモ,予想,- 店会話スクリプト帯（`0x31DDF / 0x31DF8 / 0x320C8`）とは別系統,shinmomo_handover_full_addresses_with_weapon_skill.md:230
0x0320C8,メモ,予想,| `0x31DDF / 0x31DF8 / 0x320C8` 施設スクリプト帯 | 中 | 別VMだが、「小命令列VMを多用する」設計理解を補強。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:272
0x0320C8,未確認/候補,予想,- `0x31C68 / 0x31DF8 / 0x320C8` = 店/施設スクリプト帯候補,shinmomo_handover_20260313_latest.md:28
0x0320C8,未確認/候補,予想,| `0x320C8` | 未確認 | 店メッセージ候補 |,shinmomo_handover_full_addresses_with_weapon_skill.md:123
0x0320C8,未確認/候補,予想,3. 店メッセージ候補 (`0x31C68` / `0x31DF8` / `0x320C8`) 周辺から本線追跡,shinmomo_handover_summary.md:111
0x0320C8,確定,調査済み,| 店メッセージ候補 | `0x31C68` / `0x31DF8` / `0x320C8` | 未確定 | 店会話/店処理入口の本線候補 |,shinmomo_handover_summary.md:52
0x03E0B8,未確認/候補,予想,| `0x3E0B8` | 未確認 | `id*3` の24bitポインタ表ディスパッチ候補 |,shinmomo_handover_full_addresses_with_weapon_skill.md:125
0x03E480,メモ,予想,- `0x3E480` 近傍:,shinmomo_handover_20260313_latest.md:66
0x041A10,メモ,予想,### `0x41A10..` の正体,shinmomo_handover_20260313_latest.md:30
0x041A10,メモ,予想,- 少なくとも **`0x41A10` から同型8バイトレコードが連続**,shinmomo_handover_20260313_latest.md:32
0x041A10,メモ,予想,- **`0x41A10..` は施設/店/イベント/会話の分岐表本命**,shinmomo_handover_20260313_latest.md:39
0x041A10,メモ,予想,### `0x41A10..` とスクリプト接続,shinmomo_handover_20260313_latest.md:42
0x041A10,メモ,予想,- `0x41A10..` の `c1/c2` は、この変換後値を見ている可能性が高い,shinmomo_handover_20260313_latest.md:80
0x041A10,メモ,予想,※ ただし **`0x41A10..` を実際に走査比較するコード本体は未発見**。,shinmomo_handover_20260313_latest.md:99
0x041A10,メモ,予想,## 3. `0x41A10..` を読むコードについて,shinmomo_handover_20260313_latest.md:103
0x041A10,メモ,予想,- `0x41A10` / `0x41AC0` を bank88側コードが **直接 indexed 参照する痕跡** は未発見,shinmomo_handover_20260313_latest.md:106
0x041A10,メモ,予想,- ただし、これは **`0x41A10..` の8バイト条件表マッチャー本体ではなさそう**,shinmomo_handover_20260313_latest.md:125
0x041A10,メモ,予想,- `0x41A10..` = 8バイト固定長の条件分岐表本命,shinmomo_handover_20260313_latest.md:247
0x041A10,メモ,予想,- **`0x41A10..` を実際に走査して条件比較し、末尾2バイト target を抜く本体コード**,shinmomo_handover_20260313_latest.md:257
0x041A10,メモ,予想,1. **`0x41A10..` 条件表を読む本体コードの発見**,shinmomo_handover_20260313_latest.md:266
0x041A10,メモ,予想,- `0x41AC0` だけを切り出して扱うと誤認しやすい。**表本体は `0x41A10` から見ること**,shinmomo_handover_20260313_latest.md:298
0x041A10,未確認/候補,予想,- `$1FAA` 自体、または `$1FAC..` に展開された内容が `0x41A10..` の `c3..c5` 候補,shinmomo_handover_20260313_latest.md:91
0x041AC0,メモ,予想,- **`0x41AC0` 周辺に規則的差分あり**,shinmomo_handover_20260313_latest.md:22
0x041AC0,メモ,予想,- 以前 `0x41AC0` と呼んでいたものは、実際には **より大きい 8バイト固定長表の途中**,shinmomo_handover_20260313_latest.md:31
0x041AC0,メモ,予想,- `0x41AC0` 周辺の先頭数件で、主に **`c1/c2` が `FF FF -> 実値`** に変化,shinmomo_handover_20260313_latest.md:50
0x041AC0,メモ,予想,- `0x41A10` / `0x41AC0` を bank88側コードが **直接 indexed 参照する痕跡** は未発見,shinmomo_handover_20260313_latest.md:106
0x041AC0,メモ,予想,- `0x41AC0` だけを切り出して扱うと誤認しやすい。**表本体は `0x41A10` から見ること**,shinmomo_handover_20260313_latest.md:298
0x041AC0,メモ,予想,4. **`0x41AC0`**,shinmomo_handover_full_addresses_with_weapon_skill.md:193
0x041AC0,メモ,予想,| `0x41AC0` 施設/店/イベント分岐表 | 弱い | 系統が別。直接関係はまだ見えない。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:271
0x041AC0,未確認/候補,予想,- `0x41AC0` = 分岐ディスパッチ表候補（後述。実際は中腹）,shinmomo_handover_20260313_latest.md:27
0x041AC0,未確認/候補,予想,| `0x41AC0` | 未確認 | 分岐ディスパッチ表候補（店/施設/イベント分岐マスタ寄り） |,shinmomo_handover_full_addresses_with_weapon_skill.md:124
0x041AC0,未確認/候補,予想,4. `0x41AC0` 分岐ディスパッチ候補の実体確認,shinmomo_handover_summary.md:112
0x041AC0,確定,調査済み,| 分岐ディスパッチ候補 | `0x41AC0` 付近 | 未確定 | 店/施設/イベント分岐マスタ候補 |,shinmomo_handover_summary.md:53
0x0442BF,メモ,予想,- `0x442BF` 一致,shinmomo_handover_20260313_latest.md:20
0x0442BF,メモ,予想,2. **`0x449D0` / `0x442BF` を実際に読むコード**,shinmomo_handover_full_addresses_with_weapon_skill.md:187
0x0442BF,メモ,予想,- `0x442BF` 道具表,shinmomo_handover_full_addresses_with_weapon_skill.md:205
0x0442BF,メモ,予想,| `0x442BF` 道具表本命 | 弱い | 現時点では直接接続は薄い。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:270
0x0442BF,メモ,予想,2. `0x449D0` / `0x442BF` の実参照ルート捕捉,shinmomo_handover_summary.md:110
0x0442BF,仮説,予想,- `0x442BF` = 道具表候補（11バイト固定長仮説）,shinmomo_handover_20260313_latest.md:25
0x0442BF,有力,予想,| 回復系 | `0x442BF` 先頭付近 | 有力 |,shinmomo_handover_summary.md:34
0x0442BF,未確認/候補,予想,| `0x442BF` 参照コード | 未確認 | 直接/間接の価格読みルートがまだ未捕捉。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:134
0x0442BF,確定,調査済み,| `0x442BF` 周辺 | 確定 | 道具表本命 | 11バイト固定長。`+03..04` 買値、`+05..06` 売値、`+07..08` 効果量候補、`+00..02` 分類候補。仙豆系や高額道具が強く一致。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:17
0x0442BF,確定,調査済み,| 道具表 | `0x442BF` 付近 | ほぼ確定 | 11バイト固定長。`+03..04=買値`、`+05..06=売値`、`+07..08=効果量候補`、`+00..02=分類候補` |,shinmomo_handover_summary.md:10
0x0442BF,確定,調査済み,| 価格読込本線 | 未捕捉 | 未確定 | `0x449D0` / `0x442BF` を間接参照している可能性大 |,shinmomo_handover_summary.md:55
0x044300,有力,予想,| 異常回復系 | `0x44300..0x44480` 周辺 | 有力 |,shinmomo_handover_summary.md:35
0x044300..0x044480,有力,予想,| 異常回復系 | `0x44300..0x44480` 周辺 | 有力 |,shinmomo_handover_summary.md:35
0x044317,有力,予想,| 高額特殊道具 | `0x44317` / `0x4436F` / `0x44385` など | 有力 |,shinmomo_handover_summary.md:37
0x04436F,有力,予想,| 高額特殊道具 | `0x44317` / `0x4436F` / `0x44385` など | 有力 |,shinmomo_handover_summary.md:37
0x044385,有力,予想,| 高額特殊道具 | `0x44317` / `0x4436F` / `0x44385` など | 有力 |,shinmomo_handover_summary.md:37
0x044480,有力,予想,| 異常回復系 | `0x44300..0x44480` 周辺 | 有力 |,shinmomo_handover_summary.md:35
0x0446A8,確定,調査済み,| 仙豆系 | `0x446A8..0x446DF` | 強く確定 |,shinmomo_handover_summary.md:36
0x0446A8..0x0446DF,確定,調査済み,| 仙豆系 | `0x446A8..0x446DF` | 強く確定 |,shinmomo_handover_summary.md:36
0x0446DF,確定,調査済み,| 仙豆系 | `0x446A8..0x446DF` | 強く確定 |,shinmomo_handover_summary.md:36
0x0449D0,メモ,予想,- `0x449D0` 一致,shinmomo_handover_20260313_latest.md:21
0x0449D0,メモ,予想,2. **`0x449D0` / `0x442BF` を実際に読むコード**,shinmomo_handover_full_addresses_with_weapon_skill.md:187
0x0449D0,メモ,予想,- `0x449D0` 装備表,shinmomo_handover_full_addresses_with_weapon_skill.md:204
0x0449D0,メモ,予想,- 武器効果側から **装備表の買値** を読む可能性があり、`0x449D0` 系の裏取り材料になる,shinmomo_handover_full_addresses_with_weapon_skill.md:232
0x0449D0,メモ,予想,| `0x449D0` 装備表本命 | 強い | 武器効果が買値参照を行う可能性があり、`+03..04` 買値の裏取りになる。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:269
0x0449D0,メモ,予想,| 店価格本線 | 中 | 価格参照が武器効果側からも起きるなら、別ルートから `0x449D0` 参照を捕まえられる可能性。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:273
0x0449D0,メモ,予想,3. 武器効果側から `0x449D0` 買値列を引いている痕跡があるか,shinmomo_handover_full_addresses_with_weapon_skill.md:287
0x0449D0,メモ,予想,- **装備表 `0x449D0` の買値参照を別ルートから裏取りできる可能性がある**,shinmomo_handover_full_addresses_with_weapon_skill.md:292
0x0449D0,メモ,予想,2. `0x449D0` / `0x442BF` の実参照ルート捕捉,shinmomo_handover_summary.md:110
0x0449D0,仮説,予想,- `0x449D0` = 装備表候補（16バイト固定長仮説）,shinmomo_handover_20260313_latest.md:26
0x0449D0,未確認/候補,予想,| `0x449D0` 参照コード | 未確認 | 直接/間接の価格読みルートがまだ未捕捉。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:133
0x0449D0,未確認/候補,予想,3. 既存の `0x449D0` 参照候補との接続確認,shinmomo_handover_full_addresses_with_weapon_skill.md:281
0x0449D0,確定,調査済み,| `0x449D0` 周辺 | 確定 | 装備表本命 | 16バイト固定長。`+03..04` 買値、`+05..06` 売値、`+0E` 装備種別候補、`+0F` 上昇値。刀・胴・杖・バラ系などが実データと一致。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:18
0x0449D0,確定,調査済み,| `0x449D0..0x44A80` | 確定 | 桃太郎武器帯 | 木刀→刀→木の葉切り→竹割り→瓦割り→岩切り→鎖切り→釜割り→兜割り→鬼切り丸→百鬼切り丸→毘沙門の剣 が整列。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:19
0x0449D0,確定,調査済み,| 装備表 | `0x449D0` 付近 | ほぼ確定 | 16バイト固定長。`+03..04=買値`、`+05..06=売値`、`+0E=装備種別候補`、`+0F=上昇値` |,shinmomo_handover_summary.md:11
0x0449D0,確定,調査済み,| 刀系 | `0x449D0..0x44A80` | 強く確定 |,shinmomo_handover_summary.md:23
0x0449D0,確定,調査済み,| 価格読込本線 | 未捕捉 | 未確定 | `0x449D0` / `0x442BF` を間接参照している可能性大 |,shinmomo_handover_summary.md:55
0x0449D0..0x044A80,確定,調査済み,| `0x449D0..0x44A80` | 確定 | 桃太郎武器帯 | 木刀→刀→木の葉切り→竹割り→瓦割り→岩切り→鎖切り→釜割り→兜割り→鬼切り丸→百鬼切り丸→毘沙門の剣 が整列。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:19
0x0449D0..0x044A80,確定,調査済み,| 刀系 | `0x449D0..0x44A80` | 強く確定 |,shinmomo_handover_summary.md:23
0x044A80,確定,調査済み,| `0x449D0..0x44A80` | 確定 | 桃太郎武器帯 | 木刀→刀→木の葉切り→竹割り→瓦割り→岩切り→鎖切り→釜割り→兜割り→鬼切り丸→百鬼切り丸→毘沙門の剣 が整列。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:19
0x044A80,確定,調査済み,| 刀系 | `0x449D0..0x44A80` | 強く確定 |,shinmomo_handover_summary.md:23
0x044B20,確定,調査済み,| `0x44B20` 周辺 | 確定 | 胴装備帯 | 木の皮の胴、麻糸の胴、竹の胴、一枚胴、二枚胴、三枚胴、鎧、大鎧、武者鎧 の価格列と一致。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:20
0x044B20,確定,調査済み,| 胴装備系 | `0x44B20` 以降 | 強く確定 |,shinmomo_handover_summary.md:24
0x044BF0,有力,予想,| `0x44BF0..0x44C30` | 有力 | 金太郎系まさかり帯 | まさかり系価格列と近い。Beta差分の可能性あり。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:21
0x044BF0,有力,予想,| まさかり系 | `0x44BF0..0x44C30` | 有力 |,shinmomo_handover_summary.md:25
0x044BF0..0x044C30,有力,予想,| `0x44BF0..0x44C30` | 有力 | 金太郎系まさかり帯 | まさかり系価格列と近い。Beta差分の可能性あり。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:21
0x044BF0..0x044C30,有力,予想,| まさかり系 | `0x44BF0..0x44C30` | 有力 |,shinmomo_handover_summary.md:25
0x044C30,有力,予想,| `0x44BF0..0x44C30` | 有力 | 金太郎系まさかり帯 | まさかり系価格列と近い。Beta差分の可能性あり。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:21
0x044C30,有力,予想,| まさかり系 | `0x44BF0..0x44C30` | 有力 |,shinmomo_handover_summary.md:25
0x044D00,有力,予想,| `0x44D00..0x44D60` | 有力 | 浦島系モリ帯 | モリ→小波→白波→大波→津波→大津波。中間にBeta差分らしき1本あり。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:22
0x044D00,有力,予想,| モリ系 | `0x44D00..0x44D60` | 有力 |,shinmomo_handover_summary.md:26
0x044D00..0x044D60,有力,予想,| `0x44D00..0x44D60` | 有力 | 浦島系モリ帯 | モリ→小波→白波→大波→津波→大津波。中間にBeta差分らしき1本あり。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:22
0x044D00..0x044D60,有力,予想,| モリ系 | `0x44D00..0x44D60` | 有力 |,shinmomo_handover_summary.md:26
0x044D60,有力,予想,| `0x44D00..0x44D60` | 有力 | 浦島系モリ帯 | モリ→小波→白波→大波→津波→大津波。中間にBeta差分らしき1本あり。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:22
0x044D60,有力,予想,| モリ系 | `0x44D00..0x44D60` | 有力 |,shinmomo_handover_summary.md:26
0x044E50,確定,調査済み,| `0x44E50..0x44EC0` | 確定 | 杖帯 | サンゴの杖→ひすい→めのう→琥珀→真珠→銀→金→流星の杖。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:23
0x044E50,確定,調査済み,| 杖系 | `0x44E50..0x44EC0` | 強く確定 |,shinmomo_handover_summary.md:27
0x044E50..0x044EC0,確定,調査済み,| `0x44E50..0x44EC0` | 確定 | 杖帯 | サンゴの杖→ひすい→めのう→琥珀→真珠→銀→金→流星の杖。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:23
0x044E50..0x044EC0,確定,調査済み,| 杖系 | `0x44E50..0x44EC0` | 強く確定 |,shinmomo_handover_summary.md:27
0x044EC0,確定,調査済み,| `0x44E50..0x44EC0` | 確定 | 杖帯 | サンゴの杖→ひすい→めのう→琥珀→真珠→銀→金→流星の杖。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:23
0x044EC0,確定,調査済み,| 杖系 | `0x44E50..0x44EC0` | 強く確定 |,shinmomo_handover_summary.md:27
0x044FA0,確定,調査済み,| `0x44FA0..0x45020` | 確定 | バラ帯 | 赤いバラ→青いバラ→琥珀→べっこう→象牙→ギヤマン→銅→銀→金のバラ。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:24
0x044FA0,確定,調査済み,| バラ系 | `0x44FA0..0x45020` | 強く確定 |,shinmomo_handover_summary.md:28
0x044FA0..0x045020,確定,調査済み,| `0x44FA0..0x45020` | 確定 | バラ帯 | 赤いバラ→青いバラ→琥珀→べっこう→象牙→ギヤマン→銅→銀→金のバラ。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:24
0x044FA0..0x045020,確定,調査済み,| バラ系 | `0x44FA0..0x45020` | 強く確定 |,shinmomo_handover_summary.md:28
0x045020,確定,調査済み,| `0x44FA0..0x45020` | 確定 | バラ帯 | 赤いバラ→青いバラ→琥珀→べっこう→象牙→ギヤマン→銅→銀→金のバラ。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:24
0x045020,確定,調査済み,| バラ系 | `0x44FA0..0x45020` | 強く確定 |,shinmomo_handover_summary.md:28
0x04CD2E,有力,予想,| `0x04CD2E` 前後 | 有力 | `84:CFFB` と `84:CF6A` を WRAM にセット | 表示資材/制御資材の可能性。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:67
