family_id_dec,family_id_hex,source_master_offset,source_root,source_root_file,source_mode,ca_pack_boundary_offset,script_pack_start,script_pack_end,script_pack_span,ca_reserved,relation_status
27,0x1B,0x070051,C7:F56D,0x07F56D,0,0x0AC051,CB:A668,CB:AB82,1306,0,confirmed_index_key
28,0x1C,0x070054,C8:23CC,0x0823CC,1,0x0AC054,CB:AB82,CB:B94A,3528,0,confirmed_index_key
29,0x1D,0x070057,C8:34CE,0x0834CE,1,0x0AC057,CB:B94A,CB:C4DC,2962,0,confirmed_index_key
30,0x1E,0x07005A,C8:402D,0x08402D,1,0x0AC05A,CB:C4DC,CB:CE33,2391,0,confirmed_index_key
31,0x1F,0x07005D,C8:4F34,0x084F34,2,0x0AC05D,CB:CE33,CB:D1E5,946,0,confirmed_index_key
32,0x20,0x070060,C8:51AB,0x0851AB,2,0x0AC060,CB:D1E5,CB:D351,364,0,confirmed_index_key
33,0x21,0x070063,C8:51E3,0x0851E3,2,0x0AC063,CB:D351,CB:D39B,74,0,confirmed_index_key
34,0x22,0x070066,C8:5343,0x085343,2,0x0AC066,CB:D39B,CB:D444,169,0,confirmed_index_key
35,0x23,0x070069,C8:536D,0x08536D,2,0x0AC069,CB:D444,CB:D499,85,0,confirmed_index_key
36,0x24,0x07006C,C8:537B,0x08537B,2,0x0AC06C,CB:D499,CB:D4CC,51,0,confirmed_index_key
37,0x25,0x07006F,C8:54C6,0x0854C6,2,0x0AC06F,CB:D4CC,CB:D5AE,226,0,confirmed_index_key
38,0x26,0x070072,C8:561A,0x08561A,2,0x0AC072,CB:D5AE,CB:D685,215,0,confirmed_index_key
39,0x27,0x070075,C8:5651,0x085651,0,0x0AC075,CB:D685,CB:D6C2,61,0,confirmed_index_key
40,0x28,0x070078,C8:5652,0x085652,0,0x0AC078,CB:D6C2,CB:D70B,73,0,confirmed_index_key
41,0x29,0x07007B,C8:5653,0x085653,2,0x0AC07B,CB:D70B,CB:D754,73,0,confirmed_index_key
42,0x2A,0x07007E,C8:5C97,0x085C97,0,0x0AC07E,CB:D754,CB:D95C,520,0,confirmed_index_key
43,0x2B,0x070081,C8:5C98,0x085C98,2,0x0AC081,CB:D95C,CB:D9A5,73,0,confirmed_index_key
44,0x2C,0x070084,C8:6410,0x086410,0,0x0AC084,CB:D9A5,CB:DD36,913,0,confirmed_index_key
45,0x2D,0x070087,C8:6411,0x086411,2,0x0AC087,CB:DD36,CB:DE4F,281,0,confirmed_index_key
46,0x2E,0x07008A,C8:6662,0x086662,0,0x0AC08A,CB:DE4F,CB:DF72,291,0,confirmed_index_key
47,0x2F,0x07008D,C8:6663,0x086663,2,0x0AC08D,CB:DF72,CB:DFC3,81,0,confirmed_index_key
48,0x30,0x070090,C8:66C4,0x0866C4,0,0x0AC090,CB:DFC3,CB:E041,126,0,confirmed_index_key
49,0x31,0x070093,C8:66C5,0x0866C5,2,0x0AC093,CB:E041,CB:E092,81,0,confirmed_index_key
50,0x32,0x070096,C8:6A12,0x086A12,2,0x0AC096,CB:E092,CB:E269,471,0,confirmed_index_key
51,0x33,0x070099,C8:6C51,0x086C51,2,0x0AC099,CB:E269,CB:E37A,273,0,confirmed_index_key
52,0x34,0x07009C,C8:6F54,0x086F54,0,0x0AC09C,CB:E37A,CB:E4B9,319,0,confirmed_index_key
53,0x35,0x07009F,C8:6F55,0x086F55,0,0x0AC09F,CB:E4B9,CB:E543,138,0,confirmed_index_key
54,0x36,0x0700A2,C8:6F56,0x086F56,0,0x0AC0A2,CB:E543,CB:E58F,76,0,confirmed_index_key
55,0x37,0x0700A5,C8:6F57,0x086F57,0,0x0AC0A5,CB:E58F,CB:E5D8,73,0,confirmed_index_key
56,0x38,0x0700A8,C8:6F58,0x086F58,0,0x0AC0A8,CB:E5D8,CB:E6E2,266,0,confirmed_index_key
57,0x39,0x0700AB,C8:6F59,0x086F59,0,0x0AC0AB,CB:E6E2,CB:E7AA,200,0,confirmed_index_key
58,0x3A,0x0700AE,C8:6F5A,0x086F5A,0,0x0AC0AE,CB:E7AA,CB:E86E,196,0,confirmed_index_key
59,0x3B,0x0700B1,C8:6F5B,0x086F5B,0,0x0AC0B1,CB:E86E,CB:E911,163,0,confirmed_index_key
60,0x3C,0x0700B4,C8:6F5C,0x086F5C,2,0x0AC0B4,CB:E911,CB:EA4E,317,0,confirmed_index_key
61,0x3D,0x0700B7,C8:7000,0x087000,2,0x0AC0B7,CB:EA4E,CB:EB0C,190,0,confirmed_index_key
62,0x3E,0x0700BA,C8:704B,0x08704B,2,0x0AC0BA,CB:EB0C,CB:EB67,91,0,confirmed_index_key
63,0x3F,0x0700BD,C8:7A27,0x087A27,2,0x0AC0BD,CB:EB67,CB:EF7A,1043,0,confirmed_index_key
64,0x40,0x0700C0,C8:7BF5,0x087BF5,1,0x0AC0C0,CB:EF7A,CB:F0AB,305,0,confirmed_index_key
65,0x41,0x0700C3,C8:8112,0x088112,2,0x0AC0C3,CB:F0AB,CB:F48E,995,0,confirmed_index_key
66,0x42,0x0700C6,C8:81D5,0x0881D5,1,0x0AC0C6,CB:F48E,CB:F523,149,0,confirmed_index_key
67,0x43,0x0700C9,C8:83CF,0x0883CF,2,0x0AC0C9,CB:F523,CB:F690,365,0,confirmed_index_key
68,0x44,0x0700CC,C8:8BA9,0x088BA9,1,0x0AC0CC,CB:F690,CB:FC2C,1436,0,confirmed_index_key
69,0x45,0x0700CF,C8:8C2C,0x088C2C,1,0x0AC0CF,CB:FC2C,CB:FC91,101,0,confirmed_index_key
70,0x46,0x0700D2,C8:8F52,0x088F52,2,0x0AC0D2,CB:FC91,CB:FE4C,443,0,confirmed_index_key
71,0x47,0x0700D5,C8:920F,0x08920F,1,0x0AC0D5,CB:FE4C,CB:FFF3,423,0,confirmed_index_key
72,0x48,0x0700D8,C8:955A,0x08955A,2,0x0AC0D8,CB:FFF3,CC:01D4,481,0,confirmed_index_key
73,0x49,0x0700DB,C8:96AA,0x0896AA,0,0x0AC0DB,CC:01D4,CC:043F,619,0,confirmed_index_key
74,0x4A,0x0700DE,C8:96AB,0x0896AB,0,0x0AC0DE,CC:043F,CC:069D,606,0,confirmed_index_key
75,0x4B,0x0700E1,C8:96AC,0x0896AC,2,0x0AC0E1,CC:069D,CC:07DE,321,0,confirmed_index_key
76,0x4C,0x0700E4,C8:A3BE,0x08A3BE,0,0x0AC0E4,CC:07DE,CC:1888,4266,0,confirmed_index_key
77,0x4D,0x0700E7,C8:A3BF,0x08A3BF,1,0x0AC0E7,CC:1888,CC:18D1,73,0,confirmed_index_key
78,0x4E,0x0700EA,C8:A717,0x08A717,2,0x0AC0EA,CC:18D1,CC:1B7A,681,0,confirmed_index_key
79,0x4F,0x0700ED,C8:A7DC,0x08A7DC,2,0x0AC0ED,CC:1B7A,CC:1BE5,107,0,confirmed_index_key
80,0x50,0x0700F0,C8:ABC4,0x08ABC4,2,0x0AC0F0,CC:1BE5,CC:1F16,817,0,confirmed_index_key
81,0x51,0x0700F3,C8:B1D5,0x08B1D5,1,0x0AC0F3,CC:1F16,CC:2102,492,0,confirmed_index_key
82,0x52,0x0700F6,C8:B783,0x08B783,1,0x0AC0F6,CC:2102,CC:2357,597,0,confirmed_index_key
83,0x53,0x0700F9,C8:BBD6,0x08BBD6,0,0x0AC0F9,CC:2357,CC:27A5,1102,0,confirmed_index_key
84,0x54,0x0700FC,C8:BBD7,0x08BBD7,2,0x0AC0FC,CC:27A5,CC:281D,120,0,confirmed_index_key
85,0x55,0x0700FF,C8:BCBC,0x08BCBC,2,0x0AC0FF,CC:281D,CC:2894,119,0,confirmed_index_key
86,0x56,0x070102,C8:BD0C,0x08BD0C,1,0x0AC102,CC:2894,CC:295B,199,0,confirmed_index_key
87,0x57,0x070105,C8:BE4A,0x08BE4A,2,0x0AC105,CC:295B,CC:2A61,262,0,confirmed_index_key
88,0x58,0x070108,C8:BF12,0x08BF12,1,0x0AC108,CC:2A61,CC:2BEF,398,0,confirmed_index_key
89,0x59,0x07010B,C8:D1A0,0x08D1A0,2,0x0AC10B,CC:2BEF,CC:32AF,1728,0,confirmed_index_key
90,0x5A,0x07010E,C8:D315,0x08D315,2,0x0AC10E,CC:32AF,CC:33BF,272,0,confirmed_index_key
91,0x5B,0x070111,C8:D7F6,0x08D7F6,2,0x0AC111,CC:33BF,CC:3565,422,0,confirmed_index_key
92,0x5C,0x070114,C8:D9B4,0x08D9B4,2,0x0AC114,CC:3565,CC:36BC,343,0,confirmed_index_key
93,0x5D,0x070117,C8:DB35,0x08DB35,2,0x0AC117,CC:36BC,CC:37F8,316,0,confirmed_index_key
94,0x5E,0x07011A,C8:DCEA,0x08DCEA,1,0x0AC11A,CC:37F8,CC:3934,316,0,confirmed_index_key
95,0x5F,0x07011D,C8:E1C3,0x08E1C3,2,0x0AC11D,CC:3934,CC:3B16,482,0,confirmed_index_key
96,0x60,0x070120,C8:E89F,0x08E89F,1,0x0AC120,CC:3B16,CC:40A3,1421,0,confirmed_index_key
97,0x61,0x070123,C8:E9CB,0x08E9CB,2,0x0AC123,CC:40A3,CC:424D,426,0,confirmed_index_key
98,0x62,0x070126,C8:EDCE,0x08EDCE,2,0x0AC126,CC:424D,CC:4396,329,0,confirmed_index_key
99,0x63,0x070129,C8:F103,0x08F103,2,0x0AC129,CC:4396,CC:44D3,317,0,confirmed_index_key
100,0x64,0x07012C,C8:F193,0x08F193,2,0x0AC12C,CC:44D3,CC:4538,101,0,confirmed_index_key
101,0x65,0x07012F,C8:F741,0x08F741,1,0x0AC12F,CC:4538,CC:4802,714,0,confirmed_index_key
102,0x66,0x070132,C9:007E,0x09007E,2,0x0AC132,CC:4802,CC:4CFD,1275,0,confirmed_index_key
103,0x67,0x070135,C9:020C,0x09020C,2,0x0AC135,CC:4CFD,CC:4DF1,244,0,confirmed_index_key
104,0x68,0x070138,C9:0820,0x090820,2,0x0AC138,CC:4DF1,CC:5376,1413,0,confirmed_index_key
105,0x69,0x07013B,C9:08FD,0x0908FD,2,0x0AC13B,CC:5376,CC:53F7,129,0,confirmed_index_key
106,0x6A,0x07013E,C9:1402,0x091402,2,0x0AC13E,CC:53F7,CC:5A1C,1573,0,confirmed_index_key
107,0x6B,0x070141,C9:1918,0x091918,2,0x0AC141,CC:5A1C,CC:5FFE,1506,0,confirmed_index_key
108,0x6C,0x070144,C9:1B73,0x091B73,2,0x0AC144,CC:5FFE,CC:6279,635,0,confirmed_index_key
109,0x6D,0x070147,C9:1D51,0x091D51,2,0x0AC147,CC:6279,CC:6397,286,0,confirmed_index_key
110,0x6E,0x07014A,C9:23ED,0x0923ED,2,0x0AC14A,CC:6397,CC:668B,756,0,confirmed_index_key
111,0x6F,0x07014D,C9:274F,0x09274F,2,0x0AC14D,CC:668B,CC:6CFA,1647,0,confirmed_index_key
112,0x70,0x070150,C9:2EEF,0x092EEF,2,0x0AC150,CC:6CFA,CC:73A6,1708,0,confirmed_index_key
113,0x71,0x070153,C9:3000,0x093000,2,0x0AC153,CC:73A6,CC:7438,146,0,confirmed_index_key
114,0x72,0x070156,C9:3271,0x093271,2,0x0AC156,CC:7438,CC:7641,521,0,confirmed_index_key
115,0x73,0x070159,C9:3500,0x093500,2,0x0AC159,CC:7641,CC:7829,488,0,confirmed_index_key
116,0x74,0x07015C,C9:3874,0x093874,1,0x0AC15C,CC:7829,CC:7C8F,1126,0,confirmed_index_key
117,0x75,0x07015F,C9:4893,0x094893,2,0x0AC15F,CC:7C8F,CC:8A7C,3565,0,confirmed_index_key
118,0x76,0x070162,C9:4B5D,0x094B5D,0,0x0AC162,CC:8A7C,CC:9185,1801,0,confirmed_index_key
119,0x77,0x070165,C9:4B5E,0x094B5E,1,0x0AC165,CC:9185,CC:9215,144,0,confirmed_index_key
120,0x78,0x070168,C9:4C7A,0x094C7A,2,0x0AC168,CC:9215,CC:9419,516,0,confirmed_index_key
121,0x79,0x07016B,C9:4E5C,0x094E5C,1,0x0AC16B,CC:9419,CC:974C,819,0,confirmed_index_key
122,0x7A,0x07016E,C9:4EF3,0x094EF3,2,0x0AC16E,CC:974C,CC:9822,214,0,confirmed_index_key
123,0x7B,0x070171,C9:4F83,0x094F83,2,0x0AC171,CC:9822,CC:98CF,173,0,confirmed_index_key
124,0x7C,0x070174,C9:506E,0x09506E,2,0x0AC174,CC:98CF,CC:9C32,867,0,confirmed_index_key
125,0x7D,0x070177,C9:5170,0x095170,2,0x0AC177,CC:9C32,CC:A159,1319,0,confirmed_index_key
126,0x7E,0x07017A,C9:522B,0x09522B,2,0x0AC17A,CC:A159,CC:A641,1256,0,confirmed_index_key
127,0x7F,0x07017D,C9:52D8,0x0952D8,2,0x0AC17D,CC:A641,CC:A731,240,0,confirmed_index_key
128,0x80,0x070180,C9:54BB,0x0954BB,2,0x0AC180,CC:A731,CC:A85A,297,0,confirmed_index_key
129,0x81,0x070183,C9:61E4,0x0961E4,0,0x0AC183,CC:A85A,CC:B245,2539,0,confirmed_index_key
130,0x82,0x070186,C9:6D1A,0x096D1A,2,0x0AC186,CC:B245,CC:B791,1356,0,confirmed_index_key
131,0x83,0x070189,C9:7270,0x097270,2,0x0AC189,CC:B791,CC:BAA2,785,0,confirmed_index_key
132,0x84,0x07018C,C9:74A2,0x0974A2,2,0x0AC18C,CC:BAA2,CC:BBF2,336,0,confirmed_index_key
133,0x85,0x07018F,C9:7676,0x097676,2,0x0AC18F,CC:BBF2,CC:BDD6,484,0,confirmed_index_key
134,0x86,0x070192,C9:795F,0x09795F,1,0x0AC192,CC:BDD6,CC:BF6B,405,0,confirmed_index_key
135,0x87,0x070195,C9:7A49,0x097A49,1,0x0AC195,CC:BF6B,CC:C098,301,0,confirmed_index_key
136,0x88,0x070198,C9:7D8A,0x097D8A,2,0x0AC198,CC:C098,CC:C440,936,0,confirmed_index_key
137,0x89,0x07019B,C9:7E48,0x097E48,0,0x0AC19B,CC:C440,CC:C62C,492,0,confirmed_index_key
138,0x8A,0x07019E,C9:7E49,0x097E49,1,0x0AC19E,CC:C62C,CC:C6DB,175,0,confirmed_index_key
139,0x8B,0x0701A1,C9:8130,0x098130,1,0x0AC1A1,CC:C6DB,CC:C8B7,476,0,confirmed_index_key
140,0x8C,0x0701A4,C9:84FE,0x0984FE,1,0x0AC1A4,CC:C8B7,CC:CA2C,373,0,confirmed_index_key
141,0x8D,0x0701A7,C9:88C6,0x0988C6,2,0x0AC1A7,CC:CA2C,CC:CC72,582,0,confirmed_index_key
142,0x8E,0x0701AA,C9:8C12,0x098C12,1,0x0AC1AA,CC:CC72,CC:CE10,414,0,confirmed_index_key
143,0x8F,0x0701AD,C9:906A,0x09906A,2,0x0AC1AD,CC:CE10,CC:D147,823,0,confirmed_index_key
144,0x90,0x0701B0,C9:9087,0x099087,2,0x0AC1B0,CC:D147,CC:D20C,197,0,confirmed_index_key
145,0x91,0x0701B3,C9:9133,0x099133,2,0x0AC1B3,CC:D20C,CC:D400,500,0,confirmed_index_key
146,0x92,0x0701B6,C9:93CC,0x0993CC,1,0x0AC1B6,CC:D400,CC:D606,518,0,confirmed_index_key
147,0x93,0x0701B9,C9:94DD,0x0994DD,0,0x0AC1B9,CC:D606,CC:D7A1,411,0,confirmed_index_key
148,0x94,0x0701BC,C9:94DE,0x0994DE,2,0x0AC1BC,CC:D7A1,CC:D976,469,0,confirmed_index_key
149,0x95,0x0701BF,C9:9616,0x099616,0,0x0AC1BF,CC:D976,CC:DBBD,583,0,confirmed_index_key
150,0x96,0x0701C2,C9:9617,0x099617,1,0x0AC1C2,CC:DBBD,CC:DCB7,250,0,confirmed_index_key
151,0x97,0x0701C5,C9:97E6,0x0997E6,0,0x0AC1C5,CC:DCB7,CC:DF28,625,0,confirmed_index_key
152,0x98,0x0701C8,C9:97E7,0x0997E7,2,0x0AC1C8,CC:DF28,CC:E15C,564,0,confirmed_index_key
153,0x99,0x0701CB,C9:99C1,0x0999C1,2,0x0AC1CB,CC:E15C,CC:E6D1,1397,0,confirmed_index_key
154,0x9A,0x0701CE,C9:9CC6,0x099CC6,1,0x0AC1CE,CC:E6D1,CC:EECD,2044,0,confirmed_index_key
155,0x9B,0x0701D1,C9:A2D3,0x09A2D3,0,0x0AC1D1,CC:EECD,CC:F8ED,2592,0,confirmed_index_key
156,0x9C,0x0701D4,C9:A2D4,0x09A2D4,2,0x0AC1D4,CC:F8ED,CC:FB29,572,0,confirmed_index_key
157,0x9D,0x0701D7,C9:A657,0x09A657,2,0x0AC1D7,CC:FB29,CC:FFA7,1150,0,confirmed_index_key
158,0x9E,0x0701DA,C9:AA5D,0x09AA5D,0,0x0AC1DA,CC:FFA7,CD:01D9,562,0,confirmed_index_key
159,0x9F,0x0701DD,C9:AA5E,0x09AA5E,0,0x0AC1DD,CD:01D9,CD:05DA,1025,0,confirmed_index_key
160,0xA0,0x0701E0,C9:AA5F,0x09AA5F,2,0x0AC1E0,CD:05DA,CD:06B1,215,0,confirmed_index_key
161,0xA1,0x0701E3,C9:AB56,0x09AB56,1,0x0AC1E3,CD:06B1,CD:0B62,1201,0,confirmed_index_key
162,0xA2,0x0701E6,C9:AC84,0x09AC84,2,0x0AC1E6,CD:0B62,CD:0D3B,473,0,confirmed_index_key
163,0xA3,0x0701E9,C9:AD28,0x09AD28,2,0x0AC1E9,CD:0D3B,CD:0FC7,652,0,confirmed_index_key
164,0xA4,0x0701EC,C9:ADBF,0x09ADBF,2,0x0AC1EC,CD:0FC7,CD:1482,1211,0,confirmed_index_key
165,0xA5,0x0701EF,C9:AEBB,0x09AEBB,0,0x0AC1EF,CD:1482,CD:1738,694,0,confirmed_index_key
166,0xA6,0x0701F2,C9:AEBC,0x09AEBC,0,0x0AC1F2,CD:1738,CD:1957,543,0,confirmed_index_key
167,0xA7,0x0701F5,C9:AEBD,0x09AEBD,1,0x0AC1F5,CD:1957,CD:1D40,1001,0,confirmed_index_key
168,0xA8,0x0701F8,C9:B7AE,0x09B7AE,2,0x0AC1F8,CD:1D40,CD:23CA,1674,0,confirmed_index_key
169,0xA9,0x0701FB,C9:BE1C,0x09BE1C,0,0x0AC1FB,CD:23CA,CD:2B59,1935,0,confirmed_index_key
170,0xAA,0x0701FE,C9:BE1D,0x09BE1D,1,0x0AC1FE,CD:2B59,CD:3065,1292,0,confirmed_index_key
171,0xAB,0x070201,C9:BF65,0x09BF65,2,0x0AC201,CD:3065,CD:3166,257,0,confirmed_index_key
172,0xAC,0x070204,C9:C01F,0x09C01F,2,0x0AC204,CD:3166,CD:34A8,834,0,confirmed_index_key
173,0xAD,0x070207,C9:C141,0x09C141,2,0x0AC207,CD:34A8,CD:3578,208,0,confirmed_index_key
174,0xAE,0x07020A,C9:C616,0x09C616,2,0x0AC20A,CD:3578,CD:3CA5,1837,0,confirmed_index_key
175,0xAF,0x07020D,C9:C6B6,0x09C6B6,2,0x0AC20D,CD:3CA5,CD:4036,913,0,confirmed_index_key
176,0xB0,0x070210,C9:C914,0x09C914,1,0x0AC210,CD:4036,CD:4230,506,0,confirmed_index_key
177,0xB1,0x070213,C9:CBFD,0x09CBFD,0,0x0AC213,CD:4230,CD:45D5,933,0,confirmed_index_key
178,0xB2,0x070216,C9:CBFE,0x09CBFE,0,0x0AC216,CD:45D5,CD:4878,675,0,confirmed_index_key
179,0xB3,0x070219,C9:CBFF,0x09CBFF,0,0x0AC219,CD:4878,CD:4B13,667,0,confirmed_index_key
180,0xB4,0x07021C,C9:CC00,0x09CC00,2,0x0AC21C,CD:4B13,CD:4DD8,709,0,confirmed_index_key
181,0xB5,0x07021F,C9:D0A8,0x09D0A8,2,0x0AC21F,CD:4DD8,CD:5212,1082,0,confirmed_index_key
182,0xB6,0x070222,C9:D11B,0x09D11B,2,0x0AC222,CD:5212,CD:5393,385,0,confirmed_index_key
183,0xB7,0x070225,C9:D446,0x09D446,2,0x0AC225,CD:5393,CD:5678,741,0,confirmed_index_key
184,0xB8,0x070228,C9:DF19,0x09DF19,0,0x0AC228,CD:5678,CD:5C30,1464,0,confirmed_index_key
185,0xB9,0x07022B,C9:DF1A,0x09DF1A,1,0x0AC22B,CD:5C30,CD:5EF5,709,0,confirmed_index_key
186,0xBA,0x07022E,C9:E675,0x09E675,1,0x0AC22E,CD:5EF5,CD:64E1,1516,0,confirmed_index_key
187,0xBB,0x070231,C9:EBE9,0x09EBE9,2,0x0AC231,CD:64E1,CD:69CC,1259,0,confirmed_index_key
188,0xBC,0x070234,C9:F073,0x09F073,0,0x0AC234,CD:69CC,CD:6C69,669,0,confirmed_index_key
189,0xBD,0x070237,C9:F074,0x09F074,1,0x0AC237,CD:6C69,CD:6E2F,454,0,confirmed_index_key
190,0xBE,0x07023A,CA:0134,0x0A0134,2,0x0AC23A,CD:6E2F,CD:7808,2521,0,confirmed_index_key
191,0xBF,0x07023D,CA:02A7,0x0A02A7,2,0x0AC23D,CD:7808,CD:7902,250,0,confirmed_index_key
192,0xC0,0x070240,CA:036C,0x0A036C,2,0x0AC240,CD:7902,CD:7C02,768,0,confirmed_index_key
193,0xC1,0x070243,CA:03D7,0x0A03D7,2,0x0AC243,CD:7C02,CD:7CF0,238,0,confirmed_index_key
194,0xC2,0x070246,CA:04BC,0x0A04BC,2,0x0AC246,CD:7CF0,CD:7E05,277,0,confirmed_index_key
195,0xC3,0x070249,CA:057F,0x0A057F,2,0x0AC249,CD:7E05,CD:7F5B,342,0,confirmed_index_key
196,0xC4,0x07024C,CA:06BF,0x0A06BF,2,0x0AC24C,CD:7F5B,CD:8328,973,0,confirmed_index_key
197,0xC5,0x07024F,CA:0719,0x0A0719,1,0x0AC24F,CD:8328,CD:83BC,148,0,confirmed_index_key
198,0xC6,0x070252,CA:0926,0x0A0926,2,0x0AC252,CD:83BC,CD:853B,383,0,confirmed_index_key
199,0xC7,0x070255,CA:094A,0x0A094A,1,0x0AC255,CD:853B,CD:86AF,372,0,confirmed_index_key
200,0xC8,0x070258,CA:145E,0x0A145E,2,0x0AC258,CD:86AF,CD:8D29,1658,0,confirmed_index_key
201,0xC9,0x07025B,CA:1497,0x0A1497,0,0x0AC25B,CD:8D29,CD:8DC2,153,0,confirmed_index_key
202,0xCA,0x07025E,CA:1498,0x0A1498,0,0x0AC25E,CD:8DC2,CD:8E76,180,0,confirmed_index_key
203,0xCB,0x070261,CA:1499,0x0A1499,2,0x0AC261,CD:8E76,CD:8EC2,76,0,confirmed_index_key
204,0xCC,0x070264,CA:14A9,0x0A14A9,2,0x0AC264,CD:8EC2,CD:8FF3,305,0,confirmed_index_key
205,0xCD,0x070267,CA:1579,0x0A1579,0,0x0AC267,CD:8FF3,CD:9116,291,0,confirmed_index_key
206,0xCE,0x07026A,CA:157A,0x0A157A,2,0x0AC26A,CD:9116,CD:9266,336,0,confirmed_index_key
207,0xCF,0x07026D,CA:158A,0x0A158A,2,0x0AC26D,CD:9266,CD:95F9,915,0,confirmed_index_key
208,0xD0,0x070270,CA:175D,0x0A175D,2,0x0AC270,CD:95F9,CD:9741,328,0,confirmed_index_key
209,0xD1,0x070273,CA:1C0E,0x0A1C0E,2,0x0AC273,CD:9741,CD:98F3,434,0,confirmed_index_key
210,0xD2,0x070276,CA:1DE0,0x0A1DE0,2,0x0AC276,CD:98F3,CD:9A2C,313,0,confirmed_index_key
211,0xD3,0x070279,CA:238A,0x0A238A,2,0x0AC279,CD:9A2C,CD:9C2B,511,0,confirmed_index_key
212,0xD4,0x07027C,CA:2517,0x0A2517,2,0x0AC27C,CD:9C2B,CD:9E19,494,0,confirmed_index_key
213,0xD5,0x07027F,CA:26C5,0x0A26C5,1,0x0AC27F,CD:9E19,CD:9F99,384,0,confirmed_index_key
214,0xD6,0x070282,CA:281D,0x0A281D,1,0x0AC282,CD:9F99,CD:A0F6,349,0,confirmed_index_key
215,0xD7,0x070285,CA:2E0A,0x0A2E0A,1,0x0AC285,CD:A0F6,CD:A360,618,0,confirmed_index_key
216,0xD8,0x070288,CA:304D,0x0A304D,0,0x0AC288,CD:A360,CD:A4D6,374,0,confirmed_index_key
217,0xD9,0x07028B,CA:304E,0x0A304E,2,0x0AC28B,CD:A4D6,CD:A59E,200,0,confirmed_index_key
218,0xDA,0x07028E,CA:3073,0x0A3073,2,0x0AC28E,CD:A59E,CD:AA77,1241,0,confirmed_index_key
219,0xDB,0x070291,CA:35A8,0x0A35A8,1,0x0AC291,CD:AA77,CD:AF5F,1256,0,confirmed_index_key
220,0xDC,0x070294,CA:40B7,0x0A40B7,0,0x0AC294,CD:AF5F,CD:B5B7,1624,0,confirmed_index_key
