path,kind,note
graphics/battle/current_vram_8000_ffff_4bpp_chr_atlas_20260502_run2.png,file,included in final graphics handover package
graphics/battle/current_vram_tilemap_candidate_rank1_8000_char0000_2bpp.png,file,included in final graphics handover package
graphics/battle/current_vram_tilemap_candidate_rank2_8000_char0000_4bpp.png,file,included in final graphics handover package
graphics/battle/current_vram_tilemap_candidate_rank3_8000_char2000_2bpp.png,file,included in final graphics handover package
graphics/battle/current_vram_tilemap_candidate_rank4_8000_char2000_4bpp.png,file,included in final graphics handover package
manifest/EXCLUDED_FILES_VOL016_GRAPHICS_DIFF_AFTER_MERGE_20260503.csv,file,included in final graphics handover package
manifest/MANIFEST_VOL016_GRAPHICS_CONTINUE_RUN2_20260502.csv,file,included in final graphics handover package
manifest/MANIFEST_VOL016_GRAPHICS_DIFF_AFTER_MERGE_20260503.csv,file,included in final graphics handover package
tools/lua/shinmomo_graphics_mapchip_probe_v1_bizhawk_snes9x_20260501.lua,file,included in final graphics handover package
tools/lua/shinmomo_trace_graphics_runtime_bridge_v4_snes9x_20260503.lua,file,included in final graphics handover package
tools/python/analyze_vram_layout_candidates_v1.py,file,included in final graphics handover package
tools/python/build_field_metatiles_from_tilemap_v1.py,file,included in final graphics handover package
tools/python/build_metatile_graph_v1.py,file,included in final graphics handover package
tools/python/convert_graphics_unified_to_runtime_bridge_v1.py,file,included in final graphics handover package
tools/python/oam_chr_mapper_v1.py,file,included in final graphics handover package
tools/python/render_sprite_clusters_v1.py,file,included in final graphics handover package
tools/python/sprite_clusterer_v1.py,file,included in final graphics handover package
tools/python/validate_map_reconstruction_v1.py,file,included in final graphics handover package
