equip_id,name,ptr_cb,rom_offset,top_commands,is_special,prefix16
25,一枚胴,CB:05E0,0x0B05E0,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
26,二枚胴,CB:05EA,0x0B05EA,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
27,三枚胴,CB:05F4,0x0B05F4,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
28,鎧,CB:05FE,0x0B05FE,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
29,大鎧,CB:0608,0x0B0608,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
30,武者鎧,CB:0612,0x0B0612,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
31,勇気の鎧,CB:061C,0x0B061C,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
32,なし,CB:0626,0x0B0626,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
33,なし,CB:0630,0x0B0630,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
34,なし,CB:063A,0x0B063A,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
35,まさかり,CB:0644,0x0B0644,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
36,大まさかり,CB:064E,0x0B064E,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
37,銅のまさかり,CB:0658,0x0B0658,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
38,銀のまさかり,CB:0662,0x0B0662,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
39,金のまさかり,CB:066C,0x0B066C,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
40,希望のまさかり,CB:0676,0x0B0676,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
41,なし,CB:0680,0x0B0680,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
42,なし,CB:068A,0x0B068A,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
43,なし,CB:0694,0x0B0694,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
44,腹がけ,CB:069E,0x0B069E,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
45,木綿のはらがけ,CB:06A8,0x0B06A8,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
46,銀のはらがけ,CB:06B2,0x0B06B2,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
47,金のはらがけ,CB:06BC,0x0B06BC,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
48,希望のはらがけ,CB:06C6,0x0B06C6,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
49,なし,CB:06D0,0x0B06D0,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
50,なし,CB:06DA,0x0B06DA,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
51,なし,CB:06E4,0x0B06E4,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
52,モリ,CB:06EE,0x0B06EE,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
53,小波のモリ,CB:06F8,0x0B06F8,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
54,白波のモリ,CB:0702,0x0B0702,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
55,大波のモリ,CB:070C,0x0B070C,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
56,高波のモリ,CB:0716,0x0B0716,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
57,津波のモリ,CB:0720,0x0B0720,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
58,大津波のモリ,CB:072A,0x0B072A,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
59,正義のモリ,CB:0734,0x0B0734,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 4b 07 83 51 07
60,夕凪のモリ,CB:073E,0x0B073E,84:074B;83:0751;82:0408;C1:0759;00,yes,84 4b 07 83 51 07 82 08 04 c1 59 07 00 a0 e9 dd
61,朝凪のモリ,CB:077F,0x0B077F,84:078F;83:0795;82:0408;C1:079D;C2:07C2;00,yes,84 8f 07 83 95 07 82 08 04 c1 9d 07 c2 c2 07 00
62,なし,CB:07CA,0x0B07CA,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
63,なし,CB:07D4,0x0B07D4,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
64,なし,CB:07DE,0x0B07DE,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
65,漁師の着物,CB:07E8,0x0B07E8,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
66,豊漁の着物,CB:07F2,0x0B07F2,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
67,大量の着物,CB:07FC,0x0B07FC,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
68,黒潮の着物,CB:0806,0x0B0806,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
69,正義の着物,CB:0810,0x0B0810,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
70,なし,CB:081A,0x0B081A,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
71,なし,CB:0824,0x0B0824,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
72,なし,CB:082E,0x0B082E,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
73,サンゴの杖,CB:0838,0x0B0838,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
74,ひすいの杖,CB:0842,0x0B0842,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
75,めのうの杖,CB:084C,0x0B084C,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
76,琥珀の杖,CB:0856,0x0B0856,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
77,真珠の杖,CB:0860,0x0B0860,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
78,銀の杖,CB:086A,0x0B086A,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
79,金の杖,CB:0874,0x0B0874,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
80,流星の杖,CB:087E,0x0B087E,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
81,愛の杖,CB:0888,0x0B0888,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
82,なし,CB:0892,0x0B0892,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
83,なし,CB:089C,0x0B089C,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
84,なし,CB:08A6,0x0B08A6,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
85,こそで,CB:08B0,0x0B08B0,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
86,ふりそで,CB:08BA,0x0B08BA,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
87,梅のふりそで,CB:08C4,0x0B08C4,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
88,桜のふりそで,CB:08CE,0x0B08CE,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
89,金のふりそで,CB:08D8,0x0B08D8,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
90,愛の十二単衣,CB:08E2,0x0B08E2,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
91,なし,CB:08EC,0x0B08EC,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
92,なし,CB:08F6,0x0B08F6,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
93,なし,CB:0900,0x0B0900,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
94,赤いバラ,CB:090A,0x0B090A,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
95,青いバラ,CB:0914,0x0B0914,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
96,琥珀のバラ,CB:091E,0x0B091E,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
97,べっこうのバラ,CB:0928,0x0B0928,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
98,象牙のバラ,CB:0932,0x0B0932,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
99,ギヤマンのバラ,CB:093C,0x0B093C,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
100,銅のバラ,CB:0946,0x0B0946,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
101,銀のバラ,CB:0950,0x0B0950,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
102,金のバラ,CB:095A,0x0B095A,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
103,黄泉のバラ,CB:0964,0x0B0964,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
104,なし,CB:096E,0x0B096E,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
105,なし,CB:0978,0x0B0978,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
106,なし,CB:0982,0x0B0982,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
107,真紅の絹,CB:098C,0x0B098C,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
108,綾織の絹,CB:0996,0x0B0996,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
109,羽二重の絹,CB:09A0,0x0B09A0,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
110,黄泉の絹,CB:09AA,0x0B09AA,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
111,なし,CB:09B4,0x0B09B4,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
112,なし,CB:09BE,0x0B09BE,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
113,なし,CB:09C8,0x0B09C8,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 df 09
114,出刃包丁,CB:09D2,0x0B09D2,84:03DB;83:09DF;C8:09E7;82:0408;00,yes,84 db 03 83 df 09 c8 e7 09 82 08 04 00 a0 e1 03
115,小出刃包丁,CB:0A05,0x0B0A05,84:03DB;83:0A12;C8:0A1A;82:0408;00,yes,84 db 03 83 12 0a c8 1a 0a 82 08 04 00 a0 e1 03
116,薄切り包丁,CB:0A23,0x0B0A23,84:03DB;83:0A30;C8:0A38;82:0408;00,yes,84 db 03 83 30 0a c8 38 0a 82 08 04 00 a0 e1 03
117,牛切り包丁,CB:0A50,0x0B0A50,84:03DB;83:0A5A;82:0408;00,yes,84 db 03 83 5a 0a 82 08 04 00 a0 e1 03 cb a4 14
118,葉切り包丁,CB:0A62,0x0B0A62,84:03DB;83:09DF;C8:09E7;82:0408;00,yes,84 db 03 83 df 09 c8 e7 09 82 08 04 00 84 db 03
119,合出刃包丁,CB:0A6F,0x0B0A6F,84:03DB;83:0A12;C8:0A1A;82:0408;00,yes,84 db 03 83 12 0a c8 1a 0a 82 08 04 00 84 db 03
120,柳刃包丁,CB:0A7C,0x0B0A7C,84:03DB;83:0A30;C8:0A38;82:0408;00,yes,84 db 03 83 30 0a c8 38 0a 82 08 04 00 84 db 03
121,骨切り包丁,CB:0A89,0x0B0A89,84:03DB;83:0A5A;82:0408;00,yes,84 db 03 83 5a 0a 82 08 04 00 84 db 03 83 a0 0a
122,切り出し包丁,CB:0A93,0x0B0A93,84:03DB;83:0AA0;C8:09E7;82:0408;00,yes,84 db 03 83 a0 0a c8 e7 09 82 08 04 00 a0 e1 03
123,ドス,CB:0AA8,0x0B0AA8,84:03DB;83:0AB8;C8:0AC0;C2:0AE8;82:0408;00,yes,84 db 03 83 b8 0a c8 c0 0a c2 e8 0a 82 08 04 00
124,長ドス,CB:0AED,0x0B0AED,84:03DB;83:0A30;C8:0A38;82:0408;00,yes,84 db 03 83 30 0a c8 38 0a 82 08 04 00 84 db 03
125,隼のドス,CB:0AFA,0x0B0AFA,84:03DB;83:0A12;C8:0A1A;82:0408;00,yes,84 db 03 83 12 0a c8 1a 0a 82 08 04 00 84 db 03
126,団十郎,CB:0B07,0x0B0B07,84:03DB;83:0B14;C8:09E7;82:0408;00,yes,84 db 03 83 14 0b c8 e7 09 82 08 04 00 a0 e1 03
127,村雨,CB:0B1C,0x0B0B1C,84:03DB;83:0B29;C8:0AC0;82:0408;00,yes,84 db 03 83 29 0b c8 c0 0a 82 08 04 00 a0 e1 03
128,村正,CB:0B31,0x0B0B31,84:03DB;83:0A12;C8:0A1A;82:0408;00,yes,84 db 03 83 12 0a c8 1a 0a 82 08 04 00 84 db 03
129,孫六,CB:0B3E,0x0B0B3E,84:03DB;83:0A30;C8:0A38;82:0408;00,yes,84 db 03 83 30 0a c8 38 0a 82 08 04 00 84 db 03
130,菊一文字,CB:0B4B,0x0B0B4B,84:03DB;83:0A5A;82:0408;00,yes,84 db 03 83 5a 0a 82 08 04 00 84 db 03 83 e1 03
131,なし,CB:0B55,0x0B0B55,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
132,なし,CB:0B5F,0x0B0B5F,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
133,なし,CB:0B69,0x0B0B69,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
134,着流し,CB:0B73,0x0B0B73,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
135,小そで着流し,CB:0B7D,0x0B0B7D,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
136,大そで着流し,CB:0B87,0x0B0B87,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
137,染めつけ着流し,CB:0B91,0x0B0B91,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
138,しぼり着流し,CB:0B9B,0x0B0B9B,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
139,つむぎ着流し,CB:0BA5,0x0B0BA5,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
140,なし,CB:0BAF,0x0B0BAF,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
141,なし,CB:0BB9,0x0B0BB9,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
142,なし,CB:0BC3,0x0B0BC3,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
143,金棒,CB:0BCD,0x0B0BCD,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
144,銅の金棒,CB:0BD7,0x0B0BD7,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
145,鉄の金棒,CB:0BE1,0x0B0BE1,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
146,火の金棒,CB:0BEB,0x0B0BEB,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
147,炎の金棒,CB:0BF5,0x0B0BF5,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
148,力の金棒,CB:0BFF,0x0B0BFF,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
149,怒りの金棒,CB:0C09,0x0B0C09,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
150,なし,CB:0C13,0x0B0C13,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
151,なし,CB:0C1D,0x0B0C1D,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
152,なし,CB:0C27,0x0B0C27,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
153,虎のこしまき,CB:0C31,0x0B0C31,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
154,銀のこしまき,CB:0C3B,0x0B0C3B,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
155,金のこしまき,CB:0C45,0x0B0C45,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
156,黄泉のこしまき,CB:0C4F,0x0B0C4F,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
157,なし,CB:0C59,0x0B0C59,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
158,なし,CB:0C63,0x0B0C63,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
159,なし,CB:0C6D,0x0B0C6D,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
160,独鈷,CB:0C77,0x0B0C77,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
161,火の独鈷,CB:0C81,0x0B0C81,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
162,炎の独鈷,CB:0C8B,0x0B0C8B,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
163,紅蓮の独鈷,CB:0C95,0x0B0C95,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
164,なし,CB:0C9F,0x0B0C9F,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
165,なし,CB:0CA9,0x0B0CA9,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
166,なし,CB:0CB3,0x0B0CB3,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
167,火の衣,CB:0CBD,0x0B0CBD,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
168,炎の衣,CB:0CC7,0x0B0CC7,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
169,火炎の衣,CB:0CD1,0x0B0CD1,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
170,黄泉の衣,CB:0CDB,0x0B0CDB,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
171,なし,CB:0CE5,0x0B0CE5,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
172,なし,CB:0CEF,0x0B0CEF,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
173,なし,CB:0CF9,0x0B0CF9,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
174,ハの銅丸,CB:0D03,0x0B0D03,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
175,ニの銅丸,CB:0D0D,0x0B0D0D,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
