seq,group,off,rel_from_39847,b0_predicate,b1,b2,b3_selector,b4_value_kind,arg_lo,arg_hi,arg_le16,target_lo,target_hi,target_le16,target_abs_0x30000,raw,block_index,entry_used_by_41A10_9850,alignment_note,entry_used_by_41A10_9993
45,B_from_39916,0x0399DC,+0x195,37,05,01,1B,35,34,11,0x1134,D4,F0,0xF0D4,0x03F0D4,37 05 01 1b 35 34 11 d4 f0,22,,,target+1 yes
46,post_B_mixed_records,0x0399E5,+0x19E,0C,05,04,26,35,3B,00,0x003B,B1,F0,0xF0B1,0x03F0B1,0c 05 04 26 35 3b 00 b1 f0,0,,,after effective target
47,post_B_mixed_records,0x0399EE,+0x1A7,10,00,41,45,31,16,00,0x0016,1D,F1,0xF11D,0x03F11D,10 00 41 45 31 16 00 1d f1,1,,,after effective target
48,post_B_mixed_records,0x0399F7,+0x1B0,2C,05,01,2F,17,54,00,0x0054,36,F1,0xF136,0x03F136,2c 05 01 2f 17 54 00 36 f1,2,,,after effective target
49,post_B_mixed_records,0x039A00,+0x1B9,0B,00,3C,41,31,0E,00,0x000E,D0,F1,0xF1D0,0x03F1D0,0b 00 3c 41 31 0e 00 d0 f1,3,,,after effective target
50,post_B_mixed_records,0x039A09,+0x1C2,0B,00,3C,41,31,0E,00,0x000E,2B,F2,0xF22B,0x03F22B,0b 00 3c 41 31 0e 00 2b f2,4,,,after effective target
51,post_B_mixed_records,0x039A12,+0x1CB,0B,00,3C,41,31,0E,00,0x000E,E7,F2,0xF2E7,0x03F2E7,0b 00 3c 41 31 0e 00 e7 f2,5,,,after effective target
52,post_B_mixed_records,0x039A1B,+0x1D4,0B,00,3F,43,30,00,00,0x0000,0A,F1,0xF10A,0x03F10A,0b 00 3f 43 30 00 00 0a f1,6,,,after effective target
53,post_B_mixed_records,0x039A24,+0x1DD,10,05,09,2B,37,27,0E,0x0E27,22,E8,0xE822,0x03E822,10 05 09 2b 37 27 0e 22 e8,7,,,after effective target
54,post_B_mixed_records,0x039A2D,+0x1E6,10,05,01,2B,37,29,0E,0x0E29,A3,F3,0xF3A3,0x03F3A3,10 05 01 2b 37 29 0e a3 f3,8,,,after effective target
55,post_B_mixed_records,0x039A36,+0x1EF,10,05,09,30,37,6C,00,0x006C,B6,F3,0xF3B6,0x03F3B6,10 05 09 30 37 6c 00 b6 f3,9,,,after effective target
56,post_B_mixed_records,0x039A3F,+0x1F8,02,05,09,30,07,6D,00,0x006D,D0,F3,0xF3D0,0x03F3D0,02 05 09 30 07 6d 00 d0 f3,10,,,after effective target
57,post_B_mixed_records,0x039A48,+0x201,2C,05,09,30,37,6C,00,0x006C,22,E8,0xE822,0x03E822,2c 05 09 30 37 6c 00 22 e8,11,,,after effective target
58,post_B_mixed_records,0x039A51,+0x20A,2C,05,09,30,37,6E,00,0x006E,22,E8,0xE822,0x03E822,2c 05 09 30 37 6e 00 22 e8,12,,,after effective target
59,post_B_mixed_records,0x039A5A,+0x213,0B,05,01,21,33,71,1D,0x1D71,D9,F3,0xF3D9,0x03F3D9,0b 05 01 21 33 71 1d d9 f3,13,,,after effective target
60,post_B_mixed_records,0x039A63,+0x21C,0B,05,01,21,33,77,1E,0x1E77,72,F4,0xF472,0x03F472,0b 05 01 21 33 77 1e 72 f4,14,,,after effective target
61,post_B_mixed_records,0x039A6C,+0x225,0B,05,01,21,33,79,1F,0x1F79,41,F5,0xF541,0x03F541,0b 05 01 21 33 79 1f 41 f5,15,,,after effective target
